分类,品牌,领域,技术特点,采集来源,来源链接,采集时间,备注【疑问汇总】,,,,,,,,,,,,
运动品牌,耐克,运动鞋服,持续升级Air气垫技术，推出多代科技产品,欧瑞、公司公告、wind,https://xueqiu.com/9508834377/189754806,2024-10-09,,,,,,,,,,,,,
运动品牌,阿迪达斯,运动鞋服,Boost科技，yeezy鞋款,欧瑞、公司公告、wind,https://new.qq.com/rain/a/20220830A09HJK00,2024-10-09,,,,,,,,,,,,,
运动品牌,安踏,运动鞋服,零售转型和柔性供应链改革，推出“氮科技”中底技术,公司公告,https://www.thepaper.cn/newsDetail_forward_14736414,2024-10-09,,,,,,,,,,,,,
运动品牌,李宁,运动鞋服,推出䨻科技，推动品牌进入高端市场,公司公告,https://www.thepaper.cn/newsDetail_forward_14736414,2024-10-09,,,,,,,,,,,,,
运动品牌,特步,运动鞋服,专注跑步领域的功能性研发投入,公司公告,https://www.thepaper.cn/newsDetail_forward_14736414,2024-10-09,,,,,,,,,,,,,
运动品牌,361°,运动鞋服,由中底科技NFO、QU!KFOAM以及快平衡系统QU!KBALANCE三项科技组成，提供软弹舒适、快速响应和抗扭转的卓越性能 ,公司公告,https://ir.361sport.com/html/key_technology_3tech.php?lang=sc,2024-10-09,,,,,,,,,,,,,
运动品牌,彪马,运动鞋服,Forever Faster品牌策略,公司公告,https://www.digitaling.com/articles/817116.html,2024-10-09,,,,,,,,,,,,,
运动品牌,新百伦,运动鞋服,慢跑鞋领域，拓宽“慢跑”概念,公司公告,https://www.digitaling.com/articles/817116.html,2024-10-09,,,,,,,,,,,,,
运动品牌,锐步,运动鞋服,I Am What I Am&Be More Human品牌策略,公司公告,https://www.digitaling.com/articles/817116.html,2024-10-09,,,,,,,,,,,,,
运动品牌,斐乐,运动鞋服,在中高端服饰市场的强大影响力,欧瑞、公司公告、wind,https://36kr.com/p/2109123632040323,2024-10-09,,,,,,,,,,,,,
运动品牌,露露柠檬,瑜伽服饰,高端瑜伽服饰品牌,欧瑞、公司公告、wind,https://36kr.com/p/2109123632040323,2024-10-09,,,,,,,,,,,,,
运动品牌,昂跑,跑鞋,环保品牌价值,欧瑞、公司公告、wind,https://36kr.com/p/2109123632040323,2024-10-09,,,,,,,,,,,,,
运动品牌,帕塔格尼亚,户外服饰,环保和反常理的品牌策略,公司公告,https://www.36kr.com/p/1916689881833222,2024-10-09,,,,,,,,,,,,,