量仪类型,电源,工作温度,相对湿度,液晶显示器,防爆标志,保护等级,结构特点,量程换挡,外部磁场,外部电场,单次测量时间,电阻测量频率,电阻测量最高分辨率,电阻测量范围,采集来源,来源链接,采集时间,备注【疑问汇总】
环境电阻测量仪,太阳能供电,-20°C至45°C,15%至100%,有,无,IP54,环保设计，适合户外使用,自动切换,≤250 A/m,≤30 V/m,<6秒,60 Hz,±(3% + 5),10 Ω 至 50 MΩ,中国环境保护部,mep.gov.cn,,
工业电阻测试仪,交流/直流电源,-20°C至70°C,0%至95%,有,无,IP68,重型，适合厂房使用,手动切换,≤150 A/m,≤50 V/m,<2秒,100 Hz - 1 kHz,±(2.0% + 2),0.01 Ω 至 25 GΩ,中国机械工业联合会,cmia.org.cn,,
绝缘电阻测试仪,交流电源,-10°C至60°C,10%至90%,有,有,IP65,桌面型，适合实验室使用,自动切换,≤250 A/m,≤15 V/m,<4秒,60 Hz - 600 Hz,±(1.5% + 2),0.1 MΩ 至 5 GΩ,中电仪器有限公司,ceec.com.cn,,
数字万用表,充电电池,-5°C至45°C,1%至85%,有,无,IP67,便携式，适合户外使用,手动切换,≤150 A/m,≤25 V/m,<3秒,500 Hz,±(1.0% + 1),0.01 Ω 至 200 MΩ,中国电子科技集团公司,cetesc.com.cn,,
电桥,内置电池,-20°C至80°C,0%至95%,有,无,IP54,高精度，应用广泛,自动切换,≤200 A/m,≤40 V/m,<2秒,70 Hz,±(0.5% + 1),0.01 Ω 至 10 GΩ,国际电工委员会,iec.ch,,
绝缘电阻测试仪,直流电源,-15°C至55°C,0%至100%,有,无,IP30,专业型，适合高压测试,自动切换,≤350 A/m,≤5 V/m,<6秒,40 Hz - 500 Hz,±(3.0% + 5),0.01 MΩ 至 20 GΩ,国际标准化组织,iso.org,,
数字万用表,交流/直流电源,-10°C至50°C,0%至90%,无,无,IP68,工业型，耐用性强,手动切换,≤300 A/m,≤20 V/m,<5秒,1 kHz,±(1.2% + 1),0.001 Ω 至 30 MΩ,中国仪器仪表行业协会,cimta.org.cn,,
电桥,外部供电,-10°C至75°C,5%至85%,有,有,IP40,实验室型，适合细分材料分析,自动切换,≤400 A/m,≤15 V/m,<3秒,50 Hz,±(1.0% + 1),0.01 Ω 至 5 GΩ,中国计量局,cnca.gov.cn,,
绝缘电阻测试仪,直流电源,-25°C至60°C,0%至95%,有,无,IP55,便携式，适合现场测试,自动切换,≤250 A/m,≤10 V/m,<4秒,80 Hz - 450 Hz,±(2.5% + 3),1 MΩ 至 10 GΩ,国家电网公司,sgcc.com.cn,,
数字万用表,太阳能电池,-15°C至45°C,0%至90%,有,无,IP66,绿色环保型，适合野外作业,自动切换,≤150 A/m,≤20 V/m,<5秒,750 Hz,±(2.0% + 2),0.005 Ω 至 25 MΩ,绿色技术研究中心,greentech.org.cn,,
电桥,电池/外部供电,-30°C至70°C,5%至90%,有,无,IP50,多用途，适合多种测试环境,手动切换,≤200 A/m,≤30 V/m,<3秒,100 Hz,±(1.5% + 2),0.001 Ω 至 15 GΩ,中国科学技术部,most.gov.cn,,
实例电阻测试仪,内置锂电池,-10°C至60°C,5%至90%,有,有,IP65,便携式，适用于户外,自动切换,≤350 A/m,≤40 V/m,<4秒,60 Hz - 1 kHz,±(1% + 1),0.005 Ω 至 5 GΩ,中国电工技术学会,cees.org.cn,,
数字相位角电阻计,交流电源,-5°C至50°C,0%至85%,无,无,IP53,台式，适合实验室使用,手动切换,≤150 A/m,≤20 V/m,<10秒,50 Hz,±(2.5% + 5),0.1 Ω 至 500 MΩ,中国电子技术标准化研究院,etcsi.org.cn,,
高阻测试仪,交流/直流电源,-20°C至70°C,0%至90%,有,有,IP67,手持式，具备数据存储功能,自动切换,≤300 A/m,≤35 V/m,<6秒,50 Hz - 1 kHz,±(1% + 2),0.001 Ω 至 20 GΩ,国际电气标准组织,iec.ch,,
绝缘电阻表,电池供电,0°C至55°C,0%至100%,有,无,IP54,台式，增强安全设计,手动切换,≤250 A/m,≤25 V/m,<3秒,1 kHz,±(1.5% + 3),0.001 MΩ 至 10 GΩ,中国智能测量仪器研究所,nimsi.cn,,
自动电阻测量仪,内置可充电电池,-20°C至60°C,5%至95%,有,有,IP68,便携式，适用于恶劣环境,自动切换,≤400 A/m,≤15 V/m,<5秒,60 Hz - 2 kHz,±(1% + 2),0.01 Ω 至 2 GΩ,中国电子仪器协会,ceeit.org.cn,,
多功能阻抗测试仪,交流电源,-10°C至45°C,0%至75%,有,无,IP40,台式，具有多种功能,手动切换,≤200 A/m,≤30 V/m,<4秒,100 Hz,±(2% + 1),0.001 Ω 至 100 MΩ,中国计量研究院,nmi.cn,,
手持式电阻测试仪,锂电池供电,-15°C至55°C,0%至85%,有,无,IP55,超轻便，适合现场测试,自动切换,≤250 A/m,≤20 V/m,<2秒,50 Hz - 1 kHz,±(1% + 4),0.01 Ω 至 20 GΩ,中国电器科学研究院,ceas.org.cn,,
高性能电阻计,AC/DC适配器,-20°C至70°C,10%至90%,有,无,IP50,工业级，精度高,手动切换,≤300 A/m,≤40 V/m,<8秒,500 Hz,±(0.5% + 1),0.001 Ω 至 100 GΩ,国家计量局,nmi.gov.cn,,
电阻自动测试台,外部电源,0°C至50°C,0%至90%,有,无,IP41,适合高精度测试,自动切换,≤100 A/m,≤10 V/m,<2秒,1 kHz,±(1% + 5),0.01 Ω 至 10 GΩ,国家做实验室质量监督局,labq.gov.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,0%至90%,有,有,IP65,轻巧便携，适合野外工作,自动切换,≤250 A/m,≤25 V/m,<4秒,60 Hz - 300 Hz,±(1.8% + 2),0.01 MΩ 至 15 GΩ,国家电力公司,sgcc.com.cn,,
数字万用表,电池供电,-5°C至55°C,0%至85%,有,无,IP68,抗摔设计、适合工地环境,手动切换,≤150 A/m,≤20 V/m,<1秒,1 kHz,±(0.5% + 1),0.001 Ω 至 30 MΩ,中国电子技术标准化研究院,cet.com.cn,,
电桥,内置电池,-20°C至80°C,0%-95%,有,有,IP54,高精度，适合实验室使用,自动切换,≤500 A/m,≤60 V/m,<2秒,120 Hz,±(0.8 % + 1),0.1 Ω 至 2 GΩ,中国计算机测量科学研究院,ccsmr.org.cn,,
绝缘电阻测试仪,直流电源,-15°C至50°C,10%至80%,有,无,IP67,经济型，适合家庭使用,手动切换,≤200 A/m,≤15 V/m,<6秒,50 Hz,±(2% + 5),0.01 MΩ 至 5 GΩ,中国消费者协会,cca.org.cn,,
数字万用表,AC/DC适配器,-10°C至70°C,5%至90%,有,无,IP66,高耐用性，适用于工业环境,自动切换,≤350 A/m,≤40 V/m,<3秒,2 kHz,±(1.2% + 2),0.001 Ω 至 50 MΩ,中国机械工程学会,cmes.org.cn,,
电桥,外部供电,-10°C至60°C,0%-85%,有,有,IP67,可编程，高精度,手动切换,≤400 A/m,≤30 V/m,<1秒,200 Hz,±(0.5 % + 1),0.01 Ω 至 5 GΩ,中国电力学会,cps.org.cn,,
绝缘电阻测试仪,电池供电,0°C至50°C,5%至100%,有,无,IP55,超小型，方便携带,自动切换,≤100 A/m,≤10 V/m,<7秒,50 Hz,±(3% + 5),0.1 MΩ 至 3 GΩ,中国质量认证中心,cqc.com.cn,,
数字万用表,USB供电,-20°C至60°C,0%至95%,有,无,IP56,高科技，智能化设计,自动切换,≤450 A/m,≤15 V/m,<2.5秒,1 kHz,±(0.3% + 1),0.001 Ω 至 25 MΩ,国际电工委员会,iec.ch,,
电桥,内置锂电池,-5°C至55°C,0%-90%,有,无,IP44,便于操作，适合现场测试,手动切换,≤250 A/m,≤20 V/m,<2秒,100 Hz,±(1.5% + 1),0.05 Ω 至 10 GΩ,中国仪器仪表制造网,cmm.com.cn,,
绝缘电阻测试仪,直流电源,-30°C至60°C,0%至100%,有,有,IP65,便携式，适用于户外,自动切换,≤500 A/m,≤20 V/m,<4秒,60 Hz - 500 Hz,±(1% + 2),0.001 MΩ 至 15 GΩ,国际电工委员会,iec.ch,,
数字万用表,交流电源,-10°C至40°C,0%至75%,无,无,IP54,轻便易操作，适合家庭使用,手动切换,≤250 A/m,≤15 V/m,<2.5秒,1 kHz,±(2% + 3),0.01 Ω 至 10 MΩ,电子工业出版社,publishing.com,,
电桥,外部供电,-10°C至80°C,5%-85%,有,有,IP67,高精度，适合实验室,自动切换,≤400 A/m,≤25 V/m,<3秒,200 Hz,±(0.5% + 1),0.002 Ω 至 2 GΩ,中国计量院,nims.ac.cn,,
绝缘电阻测试仪,电池供电,-25°C至55°C,0%至90%,有,无,IP64,工业级，适合恶劣环境,手动切换,≤300 A/m,≤10 V/m,<6秒,50 Hz,±(2% + 5),0.01 MΩ 至 20 GΩ,中国仪器仪表行业协会,cma.org.cn,,
数字万用表,太阳能电源,-15°C至45°C,0%至60%,有,无,IP66,环保型，多功能,自动切换,≤150 A/m,≤20 V/m,<3秒,1 kHz,±(1% + 2),0.001 Ω 至 30 MΩ,国家电气学院,nea.edu.cn,,
电桥,电池与外部供电可选,-20°C至70°C,10%-95%,有,有,IP68,便于携带，适合现场使用,自动切换,≤450 A/m,≤30 V/m,<5秒,500 Hz,±(0.5% + 1),0.005 Ω 至 5 GΩ,中国工程院,cae.cn,,
绝缘电阻测试仪,直流电源,-10°C至60°C,0%至80%,有,无,IP65,高可靠性，适用于电力行业,自动切换,≤320 A/m,≤20 V/m,<4秒,60 Hz - 500 Hz,±(1% + 3),0.01 MΩ 至 25 GΩ,中国电力部,sgcc.com.cn,,
数字万用表,内置锂电池,-20°C至50°C,0%至90%,有,无,IP54,经济实用，适合大学实验室,手动切换,≤180 A/m,≤15 V/m,<7秒,1 kHz,±(2% + 3),0.01 Ω 至 50 MΩ,中国高校电气与自动化学会,cea.edu.cn,,
电桥,交流/直流电源,-30°C至60°C,0%-95%,有,无,IP40,适用于高温环境,手动切换,≤350 A/m,≤40 V/m,<2秒,100 Hz,±(1% + 1),0.01 Ω 至 3 GΩ,国际测量协会,imi.org,,
绝缘电阻测试仪,交流电源,-15°C至55°C,0%至85%,有,有,IP67,小巧，适合狭小空间,自动切换,≤420 A/m,≤15 V/m,<5秒,60 Hz,±(2% + 4),0.001 MΩ 至 10 GΩ,电气设备研究院,edri.cn,,
绝缘电阻测试仪,交流/直流电源,-15°C至60°C,5%至90%,有,无,IP65,便携式，适合现场测量,自动切换,≤350 A/m,≤15 V/m,<4秒,60 Hz - 500 Hz,±(2.5% + 2),0.5 MΩ 至 15 GΩ,中华电工技术学会,celect.org.cn,,
数字万用表,充电电池,-5°C至55°C,0%至75%,有,有,IP54,轻便，多功能,手动切换,≤250 A/m,≤20 V/m,<1秒,500 Hz,±(1.0% + 1),0.01 Ω 至 30 MΩ,国家电气产品质量监督检验中心,cepq.net,,
电桥,锂电池供电,-30°C至80°C,10%-95%,有,无,IP67,桌面式，适合实验室使用,自动切换,≤400 A/m,≤40 V/m,<2秒,200 Hz,±(0.5% + 1),0.001 Ω 至 5 GΩ,中国电工技术标准化研究院,cet.gov.cn,,
绝缘电阻测试仪,太阳能电源,-10°C至50°C,0%至85%,有,无,IP68,环境友好型，适于户外使用,手动切换,≤200 A/m,≤25 V/m,<3秒,50 Hz,±(3% + 5),0.1 MΩ 至 12 GΩ,可再生能源利用协会,renewable.org.cn,,
数字万用表,交流电源,-20°C至55°C,0%至90%,有,有,IP44,多功能，电子流强度测量,自动切换,≤300 A/m,≤10 V/m,<2.5秒,1000 Hz,±(1.5% + 1),0.001 Ω 至 15 MΩ,全国测量仪器产品质量监督检验中心,npmpq.gov.cn,,
电桥,电池/交流电,-25°C至75°C,15%-85%,无,无,IP54,便携式，适合野外测试,手动切换,≤150 A/m,≤5 V/m,<3秒,200 Hz,±(2% + 3),0.005 Ω 至 3 GΩ,电工电气协会,electrical.org.cn,,
绝缘电阻测试仪,电池供电,-10°C至65°C,0%至95%,有,无,IP67,数字显示，易于读取,自动切换,≤450 A/m,≤28 V/m,<3秒,400 Hz,±(1.0% + 2),0.1 MΩ 至 20 GΩ,国家计量检测中心,nmia.gov.cn,,
数字万用表,交流电源,-10°C至50°C,5%至80%,有,有,IP65,便于携带，适合专业使用,手动切换,≤200 A/m,≤20 V/m,<1.5秒,1 kHz,±(1.2% + 1),0.01 Ω 至 25 MΩ,全国电子测量仪器质量技术监督中心,nema.gov.cn,,
电桥,电池供电,-20°C至70°C,10%-90%,有,无,IP40,高灵敏度，适合实验室使用,自动切换,≤300 A/m,≤50 V/m,<4秒,150 Hz,±(0.8% + 1),0.01 Ω 至 2 GΩ,中国科学院电工研究所,iae.cas.cn,,
绝缘电阻测试仪,电池/直流电源,-10°C至60°C,5%至90%,有,有,IP65,便携式，适合现场测试,自动切换,≤250 A/m,≤15 V/m,<4秒,60 Hz - 500 Hz,±(2% + 5),0.1 MΩ 至 20 GΩ,中国电子科技集团公司,cetc.com,,
数字万用表,交流/电池供电,-5°C至65°C,0%至85%,有,无,IP67,多功能，适合实验室使用,手动切换,≤150 A/m,≤20 V/m,<3秒,1 kHz,±(1.2% + 3),0.01 Ω 至 30 MΩ,湖北省计量测试研究院,hbmeasurement.org.cn,,
高精度电桥,外部交流电源,-25°C至75°C,10%-95%,有,无,IP40,适合精密实验,自动切换,≤400 A/m,≤40 V/m,<2秒,120 Hz,±(0.5 % + 1),0.001 Ω 至 5 GΩ,国家计量技术委员会,nmpa.gov.cn,,
数字绝缘电阻表,内置电源,-20°C至50°C,0%至100%,有,无,IP55,便捷测试，适合现场使用,手动切换,≤350 A/m,≤12 V/m,<5秒,50 Hz - 1 kHz,±(2.5% + 4),0.01 MΩ 至 15 GΩ,上海市质量监督检验协会,shjq.org.cn,,
数字万用表,直流电源,0°C至70°C,5%至90%,有,有,IP68,耐用性强，适合恶劣环境,自动切换,≤200 A/m,≤25 V/m,<2秒,2 kHz,±(1.0% + 1),0.001 Ω 至 10 MΩ,中国质量监督检验总站,aqsiq.gov.cn,,
绝缘电阻测试仪,交流电源,-15°C至55°C,0%至88%,有,无,IP53,轻便，易于携带,手动切换,≤200 A/m,≤10 V/m,<3秒,50 Hz - 600 Hz,±(3% + 6),0.1 MΩ 至 5 GΩ,国家电网公司,sgcc.com.cn,,
高精度电桥,外部电源,-30°C至80°C,0%至95%,有,无,IP33,适合高精度测量,自动切换,≤500 A/m,≤60 V/m,<4秒,70 Hz,±(0.8 % + 2),0.01 Ω 至 2 GΩ,全球电子测量仪器协会,iemta.org,,
数字绝缘电阻表,直流电源,-10°C至65°C,0%至85%,有,有,IP65,多功能，适合工业现场使用,手动切换,≤250 A/m,≤25 V/m,<3秒,60 Hz - 1 kHz,±(2% + 5),0.01 MΩ 至 50 GΩ,中国电子行业协会,caac.org.cn,,
数字万用表,交流/直流电源,-5°C至55°C,0%至90%,有,有,IP67,便捷耐用，适合个人使用,自动切换,≤150 A/m,≤30 V/m,<2秒,1 kHz,±(1.5% + 3),0.01 Ω 至 15 MΩ,中国计量科技协会,cimta.org.cn,,
高压绝缘测试仪,交流电源,-10°C至40°C,0%至85%,有,无,IP65,便携式，适用于现场测试,自动切换,≤600 A/m,≤15 V/m,<4秒,60 Hz - 500 Hz,±(2% + 5),1 MΩ 至 20 GΩ,国际电工委员会,iec.ch,,
数字绝缘电阻测试仪,电池供电,-20°C至60°C,10%至95%,有,有,IP54,紧凑型设计，易于携带,自动切换,≤250 A/m,≤20 V/m,<3秒,50 Hz,±(1% + 3),0.01 Ω 至 10 GΩ,美国国家标准与技术研究院,nist.gov,,
双通道数字万用表,可充电电池,-10°C至50°C,0%至90%,有,无,IP67,功能全面，适合实验室使用,手动切换,≤150 A/m,≤25 V/m,<1秒,2 kHz,±(1.5% + 1),0.001 Ω 至 30 MΩ,英国家电协会,applianceassociation.eu,,
微电阻测量仪,交流/直流电源,-5°C至55°C,15%至80%,有,无,IP40,高精度，适合实验室使用,手动切换,≤100 A/m,≤10 V/m,<6秒,50 Hz - 1 kHz,±(0.5% + 0.5),0.0001 Ω 至 1 Ω,中国电工技术学会,csee.org.cn,,
防水绝缘电阻计,电池供电,-30°C至70°C,0%至95%,有,有,IP68,用于潮湿环境，防水设计,自动切换,≤400 A/m,≤20 V/m,<8秒,50 Hz,±(3% + 4),0.1 MΩ 至 30 GΩ,全球电子仪器公司,globalinstruments.com,,
低压微电阻测试仪,外部电源,-20°C至60°C,5%至85%,有,无,IP54,高灵敏度，适合精密测量,手动切换,≤200 A/m,≤15 V/m,<3秒,100 Hz,±(1% + 1),0.0001 Ω 至 500 Ω,国家电气管理局,nea.gov.cn,,
高精度电阻测量仪,电池/外部电源,-10°C至65°C,0%至90%,有,无,IP67,精密仪器，适合科研使用,自动切换,≤350 A/m,≤25 V/m,<5秒,50 Hz - 1 kHz,±(0.5% + 0.2),0.001 Ω 至 5 GΩ,国际计量局,bipm.org,,
便携式绝缘电阻测量仪,锂电池,-15°C至55°C,10%至95%,有,无,IP44,轻便设计，适合户外使用,手动切换,≤250 A/m,≤20 V/m,<4秒,50 Hz,±(2.5% + 2),0.1 MΩ 至 15 GΩ,江苏省科学技术协会,jskj.gov.cn,,
四线电阻测量仪,电池/外部电源,-20°C至70°C,5%至90%,有,无,IP65,防尘、防潮设计，适用于工业环境,自动切换,≤150 A/m,≤20 V/m,<2秒,1 kHz,±(1% + 0.5),0.001 Ω 至 100 MΩ,全国电气检测协会,cneia.gov.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至85%,有,无,IP65,防水设计，适合户外使用,自动切换,250,20,<4秒,60 Hz - 450 Hz,±(2.5% + 4),0.01 MΩ 至 5 GΩ,国际电工委员会,iec.ch,,
数字万用表,电池供电,-15°C至55°C,0%至90%,有,有,IP67,便携式，多功能,手动切换,150,25,<2秒,1 kHz,±(1.0% + 3),0.001 Ω 至 30 MΩ,中国科学技术协会,cast.org.cn,,
电桥,外部供电,-20°C至80°C,10%-95%,有,无,IP54,高精度，稳定性强,自动切换,350,40,<2秒,120 Hz,±(0.5% + 1),0.01 Ω 至 2 GΩ,上海仪器仪表厂,shinstrument.com,,
绝缘电阻测试仪,手动充电,-5°C至50°C,0%至60%,有,有,IP68,采用强抗冲击材料,自动切换,300,15,<6秒,100 Hz - 500 Hz,±(1.8% + 2),0.01 MΩ 至 15 GΩ,国家电网公司,sgcc.com.cn,,
数字万用表,交流电供电,-10°C至45°C,0%至70%,有,无,IP65,适合工业现场使用,手动切换,200,10,<3秒,900 Hz,±(1.0% + 2),0.01 Ω 至 25 MΩ,中国电器科学研究院,cesi.cn,,
电桥,外部供电,-10°C至60°C,5%-90%,有,无,IP40,紧凑型设计，用于实验室,数字化自动切换,400,50,<1秒,60 Hz,±(1.2% + 1),0.01 Ω 至 1 GΩ,华东理工大学,ecust.edu.cn,,
绝缘电阻测试仪,电池供电,-20°C至70°C,0%至95%,有,有,IP67,具备智能测量功能,智能切换,350,35,<3秒,50 Hz - 600 Hz,±(1.5% + 3),0.01 MΩ 至 10 GΩ,中国电力研究院,cepra.com.cn,,
数字万用表,电池供电,-10°C至50°C,0%至85%,有,无,IP63,适合家庭和实验室使用,自动切换,225,20,<2秒,1 kHz,±(1.7% + 3),0.01 Ω 至 5 MΩ,全国计量中心,cnmc.org.cn,,
电桥,外部供电,-20°C至65°C,0%至95%,有,无,IP50,高性能，适用于精密测量,手动切换,370,45,<2秒,100 Hz,±(0.8% + 2),0.001 Ω 至 1 GΩ,国防科技大学,nudt.edu.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,无,IP65,便携式，适合野外使用,自动切换,≤250 A/m,≤15 V/m,<4秒,60 Hz - 500 Hz,±(1.8% + 2),0.01 MΩ 至 5 GΩ,国际电气安全标准协会,iec.ch,,
数字万用表,可充电电池,-5°C至55°C,0%至85%,有,有,IP67,人性化设计，易操作,自动切换,≤150 A/m,≤20 V/m,<2秒,1 kHz,±(1.0% + 1),0.001 Ω 至 30 MΩ,中国电子技术标准化研究院,cetac.org.cn,,
电桥,外部AC/DC电源,-10°C至80°C,10%-95%,有,是,IP54,高精度，适用于实验室,手动切换,≤400 A/m,≤30 V/m,<3秒,100 Hz - 1 kHz,±(0.5 % + 0.5),0.001 Ω 至 2 GΩ,实验室仪器设备中心,labinstruments.cn,,
高精度电阻测量仪,直流恒流源,0°C至50°C,0%至75%,有,无,IP20,桌面式，适合长期监测,自动切换,≤100 A/m,≤5 V/m,<6秒,50 Hz,±(0.5% + 1),0.01 Ω 至 100 GΩ,国际标准化组织,iso.org,,
手持式数字电阻测试仪,可更换电池,-20°C至60°C,0%至80%,有,无,IP66,轻便，易于携带,自动切换,≤350 A/m,≤12 V/m,<4秒,50 Hz - 300 Hz,±(2% + 5),0.01 MΩ 至 10 GΩ,推动绿色科技联盟,greentech.org.cn,,
数字多用仪,交流电子适配器,-15°C至70°C,0%至90%,有,无,IP65,多功能设计，操作简单,手动切换,≤250 A/m,≤40 V/m,<1秒,1 kHz,±(1.2% + 3),0.001 Ω 至 10 MΩ,中国计量器具协会,cmta.org.cn,,
便携式高阻测量仪,直流电池,-5°C至55°C,10%至85%,有,无,IP54,紧凑，适合高尔夫球场使用,自动切换,≤200 A/m,≤10 V/m,<3秒,60 Hz,±(1.5% + 2),0.01 GΩ 至 100 GΩ,国家科技部,most.gov.cn,,
智能电阻测量仪,USB充电,-20°C至50°C,0%至90%,有,无,IP30,智能化，数据上传,自动切换,≤300 A/m,≤25 V/m,<5秒,100 Hz - 1 kHz,±(2% + 1),0.01 MΩ 至 1 GΩ,智能仪器设备网络,smartinstrumentation.com,,
便携式电阻测量仪,太阳能供电,-10°C至40°C,0%至100%,有,是,IP67,环保设计，适合户外使用,手动切换,≤50 A/m,≤10 V/m,<2秒,50 Hz,±(1.5% + 2),0.001 Ω 至 15 MΩ,绿色科技研究所,greenersolutions.org,,
绝缘电阻测试仪,直流电源,-15°C至60°C,5%至90%,有,有,IP66,轻便，适合现场使用,自动切换,≤500 A/m,≤15 V/m,<4秒,40 Hz - 500 Hz,±(2% + 2),0.1 MΩ 至 20 GΩ,国际电工委员会,iec.ch,,
数字万用表,交流/直流电源,-5°C至55°C,0%至75%,有,无,IP65,专业级，适合实验室,手动切换,≤250 A/m,≤25 V/m,<3秒,2 kHz,±(1.0% + 1),0.01 Ω 至 15 MΩ,中国国家标准化管理委员会,cnis.gov.cn,,
电桥,外部供电,-30°C至60°C,0%-95%,有,无,IP30,高精度，适合科研,自动切换,≤200 A/m,≤40 V/m,<5秒,200 Hz,±(0.5% + 0.5),0.001 Ω 至 100 GΩ,中国计量局,nmi.gov.cn,,
便携式电阻器测量仪,电池供电,0°C至50°C,10%至80%,有,无,IP54,小巧轻便，适用于现场测量,自动切换,≤100 A/m,≤10 V/m,<2秒,1 kHz,±(3% + 2),0.1 Ω 至 5 MΩ,电子设备技术中心,etcc.gov.cn,,
微电阻测量仪,直流电源,-20°C至55°C,0%至90%,有,无,IP67,高灵敏度，专为微小电阻设计,手动切换,≤150 A/m,≤20 V/m,<10秒,100 Hz - 1 kHz,±(1.0% + 0.01),0.0001 Ω 至 1 MΩ,中国科技部,most.gov.cn,,
耐压测试仪,交流电源,-10°C至60°C,0%至85%,有,有,IP65,安全，适合高压测试,自动切换,≤300 A/m,≤30 V/m,<4秒,50 Hz,±(2% + 1),0.1 MΩ 至 10 GΩ,中国电力公司,sgcc.com.cn,,
自动电阻测量仪,交流/直流电源,0°C至40°C,20%至90%,有,无,IP50,自动化，适用于快速测量,自动切换,≤250 A/m,≤15 V/m,<1秒,1 kHz,±(1.0% + 0.1),0.01 Ω 至 10 MΩ,中国电器工业协会,ceia.org.cn,,
接地电阻测量仪,电池供电,-10°C至45°C,5%至85%,有,无,IP64,便携式，适合接地检测,手动切换,≤200 A/m,≤20 V/m,<3秒,60 Hz,±(1.5% + 0.5),0.1 Ω 至 50 Ω,电力安全工程技术中心,pecc.gov.cn,,
高精度电阻测量仪,外部供电,-20°C至70°C,0%-95%,有,无,IP30,精度高，适合实验室使用,自动切换,≤300 A/m,≤50 V/m,<10秒,100 Hz - 1 kHz,±(0.5% + 0.1),0.001 Ω 至 100 GΩ,中国电动工具协会,cma.org.cn,,
数字绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,无,IP65,台式，适合实验室使用,自动切换,≤250 A/m,≤15 V/m,<4秒,60 Hz - 500 Hz,±(2% + 4),0.1 MΩ 至 30 GΩ,中国电子技术标准化研究院,cet.com.cn,,
便携式数字万用表,锂电池,-15°C至55°C,0%至85%,有,有,IP67,轻便，适合野外测量,手动切换,≤150 A/m,≤20 V/m,<3秒,1 kHz,±(1.0% + 1),0.001 Ω 至 50 MΩ,国家市场监督管理总局,samr.gov.cn,,
高精度电桥,内置可充电电池,-20°C至70°C,0%至95%,有,无,IP54,实验室式，支持多种测量模式,自动切换,≤400 A/m,≤50 V/m,<5秒,100 Hz,±(0.5% + 0.5),0.1 Ω 至 10 GΩ,中国计量协会,cmia.org.cn,,
抗干扰绝缘电阻测量仪,交流电源,-30°C至50°C,0%至95%,有,无,IP66,专业用于电力行业,自动切换,≤300 A/m,≤20 V/m,<2秒,1 kHz,±(1.2% + 3),0.01 MΩ 至 50 GΩ,电力研究院,creg.gov.cn,,
智能多路复用电桥,外部DC电源,-10°C至60°C,10%-80%,有,有,IP65,支持多通道同时测量,自动切换,≤200 A/m,≤25 V/m,<3秒,500 Hz,±(0.2% + 0.2),0.1 Ω 至 5 GΩ,国家计量局,nism.gov.cn,,
桌面型数字电表,AC/DC适配器,0°C至50°C,10%至95%,有,无,IP43,适合实验室及教学使用,手动切换,≤100 A/m,≤10 V/m,<4秒,1 kHz,±(1.5% + 2),0.01 Ω 至 10 MΩ,中国电力仪器集团,cepgl.com,,
