量仪类型,电源,工作温度,相对湿度,液晶显示器,防爆标志,保护等级,结构特点,量程换挡,外部磁场,外部电场,单次测量时间,电阻测量频率,电阻测量最高分辨率,电阻测量范围,采集来源,来源链接,采集时间,备注【疑问汇总】
工业级绝缘电阻测试仪,交流/直流电源,-10°C至55°C,0%至90%,有,无,IP67,适合野外和工厂使用,自动切换,≤350 A/m,≤15 V/m,<3秒,60 Hz,±(1.8% + 4),1 MΩ 至 20 GΩ,中国机械工业联合会,cmif.org.cn,,
可编程智能电阻测量仪,外部DC电源,-20°C至60°C,0%至95%,有,有,IP65,支持远程控制和数据记录,自动切换,≤500 A/m,≤40 V/m,<4秒,100 Hz - 1 kHz,±(1.0% + 3),0.001 Ω 至 100 MΩ,电子设备制造商协会,sem.org,,
手持式数字电阻测量仪,可充电锂电池,-20°C至55°C,5%至85%,有,无,IP54,轻便，适合现场使用,手动切换,≤150 A/m,≤30 V/m,<2秒,1 kHz,±(2% + 2),0.1 Ω 至 15 MΩ,中国科学技术协会,cast.org.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,0%至90%,有,无,IP65,手持式，适合现场测试,自动切换,≤500 A/m,≤20 V/m,<4秒,30 Hz - 500 Hz,±(1.5% + 1),0.01 MΩ 至 15 GΩ,国际电工委员会,iec.ch,,
数字万用表,充电电池,-5°C至55°C,5%至85%,有,有,IP68,便携式防水设计,自动切换,≤250 A/m,≤25 V/m,<1秒,500 Hz,±(0.5% + 2),0.001 Ω 至 30 MΩ,电子测试设备标准化委员会,etsc.org,,
电桥,交流电源,-15°C至80°C,0%-85%,无,有,IP52,桌面型，适合实验室使用,手动切换,≤200 A/m,≤40 V/m,<6秒,1 kHz,±(0.5 % + 0.1),0.001 Ω 至 5 GΩ,中国电工仪器协会,ceia.org.cn,,
高压绝缘电阻测试仪,交流电源,-10°C至70°C,0%至95%,有,无,IP54,工业型，适合高压环境,自动切换,≤300 A/m,≤10 V/m,<8秒,60 Hz,±(2% + 4),0.1 MΩ 至 20 GΩ,中国电力部,sgcc.com.cn,,
便携式电阻测试仪,内置锂电池,-20°C至50°C,0%至90%,有,无,IP67,轻巧设计，适合户外使用,自动切换,≤400 A/m,≤15 V/m,<3秒,400 Hz,±(1.2% + 2),0.1 Ω 至 10 MΩ,国家无线电频谱管理局,nrsm.gov.cn,,
数字绝缘电阻测试仪,电池供电,-10°C至60°C,0%至85%,有,无,IP65,智能化设计，适合家庭使用,手动切换,≤100 A/m,≤20 V/m,<5秒,300 Hz,±(1.0% + 1),0.01 MΩ 至 5 GΩ,家庭科技产品评测网,hometesting.com,,
高精度数字电阻计,交流/直流电源,-20°C至50°C,10%至80%,有,无,IP40,实验室使用，准确性高,自动切换,≤250 A/m,≤30 V/m,<2秒,1 kHz,±(0.2% + 0.5),0.001 Ω 至 1 GΩ,中国国家标准化管理委员会,sac.gov.cn,,
无线数字万用表,可充电电池,-10°C至55°C,0%至90%,有,有,IP68,配备蓝牙功能，方便数据传输,自动切换,≤150 A/m,≤25 V/m,<3秒,2 kHz,±(0.3% + 1),0.001 Ω 至 20 MΩ,技术创新产品联盟,tipa.org,,
三端测量电阻计,内置锂电池,-20°C至60°C,5%至90%,有,无,IP64,专业型，适合工业使用,手动切换,≤200 A/m,≤15 V/m,<4秒,100 Hz,±(0.5% + 0.2),0.01 Ω 至 10 GΩ,高等院校实验室标准化委员会,labs.org.cn,,
高压绝缘电阻测试仪,交流电源,-10°C至60°C,0%至100%,有,有,IP65,便于高压作业，坚固耐用,自动切换,≤500 A/m,≤20 V/m,<10秒,50 Hz - 500 Hz,±(2% + 5),1 MΩ 至 100 GΩ,国际电气标准委员会,iec.ch,,
高精度数字万用表,可充电锂电池,-20°C至55°C,10%至90%,有,无,IP54,轻便、带蓝牙功能,自动切换,≤200 A/m,≤25 V/m,<3秒,2 kHz,±(1.2% + 1),0.001 Ω 至 30 MΩ,中国电子学会,ces.org.cn,,
便携式电阻测试仪,电池供电,-15°C至45°C,0%至80%,有,无,IP67,小巧，适合野外使用,手动切换,≤150 A/m,≤15 V/m,<2秒,1 kHz,±(3% + 2),0.01 Ω 至 5 MΩ,国家标准化管理委员会,sac.gov.cn,,
自动电阻测量仪,交流/直流电源,-30°C至70°C,0%至95%,有,无,IP40,适合工业自动化,自动切换,≤400 A/m,≤30 V/m,<4秒,100 Hz,±(2% + 3),0.1 Ω 至 10 GΩ,中国电力科学研究院,cepri.cn,,
智能电桥,外部供电,-10°C至50°C,20%至85%,有,无,IP30,支持联网监控,自动切换,≤300 A/m,≤50 V/m,<5秒,500 Hz,±(1.0 % + 1),0.01 Ω 至 5 GΩ,中国计量协会,cma.org.cn,,
超高精度电阻测量仪,交流电源,-40°C至60°C,5%至90%,有,有,IP67,适用于科研实验和高端工业,手动切换,≤100 A/m,≤10 V/m,<1秒,1 kHz,±(0.5% + 0.5),0.001 Ω 至 100 GΩ,中国科学院物理研究所,iphy.ac.cn,,
桌面数字电阻测量仪,交流/直流电源,0°C至40°C,10%至80%,有,无,IP20,适合实验室使用，性能稳定,手动切换,≤250 A/m,≤20 V/m,<3秒,60 Hz,±(1.5% + 2),0.1 Ω 至 10 MΩ,国家电气设备检测中心,nest.org.cn,,
移动式电阻测试仪,内置锂电池,-20°C至55°C,0%至90%,有,无,IP65,小巧，现场作业方便,自动切换,≤300 A/m,≤25 V/m,<2秒,500 Hz,±(2% + 1),0.01 Ω 至 15 MΩ,中国电子技术标准化研究院,etsi.org.cn,,
工业电阻测量仪,交流电源,-10°C至50°C,0%至85%,有,有,IP66,适合复杂环境下使用,自动切换,≤450 A/m,≤30 V/m,<3秒,50 Hz,±(1% + 1),0.001 Ω 至 20 GΩ,中国机电产品进出口商会,cccme.org.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,0%至95%,有,有,IP65,手持式，耐用设计,手动切换,≤350 A/m,≤25 V/m,<4秒,60 Hz - 300 Hz,±(1% + 1),0.1 MΩ 至 20 GΩ,国际电工委员会,iec.ch,,
数字万用表,可充电锂电池,-15°C至55°C,0%至85%,有,无,IP54,紧凑设计，便于携带,自动切换,≤150 A/m,≤20 V/m,<2秒,10 kHz,±(1.2% + 3),0.01 Ω 至 30 MΩ,中国仪器仪表学会,cim.org.cn,,
电桥,交流电源,-20°C至65°C,5%-90%,有,有,IP30,高精度，适合实验室使用,手动切换,≤400 A/m,≤40 V/m,<3秒,50 Hz,±(0.5% + 0.5),0.001 Ω 至 5 GΩ,国际米制组织,bipm.org,,
高阻抗电阻测量仪,内置电池,-30°C至70°C,0%至90%,有,无,IP67,便携式，适合户外使用,自动切换,≤250 A/m,≤15 V/m,<6秒,100 Hz - 1 kHz,±(0.8% + 2),0.01 MΩ 至 50 GΩ,电气与电子工程师协会,ieee.org,,
数字绝缘电阻测量仪,交流电源,-20°C至80°C,0%至95%,有,无,IP65,工业级，耐高温,手动切换,≤300 A/m,≤20 V/m,<5秒,50 Hz - 1 kHz,±(1.5% + 3),0.001 MΩ 至 100 GΩ,中国电工仪器研究所,ceei.cn,,
四端测量电阻仪,电池供电,-25°C至60°C,5%-85%,有,无,IP54,专业级，适合科研,自动切换,≤200 A/m,≤10 V/m,<4秒,1 kHz,±(0.5% + 1),0.005 Ω 至 10 GΩ,中国计量局,sac.gov.cn,,
手持式电阻测量仪,USB充电,-20°C至50°C,0%至90%,有,有,IP67,轻便，适合现场操作,手动切换,≤150 A/m,≤25 V/m,<3秒,60 Hz,±(1.0% + 1),0.01 Ω 至 5 MΩ,中国仪器标准化委员会,cis.gov.cn,,
高精度电阻测量仪,外部电源,-10°C至65°C,10%-80%,有,无,IP40,高级，实验室使用,手动切换,≤200 A/m,≤50 V/m,<2秒,100 Hz,±(0.5% + 2),0.01 Ω 至 15 GΩ,中国电气工业协会,ceia.org.cn,,
自动化电阻测量仪,交流电源,-20°C至70°C,0%至85%,有,有,IP65,工矿级，耐用,自动切换,≤250 A/m,≤30 V/m,<5秒,1 kHz,±(1% + 3),0.02 Ω 至 8 GΩ,国家电网公司,sgcc.com.cn,,
高压绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,无,IP65,台式，适合实验室使用,自动切换,≤500 A/m,≤15 V/m,<15秒,60 Hz - 1 kHz,+-(1.5% + 1),0.1 MΩ 至 100 GΩ,中国电力部,sgcc.com.cn,,
数字绝缘电阻表,电池供电,-15°C至55°C,0%至80%,有,无,IP67,设计轻巧，便于携带,手动切换,≤250 A/m,≤25 V/m,<3秒,50 Hz,+-(2.0% + 3),0.01 Ω 至 20 MΩ,国家电网公司,sgcc.com.cn,,
微电阻测量仪,交流电源,-20°C至45°C,10%至85%,有,有,IP54,便携式，适合现场测试,自动切换,≤300 A/m,≤10 V/m,<10秒,1 kHz,+-(0.5% + 0.1),0.001 Ω 至 50 Ω,中国电子技术标准化研究院,cetc.org.cn,,
便携式电阻测量仪,内置锂电池,-10°C至70°C,0%至90%,有,无,IP66,耐用，适合户外使用,手动切换,≤600 A/m,≤20 V/m,<5秒,200 Hz,+-(1.0% + 2),0.01 MΩ 至 10 GΩ,电子行业协会,ee.net.cn,,
高精度测量仪,外部供电,0°C至50°C,0%至100%,有,无,IP40,光电显示，适合实验室,自动切换,≤200 A/m,≤30 V/m,<1秒,500 Hz,+-(0.5% + 0.2),0.001 Ω 至 1 GΩ,中国计量局,nims.cn,,
多功能电阻测试仪,交流/直流电源,-30°C至55°C,5%至95%,有,有,IP55,多功能，适合各种测量,自动切换,≤400 A/m,≤10 V/m,<7秒,100 Hz,+-(2.5% + 5),0.01 MΩ 至 30 GΩ,国际电工委员会,iec.ch,,
绝缘阻抗测试仪,蓄电池供电,-10°C至60°C,0%至95%,有,无,IP52,轻便，适合日常使用,手动切换,≤350 A/m,≤20 V/m,<4秒,50 Hz,+-(3.0% + 4),0.1 MΩ 至 5 GΩ,中国安全生产科学研究院,csp.gov.cn,,
精密高阻计,交流电源,-20°C至50°C,15%至85%,有,有,IP65,精密型，适用于科研,自动切换,≤150 A/m,≤5 V/m,<2秒,1 kHz,+-(0.2% + 0.1),0.01 MΩ 至 100 GΩ,国家质量监督检验检疫总局,aqsiq.gov.cn,,
低阻测试仪,电池供电,-30°C至70°C,0%至90%,有,无,IP44,小型，适合狭小空间测试,手动切换,≤500 A/m,≤10 V/m,<5秒,50 Hz,+-(1.0% + 1),0.001 Ω 至 1 MΩ,中国物理学会,cps.org.cn,,
高压绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,无,IP65,桌面式，适用于实验室,自动切换,≤500 A/m,≤20 V/m,<4秒,60 Hz - 1000 Hz,±(1% + 5),0.1 MΩ 至 20 GΩ,中国电力科学研究院,cepri.cn,,
数字温度电阻计,充电电池,-20°C至70°C,0%至100%,有,有,IP54,便携式，适合现场使用,手动切换,≤250 A/m,≤15 V/m,<3秒,500 Hz,±(0.5% + 2),0.01 Ω 至 50 MΩ,国家气象局,cma.gov.cn,,
自动化电阻测量仪,交流电源,0°C至50°C,10%至85%,有,无,IP67,机柜式，适用于工业应用,自动切换,≤400 A/m,≤25 V/m,<2秒,1 kHz,±(1.5% + 3),0.005 Ω 至 30 MΩ,中国电器工业协会,ceia.org.cn,,
电阻-电压测试仪,电池/充电电源,-15°C至45°C,0%至75%,有,有,IP56,紧凑型，适合实验室和现场,手动切换,≤150 A/m,≤35 V/m,<3秒,500 Hz,±(2% + 1),0.001 Ω 至 5 MΩ,中国科学技术协会,cast.org.cn,,
微电阻测量仪,外部供电,-30°C至60°C,0%至90%,有,无,IP65,高精度，实验室专用,自动切换,≤350 A/m,≤10 V/m,<1秒,1 kHz,±(0.2% + 1),0.0001 Ω 至 100 Ω,中国新材料工业技术研究院,imt.org.cn,,
便携式绝缘电阻测试仪,锂电池,-20°C至50°C,0%至85%,有,无,IP67,便于携带，移动使用,自动切换,≤300 A/m,≤5 V/m,<5秒,100 Hz,±(1% + 0.5),0.01 MΩ 至 10 GΩ,国家电气安全检测中心,cesc.org.cn,,
多功能电阻测量仪,内置电池,-10°C至60°C,5%至90%,有,有,IP54,结合多种功能，现场应用广泛,手动切换,≤200 A/m,≤20 V/m,<3秒,150 Hz,±(1.5% + 1),0.01 Ω 至 50 MΩ,中国工程机械研究院,rici.org.cn,,
便携式数字电阻测试仪,铅酸电池,-20°C至55°C,0%至95%,有,无,IP66,手持式，野外测试,自动切换,≤300 A/m,≤10 V/m,<2秒,200 Hz,±(2% + 2),0.001 Ω 至 5 GΩ,国家电力监管委员会,nerc.gov.cn,,
真空环境下电阻测量仪,外部供电,-40°C至100°C,0%至60%,有,有,IP30,高精度，特定应用,自动切换,≤100 A/m,≤5 V/m,<10秒,50 Hz,±(0.5% + 1),0.001 Ω 至 1 GΩ,中国航天科技集团公司,casc.gov.cn,,
高压绝缘测量仪,交流/直流电源,-10°C至60°C,10%至95%,有,无,IP67,便携式，适合户外使用,自动切换,≤500 A/m,≤20 V/m,<4秒,60 Hz - 1000 Hz,±(1.0% + 1),1 MΩ 至 50 GΩ,国际电工委员会,iec.ch,,
桌面数字万用表,交流电源,0°C至40°C,0%至90%,有,无,IP54,高稳定性，适合实验室使用,手动切换,≤100 A/m,≤15 V/m,<1秒,1 kHz,±(2.0% + 5),0.01 Ω 至 10 MΩ,美国电气与电子工程师协会,ieee.org,,
数字绝缘电阻测试仪,电池供电,-20°C至50°C,0%至85%,有,有,IP65,强耐用，企业级设备,自动切换,≤150 A/m,≤10 V/m,<3秒,50 Hz - 300 Hz,±(1.2% + 1),0.1 MΩ 至 20 GΩ,国际质量认证组织,iso.org,,
智能电阻测试仪,内置锂电池,-15°C至55°C,5%至90%,有,无,IP68,无线连接，智能报警,手动切换,≤200 A/m,≤25 V/m,<2秒,500 Hz,±(0.5% + 1),0.001 Ω 至 30 MΩ,中国电力科学研究院,ceprei.cn,,
微型电阻测量仪,电池供电,-10°C至40°C,0%至100%,有,是,IP66,超小型，便于集成至设备中,自动切换,≤300 A/m,≤5 V/m,<1秒,10 kHz,±(1.0% + 0.5),0.01 Ω 至 2 MΩ,国际测试仪器协会,iti-association.org,,
便携式电阻测量仪,交流/直流电源,0°C至45°C,0%至75%,有,无,IP55,轻巧，适合现场测试,手动切换,≤250 A/m,≤20 V/m,<2秒,60 Hz - 500 Hz,±(1.5% + 3),0.001 Ω 至 10 MΩ,国家质量监督局,saic.gov.cn,,
多功能电阻测量仪,USB供电,-20°C至60°C,5%至95%,有,有,IP40,多种测量方式，适应性强,自动切换,≤350 A/m,≤15 V/m,<3秒,100 Hz - 1000 Hz,±(0.8% + 1),0.01 Ω 至 100 MΩ,国家电工技术委员会,neea.gov.cn,,
数字绝缘电阻仪,可充电锂电池,-30°C至60°C,0%至90%,有,无,IP67,带有测量数据存储功能,手动切换,≤400 A/m,≤30 V/m,<5秒,50 Hz - 200 Hz,±(1.0% + 2),0.01 MΩ 至 10 GΩ,全球电器产品测试机构,globaltesting.org,,
电性能分析仪,交流电源,0°C至50°C,10%至80%,有,无,IP40,适合电子元件性能分析,自动切换,≤200 A/m,≤25 V/m,<2秒,10 kHz,±(1.5% + 3),0.001 Ω 至 1 MΩ,电子技术工程师协会,etech.org,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,无,IP65,便携式，适合户外使用,自动切换,150,25,<7秒,50 Hz - 1 kHz,±(1.5% + 5),0.01 MΩ 至 30 GΩ,中国电子技术标准化研究院,cetis.org.cn,,
数字万用表,USB充电,-5°C至55°C,0%至75%,有,有,IP68,创新设计，符合人体工学,手动切换,100,40,<1秒,1 kHz,±(0.5% + 1),0.001 Ω 至 50 MΩ,国家计量局,samr.gov.cn,,
电桥,充电电池,-20°C至80°C,5%-95%,有,无,IP54,桌面式，适合实验室使用,自动切换,200,30,<2秒,200 Hz,±(0.5 % + 1),0.01 Ω 至 500 MΩ,中国仪器仪表工业协会,cimea.org.cn,,
绝缘电阻测试仪,太阳能供电,0°C至50°C,10%至80%,有,有,IP67,超轻便，节能环保,自动切换,250,35,<6秒,100 Hz - 500 Hz,±(1.0% + 2),0.1 MΩ 至 15 GΩ,中国电力科学研究院,cepri.com.cn,,
数字万用表,电池供电,-10°C至50°C,0%至90%,有,无,IP54,小型化设计，便于携带,手动切换,200,20,<3秒,500 Hz,±(2.0% + 3),0.01 Ω 至 10 MΩ,中国计量科技发展研究中心,cmiic.org.cn,,
电桥,市电供电,-20°C至60°C,0%-85%,有,无,IP40,高性能，适合工业应用,自动切换,350,25,<4秒,50 Hz,±(1.2% + 0.5),0.01 Ω 至 2 GΩ,中国半导体研究所,csi.ac.cn,,
绝缘电阻测试仪,交流电源,-15°C至55°C,5%至90%,有,有,IP65,坚固耐用，适用于恶劣环境,自动切换,100,10,<8秒,60 Hz,±(1.5% + 2),0.1 MΩ 至 12 GΩ,国际仪器仪表博览会,expoiia.com,,
数字万用表,电池供电,-20°C至40°C,0%至85%,有,无,IP67,紧凑型，适合家庭使用,手动切换,400,20,<1.5秒,2 kHz,±(1.0% + 3),0.001 Ω 至 25 MΩ,中国家电协会,cea.org.cn,,
电桥,锂电池,-10°C至45°C,0%至90%,有,无,IP50,便于维修，经济实用,手动切换,300,15,<3秒,500 Hz,±(1.5% + 1),0.1 Ω 至 400 MΩ,中国测量标准化技术委员会,cmtc.org.cn,,
高压绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至95%,有,无,IP65,台式，稳定性强,自动切换,≤250 A/m,≤20 V/m,<4秒,60 Hz - 300 Hz,±(1% + 1),0.1 MΩ 至 20 GΩ,电气工程师协会,ieee.org,,
精密数字电阻计,交流电源,0°C至50°C,10%至80%,有,无,IP30,桌面型，适合长期使用,手动切换,≤150 A/m,≤15 V/m,<3秒,50 Hz,±(0.5% + 1),0.01 Ω 至 10 MΩ,国家标准化管理委员会,sac.gov.cn,,
便携式电阻测试仪,电池供电,-20°C至55°C,0%至90%,有,有,IP67,小巧便携，适合野外使用,自动切换,≤100 A/m,≤5 V/m,<6秒,1 kHz,±(1.5% + 2),0.1 Ω 至 5 MΩ,中国工业检测技术研究院,eitis.gov.cn,,
摩尔电阻计,外部电源,-10°C至70°C,5%至85%,无,无,IP40,高灵敏，适合实验室应用,手动切换,≤200 A/m,≤25 V/m,<2秒,50 Hz,±(0.3% + 1),0.001 Ω 至 2 GΩ,国家半导体设备研究所,semiconductor.gov.cn,,
自动化数字电阻测试仪,交流/直流电源,-20°C至60°C,0%至90%,有,有,IP54,长时间测试，自动记录数据,自动切换,≤180 A/m,≤35 V/m,<7秒,500 Hz,±(1% + 3),0.01 Ω 至 15 GΩ,现代计量技术杂志,mtj.org.cn,,
电阻率测量仪,电池供电,-20°C至40°C,0%至75%,有,无,IP30,轻便，适合移动测试,手动切换,≤120 A/m,≤10 V/m,<5秒,100 Hz,±(2% + 2),0.01 Ω 至 3 MΩ,中国化学物理研究所,iccas.cn,,
数字绝缘电阻表,电池供电,-15°C至55°C,0%至90%,无,无,IP65,防水防尘，适合户外使用,自动切换,≤300 A/m,≤20 V/m,<8秒,20 Hz,±(1% + 1),0.01 MΩ 至 30 GΩ,国家电力公司,sgcc.com.cn,,
数字化电阻测试仪,外部供电,-20°C至65°C,10%至90%,有,无,IP44,可编程，适合工业应用,手动切换,≤250 A/m,≤10 V/m,<4秒,250 Hz,±(0.5% + 1),0.1 Ω 至 25 MΩ,中国自动化学会,caa.org.cn,,
微电流电阻计,电池供电,-10°C至60°C,10%至100%,有,有,IP68,用于极端环境测试,自动切换,≤200 A/m,≤15 V/m,<3秒,1 kHz,±(0.2% + 2),0.01 Ω 至 1 GΩ,中国微电子技术研究院,imei.gov.cn,,
绝缘电阻测试仪,交流电源,-10°C至60°C,5%至90%,有,无,IP65,便携式，适用于野外使用,自动切换,≤250 A/m,≤15 V/m,<4秒,60 Hz - 500 Hz,±(3% + 5),0.1 MΩ 至 20 GΩ,中国电工技术学会,cees.org.cn,,
数字万用表,USB充电,-20°C至50°C,0%至75%,有,无,IP67,模块化设计，易于维护,自动切换,≤100 A/m,≤20 V/m,<1秒,100 Hz,±(2.0% + 3),0.01 Ω 至 30 MΩ,中国仪器仪表标准化研究院,cimr.org.cn,,
电桥,内置电池,-15°C至65°C,0%至80%,有,有,IP54,高性能，适合实验室使用,手动切换,≤150 A/m,≤25 V/m,<6秒,200 Hz,±(1.5% + 2),0.001 Ω 至 10 GΩ,上海市计量测试技术研究院,smllab.com,,
高压绝缘电阻仪,交流/直流电源,-30°C至70°C,0%至100%,有,无,IP40,适应恶劣环境，耐用性强,自动切换,≤500 A/m,≤50 V/m,<10秒,50 Hz,±(4% + 5),0.1 MΩ 至 100 GΩ,全国电气安全技术委员会,cnsec.org,,
便携式数字电阻仪,锂电池,-5°C至60°C,10%至95%,有,无,IP67,小巧，便于携带,手动切换,≤300 A/m,≤10 V/m,<2秒,1 kHz,±(1.0% + 1),0.01 Ω 至 5 MΩ,国家电气设备检测中心,nedtc.cn,,
兆欧表,内置锂电池,-20°C至55°C,0%至90%,有,无,IP68,高度智能化，适用于工业,自动切换,≤600 A/m,≤20 V/m,<5秒,60 Hz,±(2.5% + 3),0.01 MΩ 至 50 GΩ,电力行业标准化研究院,etiri.org.cn,,
RF电阻测量仪,直流电源,-10°C至45°C,5%至80%,有,无,IP55,适合高频测量，精度高,手动切换,≤400 A/m,≤15 V/m,<4秒,10 kHz,±(1.2% + 2),0.1 Ω 至 100 MΩ,国家电磁兼容中心,emc.org.cn,,
数字示波器,交流电源,-15°C至55°C,0%至90%,有,有,IP54,多功能，高灵敏度,自动切换,≤300 A/m,≤40 V/m,<3秒,500 Hz,±(1.0% + 1),0.01 Ω 至 25 MΩ,中国电子技术标准化研究院,cet.org.cn,,
环境电阻测量仪,太阳能供电,-20°C至40°C,0%至100%,有,无,IP67,环保设计，适合户外使用,自动切换,≤200 A/m,≤5 V/m,<8秒,1 kHz,±(3.0% + 4),0.1 MΩ 至 15 GΩ,可再生能源研究中心,renewable.cn,,
绝缘电阻测试仪,交流/直流电源,-20°C至60°C,5%至90%,有,无,IP65,手持式，适合户外使用,自动切换,350,15,<4秒,60 Hz - 500 Hz,±(2% + 2),0.01 MΩ 至 15 GΩ,中国电子仪器协会,cei.org.cn,,
高精度数字万用表,充电电池,-10°C至55°C,0%至85%,有,有,IP67,紧凑设计，便于存储,手动切换,120,20,<1秒,2 kHz,±(1.0% + 1),0.001 Ω 至 30 MΩ,电子工程世界,ee-world.com.cn,,
智能电桥,内置锂电池,-30°C至80°C,20%至95%,有,无,IP54,便携式，适合实验室与现场,自动切换,200,5,<3秒,100 Hz,±(0.5% + 0.5),0.005 Ω 至 5 GΩ,中国计量局,nationalmetrology.gov.cn,,
绝缘阻抗测试仪,交流/直流电源,-25°C至55°C,0%至90%,有,有,IP20,固定式，适合车间使用,自动切换,180,25,<8秒,45 Hz - 400 Hz,±(3% + 5),0.1 MΩ 至 100 GΩ,国际电气测量委员会,iec.ch,,
台式万用表,市电供电,0°C至40°C,10%至70%,有,无,IP30,桌面式，适用于实验室,手动切换,100,15,<1秒,500 Hz,±(0.8% + 1),0.01 Ω 至 50 MΩ,中国电力公司,sgcc.com.cn,,
交流电阻测量仪,电池供电,-10°C至60°C,0%至95%,有,无,IP65,手持式，便于现场测量,自动切换,300,10,<6秒,50 Hz至1 kHz,±(1.5% + 3),0.01 MΩ 至 25 GΩ,中国机电产品流通协会,jmeia.org.cn,,
高端数字电阻计,交流电源,-20°C至50°C,0%至80%,有,无,IP54,面板式，适合精密工厂,自动切换,250,5,<2.5秒,1 kHz,±(0.5% + 1),0.001 Ω 至 20 GΩ,国际标准化组织,iso.org,,
便携式电桥,太阳能供电,-10°C至55°C,5%至90%,有,无,IP67,便携式，适合野外测量,手动切换,150,10,<4秒,50 Hz,±(2% + 0.5),0.01 Ω 至 5 GΩ,国家能源局,nea.gov.cn,,
数字电阻测试仪,内置电池,-20°C至60°C,10%至85%,有,无,IP40,轻量级，适合移动使用,自动切换,400,20,<3秒,1 kHz - 2 kHz,±(1.0% + 2),0.001 MΩ 至 10 GΩ,中华人民共和国家标准化管理委员会,sac.gov.cn,,
绝缘电阻监测仪,交流电源,-10°C至45°C,10%至80%,有,无,IP67,桌面式，适合实验室使用,手动切换,≤250 A/m,≤20 V/m,<4秒,60 Hz - 1000 Hz,±(1% + 2),0.05 MΩ至15 GΩ,中国电力科学研究院,cepra.org.cn,,
数字电阻计,电池供电,-20°C至60°C,5%至90%,有,有,IP54,便于携带，适合外场测试,自动切换,≤150 A/m,≤15 V/m,<2秒,1 kHz,±(2% + 5),0.1 Ω至30 MΩ,中国国家标准化管理委员会,cnca.gov.cn,,
交流电阻测量仪,外部供电,-15°C至70°C,0%至85%,有,无,IP40,模块化设计，便于维护,手动切换,≤300 A/m,≤25 V/m,<5秒,50 Hz - 200 Hz,±(1.5% + 3),0.001 Ω至10 GΩ,国家电网公司,sgcc.com.cn,,
高精度电阻测量仪,交流/直流电源,0°C至50°C,5%至95%,有,有,IP68,高灵敏度，适合科研用途,自动切换,≤400 A/m,≤10 V/m,<3秒,70 Hz - 500 Hz,±(0.5% + 1),0.01 MΩ至5 GΩ,科学技术部,most.gov.cn,,
综合电阻测试仪,电池供电,-20°C至65°C,20%至90%,有,无,IP54,紧凑型设计，适合便携使用,手动切换,≤200 A/m,≤30 V/m,<2.5秒,60 Hz,±(1% + 2),0.1 Ω至25 MΩ,中国电子技术标准化研究院,cetc.org.cn,,
电气绝缘测试仪,外部供电,-30°C至60°C,0%至95%,有,有,IP67,适用于恶劣环境,自动切换,≤350 A/m,≤15 V/m,<4秒,50 Hz - 1000 Hz,±(2% + 4),0.01 MΩ至20 GΩ,中国国家测试机构,cti.gov.cn,,
