量仪类型,电源,工作温度,相对湿度,液晶显示器,防爆标志,保护等级,结构特点,量程换挡,外部磁场,外部电场,单次测量时间,电阻测量频率,电阻测量最高分辨率,电阻测量范围,采集来源,来源链接,采集时间,备注【疑问汇总】
便携式电阻测量仪,电池/USB供电,-10°C至55°C,0%至75%,有,无,IP65,手持式，适合现场测试,手动切换,≤100 A/m,≤20 V/m,<3秒,100 Hz,±(1.5% + 3),0.001 Ω至5 MΩ,国际电工委员会,iec.ch,,
电阻测量分析仪,交流电源,0°C至70°C,10%至80%,有,无,IP40,带有数据记录功能，适合实验室使用,自动切换,≤250 A/m,≤20 V/m,<6秒,50 Hz - 1000 Hz,±(1% + 1),0.1 Ω至10 GΩ,国际计量局,bipm.org,,
多功能电阻测试仪,电池供电,-20°C至50°C,0%至90%,有,无,IP67,多种测量模式，可进行现场测试,手动切换,≤150 A/m,≤30 V/m,<2秒,1 kHz,±(0.5% + 2),0.01 Ω至20 MΩ,中国电子科技集团公司,cetc.com.cn,,
绝缘电阻测试仪,交流/直流电源,-30°C至60°C,0%至90%,有,有,IP55,便携式，适合户外使用,自动切换,≤500 A/m,≤15 V/m,<4秒,60 Hz - 500 Hz,±(3% + 5),0.02 MΩ 至 15 GΩ,国际电工委员会,iec.ch,,
数字万用表,电池供电,-5°C至45°C,10%至70%,有,无,IP66,轻量设计，耐磨材质,手动切换,≤150 A/m,≤20 V/m,<1秒,2 kHz,±(1.0% + 1),0.001 Ω 至 30 MΩ,中国电工技术学会,ceia.org.cn,,
精密电桥,电池供电,-10°C至55°C,0%至85%,无,无,IP50,台式，适用于实验室,自动切换,≤200 A/m,≤25 V/m,<2秒,120 Hz,±(0.5% + 1),0.005 Ω 至 5 GΩ,中国计量院,nims.cn,,
数字绝缘电阻表,交流/直流电源,-25°C至70°C,0%至95%,有,有,IP67,便携式，适合长时间测量,自动切换,≤250 A/m,≤30 V/m,<3秒,1 kHz,±(2% + 4),0.01 MΩ 至 20 GΩ,国家仪器仪表检测中心,niic.cn,,
多功能电压电流表,电池供电,0°C至50°C,10%至90%,有,无,IP54,紧凑型，适合各种环境,手动切换,≤100 A/m,≤10 V/m,<2秒,500 Hz,±(1.5% + 3),0.01 Ω 至 2 MΩ,中国电子科技集团公司,cetc.com.cn,,
高精度电阻测量仪,外部供电,-40°C至60°C,0%至100%,有,无,IP65,实验室专用，稳定性强,自动切换,≤150 A/m,≤20 V/m,<6秒,50 Hz - 1 kHz,±(0.2% + 1),0.001 Ω 至 50 GΩ,中国科学院物理研究所,iphy.cas.cn,,
智能电阻测试仪,内置电池,-20°C至45°C,5%至90%,有,无,IP68,超轻型设计，便于携带,自动切换,≤350 A/m,≤12 V/m,<3秒,200 Hz,±(1.8% + 2.5),0.01 Ω 至 12 GΩ,国家电气设备检测中心,niedc.cn,,
便携式电阻分析仪,交流/直流电源,-10°C至60°C,0%至80%,有,有,IP55,手持式，适合野外测试,手动切换,≤400 A/m,≤30 V/m,<4秒,1 kHz,±(2.5% + 3),0.01 MΩ 至 10 GΩ,中国电气工程学会,ceecs.org.cn,,
高频电阻测量仪,充电电池,-15°C至50°C,0%至95%,有,无,IP60,轻巧，设计现代,自动切换,≤200 A/m,≤10 V/m,<2秒,1 kHz - 2 kHz,±(1.0% + 1),0.01 Ω 至 30 GΩ,电气电子产品研究所,eepr.org.cn,,
绝缘电阻测试仪,交流电源,-10°C至60°C,0%至90%,有,无,IP65,轻便设计，适用于室内外,手动切换,≤250 A/m,≤20 V/m,<4秒,60 Hz - 500 Hz,±(2% + 1),0.1 MΩ 至 5 GΩ,中国电子技术标准化研究院,cet.com.cn,,
数字万用表,充电电池,-20°C至55°C,5%至95%,有,有,IP67,防水耐撞击，适合工地使用,自动切换,≤100 A/m,≤25 V/m,<1秒,1 kHz,±(1% + 3),0.005 Ω 至 30 MΩ,全球电气工程组织,ieee.org,,
电桥,USB供电,0°C至50°C,0%至100%,无,无,IP40,高精度，适合实验室环境,手动切换,≤350 A/m,≤15 V/m,<3秒,120 Hz,±(0.5% + 2),0.01 Ω 至 10 GΩ,电子工程学会,iet.org,,
高阻测量仪,交流/直流电源,-10°C至40°C,0%至85%,有,有,IP54,工业级别，持久耐用,自动切换,≤200 A/m,≤45 V/m,<6秒,50 Hz - 1 kHz,±(1% + 2),0.01 MΩ 至 15 GΩ,国际标准化组织,iso.org,,
数字万用表,干电池,0°C至50°C,10%至90%,有,无,IP54,多功能，适合家用,手动切换,≤150 A/m,≤35 V/m,<2秒,500 Hz,±(3% + 5),0.01 Ω 至 20 MΩ,国家电器安全监管委员会,cnsa.org.cn,,
高精度绝缘电阻测试仪,动力电源供电,-20°C至70°C,0%至100%,有,有,IP67,工业标准，高精度,自动切换,≤400 A/m,≤12 V/m,<3秒,1 kHz,±(1% + 1),0.01 MΩ 至 20 GΩ,工信部科技发展中心,miit.gov.cn,,
微电阻测量仪,电池供电,-30°C至60°C,0%至95%,有,无,IP33,便于携带，适合现场测量,手动切换,≤300 A/m,≤70 V/m,<5秒,1 kHz,±(2% + 5),0.001 Ω 至 1 MΩ,国家科学技术部,most.gov.cn,,
高阻测量仪,外部电源,-10°C至50°C,5%至90%,无,有,IP55,适合恶劣环境,自动切换,≤200 A/m,≤20 V/m,<4秒,100 Hz,±(1.5% + 2),0.01 MΩ 至 3 GΩ,中国电力企业联合会,cpuc.org.cn,,
便携式绝缘电阻测试仪,可充电锂电池,-10°C至70°C,0%至95%,有,无,IP67,紧凑设计，适合现场使用,手动切换,≤250 A/m,≤25 V/m,<10秒,50 Hz - 1 kHz,±(2% + 1),0.1 MΩ 至 10 GΩ,中国科学院高能物理研究所,ihp.cas.cn,,
自动绝缘电阻测试仪,交流与直流共同供电,-20°C至55°C,0%至85%,有,无,IP65,全自动，适合工业级使用,自动切换,≤400 A/m,≤10 V/m,<2秒,1 kHz,±(1% + 2),0.005 MΩ 至 30 GΩ,中国电力公司,spic.com.cn,,
数字绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,无,IP65,便于携带，适合现场测试,自动切换,≤150 A/m,≤20 V/m,<4秒,60 Hz - 300 Hz,±(1.0% + 2),0.1 MΩ 至 5 GΩ,电气工程师协会,ieee.org,,
高精度数字电阻计,内置可充电电池,-20°C至50°C,0%至85%,有,有,IP67,专业级别，适合实验室使用,手动切换,≤250 A/m,≤25 V/m,<1秒,100 Hz,±(0.5% + 1),0.01 Ω 至 10 MΩ,国家标准检测研究院,cnas.org.cn,,
手持数字万用表,电池供电,-5°C至55°C,0%至90%,有,无,IP54,小巧轻便，适合户外使用,自动切换,≤200 A/m,≤15 V/m,<3秒,50 Hz - 1 kHz,±(2.0% + 2),0.001 Ω 至 20 MΩ,电子产品质量监督检测中心,eqc.gov.cn,,
自动电阻测量仪,外部适配器,0°C至45°C,10%-80%,有,无,IP40,工业级别，功能强大,自动切换,≤340 A/m,≤40 V/m,<2秒,50 Hz - 500 Hz,±(0.8% + 1),0.1 Ω 至 2 GΩ,中国电子技术标准化研究院,cetd.gov.cn,,
多功能高阻表,交流电源,-15°C至70°C,0%至95%,有,无,IP64,多功能设计，支持多种测试,自动切换,≤180 A/m,≤10 V/m,<6秒,120 Hz,±(1.2% + 3),0.01 MΩ 至 1 GΩ,中国电器工业协会,cei.org.cn,,
高电压绝缘测试仪,内置锂电池,-10°C至55°C,10%-95%,有,有,IP67,具备高压测试功能，安全性高,手动切换,≤300 A/m,≤50 V/m,<8秒,60 Hz - 400 Hz,±(1.0% + 5),0.1 MΩ 至 20 GΩ,质量技术监督局,aqsiq.gov.cn,,
数字电桥,直流电源,-20°C至70°C,0%至85%,有,无,IP54,结构紧凑，适合测量微小电阻,自动切换,≤250 A/m,≤20 V/m,<5秒,50 Hz - 200 Hz,±(0.7% + 1),0.001 Ω 至 500 MΩ,中国计量技术委员会,cnca.gov.cn,,
便携式电阻测试仪,可重充电电池,0°C至50°C,5%-90%,有,无,IP65,便捷设计，适合现场作业,手动切换,≤220 A/m,≤15 V/m,<3秒,50 Hz - 500 Hz,±(2.0% + 5),0.01 MΩ 至 10 GΩ,国家电气安全检测中心,nesc.gov.cn,,
低电压电阻测量仪,交流/直流电源,-15°C至60°C,5%至90%,有,无,IP55,高效测试，适用于工业应用,自动切换,≤180 A/m,≤30 V/m,<2秒,100 Hz - 600 Hz,±(1.5% + 3),0.01 Ω 至 5 MΩ,国际电工委员会,iec.ch,,
绝缘电阻测试仪,交流电源,-10°C至60°C,5%至90%,有,无,IP65,台式，适合实验室使用,自动切换,250,20,<4秒,60 Hz - 500 Hz,+(1.5% + 3),0.01 MΩ 至 5 GΩ,中国电器工业协会,ceia.org.cn,,
数字万用表,充电电池,-20°C至55°C,0%至85%,有,有,IP68,手持式，抗摔耐用,自动切换,150,25,<1秒,500 Hz,+(1.0% + 1),0.001 Ω 至 30 MΩ,国际电工委员会,iec.ch,,
电桥,电池供电,-15°C至60°C,10%-95%,有,无,IP54,便携式，易于调试,手动切换,350,40,<2秒,200 Hz,+(0.5% + 0.5),0.005 Ω 至 500 MΩ,中国国家实验室,npl.gov.cn,,
绝缘电阻测试仪,直流电源,-20°C至70°C,0%至100%,有,有,IP67,手持式，适用于现场测量,自动切换,150,10,<6秒,100 Hz - 300 Hz,+(3.0% + 5),0.1 MΩ 至 15 GΩ,中国电压器械研究所,cevri.org.cn,,
数字万用表,交流/直流电源,-15°C至45°C,5%至75%,有,无,IP56,多功能，便于携带,手动切换,100,20,<1秒,2 kHz,+(1.5% + 2),0.01 Ω 至 10 MΩ,中国物理学会,phys.org.cn,,
电桥,外部供电,-20°C至80°C,5%-95%,有,无,IP40,高精度，便于嵌入系统,手动切换,250,50,<3秒,1 kHz,+(1.0% + 1),0.1 Ω 至 2 GΩ,全国测量与试验技术中心,nLSTM.org.cn,,
绝缘电阻测试仪,内置锂电池,-10°C至50°C,0%至85%,有,有,IP66,抗震，适合户外使用,自动切换,300,15,<3秒,60 Hz - 300 Hz,+(2.0% + 3),0.01 MΩ 至 20 GΩ,中国科技部,most.gov.cn,,
数字万用表,USB充电,-20°C至55°C,0%至90%,有,有,IP61,小巧，便于操作,自动切换,180,35,<2秒,500 Hz,+(0.8% + 1),0.0001 Ω 至 25 MΩ,中国仪器仪表检测中心,cti.gov.cn,,
电桥,外部直流电源,-20°C至100°C,10%-95%,有,无,IP54,高稳定性，适合高温应用,手动切换,400,25,<4秒,150 Hz,+(0.2% + 0.2),0.01 Ω 至 10 GΩ,中国电工技术学会,csee.org.cn,,
数字多用表,内置锂电池,-10°C至60°C,0%至85%,有,有,IP65,紧凑型，防滑设计,自动切换,≤250 A/m,≤25 V/m,<1秒,100 Hz - 1 kHz,±(1% + 1),0.001 Ω 至 10 MΩ,电子测量技术协会,emeasure.org.cn,,
绝缘电阻测试仪,交流/直流电源,-20°C至50°C,0%至90%,有,有,IP54,便于调试，耐用,手动切换,≤400 A/m,≤10 V/m,<3秒,50 Hz,±(2% + 2),0.1 MΩ 至 20 GΩ,国家电力公司,sp.icp.org.cn,,
数字示波器,电池和外部供电,0°C至40°C,10%至80%,有,无,IP20,高级功能，触摸屏操作,自动切换,≤150 A/m,≤20 V/m,<5秒,1 kHz,±(2% + 1),0.01 Ω 至 30 MΩ,中国测量技术研究院,cmri.cn,,
电阻计,直接电池供电,-5°C至55°C,5%至95%,有,无,IP42,手持式，适合户外使用,手动切换,≤200 A/m,≤15 V/m,<4秒,50 Hz - 2 kHz,±(1.5% + 0.5),0.001 Ω 至 1 GΩ,中国电子科技集团,cetc.cn,,
高阻抗电阻测量仪,内置可充电电池,-10°C至55°C,0%至90%,有,有,IP67,轻便，易于携带,自动切换,≤300 A/m,≤20 V/m,<6秒,60 Hz,±(0.5% + 2),0.001 MΩ 至 100 GΩ,国际电工委员会,iec.ch,,
高精度电桥,交流电源,-20°C至70°C,15%至85%,有,无,IP45,台式结构，极高精度,手动切换,≤250 A/m,≤50 V/m,<2秒,1 kHz,±(0.1% + 1),0.01 Ω 至 10 GΩ,电子工业出版社,eppublishing.cn,,
便携式电阻测量仪,电池供电,0°C至40°C,0%至80%,有,无,IP50,轻便便携，单手操作,自动切换,≤150 A/m,≤10 V/m,<3秒,50 Hz - 500 Hz,±(1.2% + 2),0.01 Ω 至 5 MΩ,IEEE电气电子工程师协会,ieee.org,,
数字微欧计,内置锂电池,-10°C至60°C,10%至90%,有,有,IP68,高灵敏度，适用于小电阻测量,手动切换,≤100 A/m,≤5 V/m,<4秒,10 Hz - 1 kHz,±(0.5% + 0.001),0.001 Ω 至 10 Ω,国家品质监督局,cnca.gov.cn,,
数字绝缘电阻测试仪,充电电池,-10°C至60°C,5%至95%,有,无,IP67,高效能，适合工业使用,自动切换,≤250 A/m,≤15 V/m,<3秒,50 Hz,±(2% + 1),0.1 MΩ 至 25 GΩ,中国电气设备制造商协会,chinasem.org,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,0%至90%,有,无,IP65,便携式，适合野外使用,手动切换,≤250 A/m,≤15 V/m,<4秒,60 Hz - 200 Hz,±(2% + 1),0.01 MΩ 至 15 GΩ,国际电工委员会,iec.ch,,
数字万用表,可充电锂电池,-5°C至45°C,0%至75%,有,有,IP54,多功能，高耐用性设计,自动切换,≤150 A/m,≤20 V/m,<1秒,2 kHz,±(1.0% + 1),0.01 Ω 至 30 MΩ,中国电工技术学会,ciee.org.cn,,
电桥,外部电源,-20°C至80°C,5%-95%,有,有,IP67,高精度，符合最新国家标准,手动切换,≤350 A/m,≤60 V/m,<2.5秒,150 Hz,±(0.5% + 0.5),0.001 Ω 至 5 GΩ,中国国家计量局,nmi.gov.cn,,
绝缘电阻测试仪,内置可充电电池,-15°C至50°C,0%至85%,无,无,IP44,轻量化设计，适合现场测试,自动切换,≤300 A/m,≤25 V/m,<3秒,40 Hz - 500 Hz,±(1.8% + 2),0.01 MΩ 至 20 GΩ,中国电力公司,sgcc.com.cn,,
数字万用表,电池供电,-10°C至45°C,0%至70%,有,无,IP65,"小型化, 适应多种测量环境",手动切换,≤180 A/m,≤15 V/m,<1.5秒,1 kHz,±(1% + 1),0.001 Ω 至 10 MΩ,中华电工学会,ciee.org.cn,,
电桥,电池供电,-20°C至75°C,10%-80%,有,无,IP54,便携式，多种测量模式,自动切换,≤200 A/m,≤45 V/m,<3.2秒,100 Hz,±(1.2% + 2),0.1 Ω 至 3 GΩ,国家电子设备测试中心,netc.org.cn,,
绝缘电阻测试仪,外部交流电源,-30°C至50°C,0%至95%,有,有,IP67,高精度，适合工业使用,手动切换,≤400 A/m,≤20 V/m,<5秒,1 kHz,±(2% + 3),0.1 MΩ 至 25 GΩ,中国工业与信息化部,miit.gov.cn,,
数字万用表,USB供电,-5°C至55°C,0%至60%,有,无,IP55,适合实验室使用，多功能,自动切换,≤250 A/m,≤30 V/m,<2秒,500 Hz,±(1.5% + 1),0.01 Ω 至 25 MΩ,中国科学技术协会,cast.org.cn,,
电桥,内置电池,-20°C至60°C,5%-75%,无,无,IP40,轻便，适合现场使用,手动切换,≤280 A/m,≤35 V/m,<4秒,120 Hz,±(2% + 2),0.1 Ω 至 10 GΩ,中国机电产品进出口商会,cmecc.org.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,有,IP65,便携式，轻量化设计,自动切换,≤350 A/m,≤15 V/m,<4秒,45 Hz - 500 Hz,±(1.8% + 2),0.01 MΩ 至 5 GΩ,国际电工委员会,iec.ch,,
数字万用表,充电式电池,-20°C至55°C,0%至85%,有,无,IP54,紧凑型，易于携带,手动切换,≤250 A/m,≤20 V/m,<3秒,1 kHz,±(2.0% + 3),0.01 Ω 至 10 MΩ,英国标准协会,bsigroup.com,,
电桥,电池供电,-15°C至75°C,5%至95%,有,有,IP67,高精度，适合实验室使用,自动切换,≤400 A/m,≤25 V/m,<3秒,200 Hz,±(0.5% + 1),0.001 Ω 至 2 GΩ,中国科学院物理研究所,iphy.ac.cn,,
高压绝缘电阻测试仪,交流/直流电源,-20°C至50°C,0%至90%,有,无,IP54,适合高压设备检定,手动切换,≤150 A/m,≤30 V/m,<6秒,60 Hz,±(3% + 5),0.1 MΩ 至 50 GΩ,国家电网公司,sgcc.com.cn,,
激光电阻测量仪,交流电源,-10°C至55°C,5%至80%,有,无,IP65,适合高精度和快速测量,自动切换,≤200 A/m,≤10 V/m,<2秒,1 kHz,±(1.5% + 2),0.005 Ω 至 15 MΩ,中国仪器仪表研究院,cimri.org.cn,,
多功能数字万用表,电池/外接电源,-10°C至60°C,0%至90%,有,有,IP68,多功能，适合现场测试,自动切换,≤300 A/m,≤25 V/m,<3秒,500 Hz,±(1.2% + 3),0.01 Ω 至 30 MΩ,上海电子工程技术研究中心,seerc.org.cn,,
便携式电阻测试仪,充电电池,-20°C至70°C,0%至100%,有,无,IP54,小型设计，适合野外使用,手动切换,≤250 A/m,≤20 V/m,<8秒,200 Hz,±(2.5% + 4),0.1 Ω 至 10 GΩ,中科院测量与测试技术研究所,metrology.ac.cn,,
超高精度电阻测量仪,外部电源,-10°C至45°C,0%至75%,有,无,IP40,适用于高精度科研,手动切换,≤100 A/m,≤5 V/m,<1秒,1 kHz,±(0.1% + 1),0.0001 Ω 至 100 GΩ,中国科学院计量测试实验室,cas.cn,,
高温电阻测试仪,直流电源,0°C至300°C,0%至50%,有,无,IP20,高温环境下使用，耐高温材料,自动切换,≤150 A/m,≤5 V/m,<10秒,100 Hz,±(2% + 5),0.1 MΩ 至 20 GΩ,美国国家标准与技术研究所,nIST.gov,,
数字绝缘电阻测量仪,插电式供电,-10°C至40°C,0%至60%,有,无,IP44,简单操作，适合教育用途,手动切换,≤100 A/m,≤10 V/m,<2秒,50 Hz,±(3% + 2),0.01 MΩ 至 3 GΩ,全国仪器仪表展览会,cimee.cn,,
绝缘电阻测试仪,交流/直流电源,-15°C至60°C,0%至90%,有,无,IP65,便携式，专业设计,自动切换,250,20,<5秒,50 Hz - 1 kHz,±(1.8% + 2),0.001 MΩ 至 15 GΩ,国际电工委员会,iec.ch,,
数字多用表,充电电池,-5°C至50°C,10%至85%,有,无,IP67,紧凑型，用户友好,手动切换,150,25,<3秒,500 Hz,±(1.0% + 1),0.01 Ω 至 30 MΩ,中国电子技术标准化研究院,cesi.cn,,
电桥,外部供电,-10°C至65°C,5%-95%,有,无,IP40,高精度，适用于实验室,自动切换,400,15,<2秒,200 Hz,±(1.5% + 1),0.005 Ω 至 5 GΩ,中国计量学院,zml.edu.cn,,
绝缘电阻测试仪,内置电池,-20°C至70°C,0%至100%,有,有,IP68,工业级，耐用性强,自动切换,500,40,<4秒,1 kHz,±(2.0% + 3),0.01 MΩ 至 20 GΩ,设备与仪器用户协会,ieaa.org.cn,,
数字万用表,USB供电,-10°C至55°C,0%至80%,有,无,IP54,家用型，易于操控,自动切换,100,10,<1秒,1 kHz,±(1.2% + 2),0.01 Ω 至 10 MΩ,中国电器科学研究院,cesi.org.cn,,
电桥,电池/外部供电,-20°C至60°C,10%-85%,有,无,IP44,便于携带，适用于现场,手动切换,300,20,<3秒,200 Hz,±(1.0% + 2),0.1 Ω 至 2 GΩ,国际电汇标准组织,iec.org,,
绝缘电阻测试仪,交流/直流电源,-10°C至50°C,0%至95%,有,无,IP57,摇杆式，创新设计,自动切换,150,35,<6秒,1 kHz,±(2.5% + 1),0.05 MΩ 至 25 GΩ,中国国家标准化管理委员会,sac.gov.cn,,
数字万用表,太阳能电池,-30°C至45°C,15%至85%,有,有,IP66,环境友好型，绿色能源,手动切换,200,30,<4秒,500 Hz,±(1.5% + 3),0.001 Ω 至 15 MΩ,中国绿色电子产业协会,igea.org.cn,,
电桥,外部供电,-15°C至65°C,5%-90%,有,无,IP34,实验室专用，精确可靠,自动切换,400,15,<2秒,100 Hz,±(1.0% + 1),0.1 Ω 至 1 GΩ,中国化学与物理测量标准化技术委员会,astm.org,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,0%至90%,有,无,IP65,便于携带，适合现场使用,自动切换,350,20,<4秒,60 Hz - 500 Hz,±(1.8% + 2),0.005 MΩ 至 5 GΩ,中国电器工业协会,ceia.org.cn,,
数字万用表,电池供电,-20°C至55°C,0%至85%,有,有,IP67,小巧便携，适合多领域使用,手动切换,250,25,<1秒,2 kHz,±(1.5% + 1),0.01 Ω 至 30 MΩ,国际仪器与控制协会,isa.org,,
电桥,外部供电,-20°C至65°C,5%-95%,有,无,IP54,高性能，适用于实验室,自动切换,150,40,<3秒,150 Hz,±(0.5 % + 0.5),0.001 Ω 至 1.5 GΩ,中国仪器协会,cimta.org.cn,,
精密电阻测量仪,交流电源,0°C至50°C,10%至90%,有,无,IP20,台式，适合实验室使用,自动切换,100,15,<2秒,50 Hz,±(0.3 % + 0.3),0.0001 Ω 至 100 MΩ,电子测量仪器协会,emta.org,,
高阻抗电阻测试仪,电池供电,-15°C至55°C,0%至80%,有,无,IP68,便携式，户外使用设计,手动切换,400,10,<6秒,100 Hz - 1 kHz,±(2% + 1),0.1 MΩ 至 20 GΩ,中国物理学会,cps.org.cn,,
绝缘性能测试仪,交流电源,-30°C至60°C,0%至100%,有,有,IP67,多功能，适合高湿度环境,自动切换,500,20,<4秒,50 Hz - 200 kHz,±(2% + 3),0.01 MΩ 至 30 GΩ,中国科学院,cas.cn,,
便携式数显电阻计,电池供电,-20°C至45°C,0%至90%,有,无,IP65,手持式，简单易操作,手动切换,200,20,<5秒,1 kHz,±(1.0% + 2),0.01 Ω 至 10 MΩ,国家计量局,nmi.gov.cn,,
低电流电阻测量仪,外部供电,0°C至40°C,5%至80%,有,无,IP54,针对低电流测量优化,自动切换,300,30,<3秒,50 Hz - 2 kHz,±(1.5% + 1),0.01 Ω 至 100 Ω,电子科技大学,uestc.edu.cn,,
超精密电阻仪,交流/直流电源,0°C至70°C,0%至90%,有,无,IP40,高精度，适用于科研,手动切换,400,5,<1秒,500 Hz,±(0.2% + 0.2),0.001 Ω 至 1 GΩ,中科院物理研究所,iphys.cas.cn,,
数字绝缘电阻测试仪,内置锂电池,-10°C至60°C,5%至90%,有,无,IP65,便携式，耐用,自动切换,≤250 A/m,≤20 V/m,<4秒,0.5 kHz,±(2% + 1),0.01 MΩ 至 5 GΩ,中国电气工程师协会,ceae.org.cn,,
高精度数字电阻计,交流供电,-20°C至50°C,0%至85%,有,有,IP54,机架式，适合实验室使用,手动切换,≤150 A/m,≤15 V/m,<2秒,400 Hz,±(0.5% + 0.5),0.001 Ω 至 10 GΩ,国家电网公司,sgcc.com.cn,,
便携式电桥,电池/USB供电,-15°C至55°C,0%至90%,有,无,IP57,简易操作，适合现场测试,自动切换,≤200 A/m,≤25 V/m,<3秒,1 kHz,±(1.0% + 2),0.01 Ω 至 2 GΩ,中国电器工业协会,ceia.org.cn,,
高压绝缘测试仪,交流电源,-25°C至60°C,0%至95%,有,有,IP68,防水设计，适合户外使用,自动切换,≤300 A/m,≤50 V/m,<6秒,100 Hz,±(1.5% + 3),0.1 MΩ 至 20 GΩ,中国国家质量监督检验总局,aqsiq.gov.cn,,
数字电流表,电池供电,-10°C至40°C,0%至70%,有,无,IP65,紧凑型，易于携带,手动切换,≤100 A/m,≤20 V/m,<1秒,500 Hz,±(2% + 0.5),0.001 Ω 至 1 MΩ,电子器件制造商协会,emiac.org.cn,,
自动测量电阻仪,内置锂电池,-20°C至45°C,5%至80%,有,无,IP67,独立操作，用户友好显示,自动切换,≤400 A/m,≤10 V/m,<3秒,1 kHz,±(1.0% + 1),0.1 Ω 至 15 GΩ,中国科学技术协会,cast.org.cn,,
数字多用电表,USB供电,-25°C至55°C,0%至85%,有,无,IP54,多功能，适用于多种测量,手动切换,≤200 A/m,≤20 V/m,<2秒,50 Hz,±(1.5% + 1),0.01 Ω 至 25 MΩ,国家标准化管理委员会,sbm.gov.cn,,
自动化电阻测量仪,插电式供电,-20°C至55°C,10%-90%,有,无,IP40,支持远程监控,自动切换,≤150 A/m,≤30 V/m,<2秒,2 kHz,±(0.5% + 1),0.01 MΩ 至 10 GΩ,全球仪器设备在线,globalinst.com,,
多功能绝缘测试仪,锂电池供电,-30°C至60°C,5%至95%,有,无,IP55,便于使用，适合电力行业,自动切换,≤200 A/m,≤50 V/m,<5秒,500 Hz,±(1.0% + 0.5),0.001 Ω 至 30 GΩ,中国电气安全质量检验中心,esqi.org.cn,,
数字绝缘电阻测试仪,内置锂电池,-10°C至60°C,5%至90%,有,有,IP65,"便携式, 适合户外使用",自动切换,≤250 A/m,≤20 V/m,<4秒,60 Hz - 500 Hz,±(1.0% + 1),0.01 MΩ 至 15 GΩ,中国电工仪器协会,ceia.org.cn,,
手持式电阻计,交流电源,-5°C至55°C,0%至85%,有,无,IP54,"轻便, 易于操作",手动切换,≤180 A/m,≤25 V/m,<3秒,1 kHz,±(1.5% + 0.5),0.1 Ω 至 5 MΩ,中国计量局,nmi.gov.cn,,
高压绝缘电阻仪,内置锂电池,-30°C至70°C,0%至95%,有,无,IP67,"专业级别, 适合工业应用",自动切换,≤500 A/m,≤15 V/m,<2秒,50 Hz - 1 kHz,±(2% + 3),0.1 MΩ 至 20 GΩ,国际电气与电子工程师协会,ieee.org,,
桌面型电桥,外部供电,0°C至50°C,20%至80%,有,无,IP40,"适合实验室使用, 高稳定性",自动切换,≤200 A/m,≤40 V/m,<1秒,100 Hz,±(0.5% + 1),0.01 Ω 至 100 GΩ,国家材料测试中心,nml.gov.cn,,
小型数字电阻测量仪,可充电电池,-20°C至50°C,0%至85%,有,有,IP66,手持式，抗摔设计,自动切换,≤150 A/m,≤10 V/m,<2.5秒,50 Hz,±(1.8% + 3),0.01 Ω 至 2 MΩ,中国电子巨头公司,chinatech.com.cn,,
