年份（日期型）,基础设施名称（字符型）,基础组件（字符型）,账本（字符型）,共识（字符型）,智能合约（字符型）,接口（字符型）,应用（字符型）,操作运维（字符型）,系统管理（字符型）,采集来源,来源链接,采集时间,备注,,,,,,
2020,Hyperledger Fabric,数据层、网络层,分布式账本,PBFT、Raft,支持智能合约,REST API,企业级应用,图形化管理工具,云端管理,阿里云,https://www.huaweicloud.com/special/bcs-frame.html,2024-09-26,,,,,,,
2021,蚂蚁区块链,合约层、应用层,高性能账本,PoA,自定义智能合约,SDK,金融应用,一键式部署,多租户隔离,阿里云,http://docs-aliyun.cn-hangzhou.oss.aliyun-inc.com/pdf/baas-product_intro-cn-zh-2020-04-03.pdf,2024-09-26,,,,,,,
2022,Ethereum,网络层、共识层,公有链账本,PoW,Solidity智能合约,Web3.js,去中心化应用,自主节点管理,社区治理,ChainCatcher,https://www.chaincatcher.com/article/2117614,2024-09-26,,,,,,,
2023,Solana,执行层、数据可用性层,高速账本,PoH,Rust智能合约,JSON RPC,DeFi应用,高可用性设计,自动化监控,PerfectInfo,https://www.cnblogs.com/perfectinfo/articles/16455290.html,2024-09-26,,,,,,,
2024,Avalanche,共识层、网络层,多链账本,Avalanche共识,C智能合约,REST API,NFT市场,动态资源管理,跨链管理,ChainCatcher,https://www.chaincatcher.com/article/2117614,2024-09-26,,,,,,,
2024,Cardano,权益层、执行层,公有链账本,Ouroboros,Plutus智能合约,GraphQL API,金融服务应用,集中监控工具,弹性扩展,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Tezos,共识层、治理层,自适应账本,Liquid Proof of Stake,Michelson智能合约,RPC API,数字艺术市场,无缝更新机制,社区驱动治理,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2024,Zilliqa,网络层、合约层,高效能账本,SHA256共识,Scilla智能合约,REST API,数据安全应用,分布式监控,可视化仪表板,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,Polkadot,网络层、协议层,跨链账本,Nominated Proof of Stake,Ink智能合约,Substrate API,多链应用,自适应路由,动态链管理,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2024,Cosmos,应用层、网络层,模块化账本,Tendermint BFT,CosmWasm智能合约,gRPC API,治理应用,高效监察,区块链互操作性,Bitcoin Magazine,https://bitcoinmagazine.com,2024-09-26,,,,,,,
2024,Algorand,共识层、网络层,快速结算账本,Pure Proof of Stake,Algorand智能合约,REST API,支付解决方案,低延迟监控,安全审计,Medium,https://medium.com,2024-09-26,,,,,,,
2024,Flow,执行层、网络层,可扩展账本,Proof of Stake,Cadence智能合约,JSON RPC,游戏开发平台,实时反馈系统,用户友好界面,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,Hedera,共识层、服务层,企业级账本,Hashgraph,Hedera智能合约,REST API,合规性应用,全自动部署,智能合约审核,Hedera Forum,https://www.hedera.com,2024-09-26,,,,,,,
2024,EOSIO,网络层、合约层,高吞吐量账本,Delegated Proof of Stake,EOS智能合约,RESTful API,社交媒体平台,动态资源分配,简单集成,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2022,Cardano,共识层、执行层,公有链账本,Ouroboros,Plutus智能合约,GraphQL,智能合约平台,基于CLI的管理,多层次架构,CryptoNews,https://cryptonews.com,2024-09-26,,,,,,,
2023,Polkadot,网络层、平行链,多链账本,Nominated Proof of Stake,Ink!智能合约,Wasm,跨链应用,模块化管理,去中心化治理,Cointelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2024,Tezos,网络层、智能合约层,自我修改账本,Liquid Proof of Stake,Michelson智能合约,RPC,数字身份应用,自动化更新,实时监控,ForkLog,https://forklog.com,2024-09-26,,,,,,,
2024,Cosmos,网络层、治理层,互操作性账本,Tendermint,CosmWasm智能合约,gRPC,去中心化交换（DEX）,自适应流量管理,动态治理,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2024,Hedera,服务层、共识层,高效账本,Hashgraph,Hedera智能合约,REST API,供应链管理应用,可扩展的服务架构,集中管理,DeFi Pulse,https://defipulse.com,2024-09-26,,,,,,,
2024,Algorand,共识层、数据层,高效能账本,Pure Proof of Stake,Transaction Execution Approval,REST API,资产管理平台,实时性能监控,可配置性高,CryptoSlate,https://cryptoslate.com,2024-09-26,,,,,,,
2024,Fantom,数据层、执行层,高吞吐量账本,Lachesis,Fantom智能合约,GraphQL,IoT解决方案,分布式监控,实时数据分析,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,Zilliqa,共识层、智能合约层,分片账本,Practical Byzantine Fault Tolerance,Scilla智能合约,Web3,社交网络应用,多租户架构,增强隐私保护,OnChain FX,https://www.onchainfx.com,2024-09-26,,,,,,,
2024,Near Protocol,网络层、执行层,可扩展账本,Doomslug,Rust智能合约,REST API,游戏应用,低延迟处理,高可用性和冗余,Bitcoin Magazine,https://bitcoinmagazine.com,2024-09-26,,,,,,,
2023,Cardano,链基层、区块层,层次化账本,Ouroboros,Plutus智能合约,GraphQL,智能合约平台,自我调节系统,去中心化治理,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Tezos,协议层、应用层,自我修复账本,Liquid Proof of Stake,Michelson智能合约,TezRPC,数字艺术市场,智能监控系统,容器化管理,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2023,Polkadot,中继链、平行链,跨链账本,Nominated Proof of Stake,Ink!智能合约,Substrate API,多链网络,可扩展性管理,链上治理,CryptoSlate,https://cryptoslate.com,2024-09-26,,,,,,,
2024,Cosmos,中间件、应用层,互操作账本,Tendermint,Cosmos SDK,gRPC,跨链应用,跨链桥管理,链间治理,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2022,Algorand,共识层、状态层,快速结算账本,Pure Proof of Stake,Transaction SMART,Algorand SDK,企业支付解决方案,成本优化管理,动态性能调优,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2024,Fantom,共识层、执行层,高效账本,Lachesis,Solidity兼容智能合约,Fantom RPC,去中心化金融平台,性能监控工具,自动更新机制,Cryptobriefing,https://cryptobriefing.com,2024-09-26,,,,,,,
2023,Hedera,服务层、网络层,企业级账本,Hashgraph,Hedera智能合约,Hedera API,企业解决方案,无服务器管理,增量更新,Etherscan,https://etherscan.io,2024-09-26,,,,,,,
2024,Zilliqa,分片层、执行层,高吞吐量账本,Pragmatic Proof of Work,Scilla智能合约,Zilliqa SDK,广告与营销平台,分布式监控,省电管理,CoinMarketCap,https://coinmarketcap.com,2024-09-26,,,,,,,
2022,NEO,智能合约层、共识层,共享账本,dBFT,C#智能合约,NEO RPC,企业级平台,主动式监控,即时维护,Blockonomi,https://blockonomi.com,2024-09-26,,,,,,,
2023,Cardano,共识层、执行层,分层账本,Ouroboros,Plutus智能合约,GraphQL,教育应用,集成监控工具,自动化管理,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Tezos,智能合约层、网络层,自修复账本,Liquid Proof of Stake,Michelson智能合约,REST API,治理应用,可审计的操作环境,模块化管理,CryptoSlate,https://cryptoslate.com,2024-09-26,,,,,,,
2024,Algorand,网络层、协议层,高效账本,Pure Proof of Stake,Transaction Execution Approval,SDK,供应链管理,基于云的监控,分布式系统管理,Blockgeeks,https://blockgeeks.com,2024-09-26,,,,,,,
2024,Polkadot,平行链、共识层,多链账本,Nominated Proof of Stake,Ink!智能合约,Wasm,跨链解决方案,智能合约监控,链间通信,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2023,EOS,应用层、网络层,即时账本,Delegated Proof of Stake,C++智能合约,REST API,社交媒体应用,多用户操作管理,自动化运维工具,Bitcoin Magazine,https://bitcoinmagazine.com,2024-09-26,,,,,,,
2024,Fantom,共识层、数据层,快速账本,Lachesis,Solidity兼容智能合约,GraphQL,DeFi平台,无缝集成,基于权限的管理系统,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2023,Zilliqa,智能合约层、网络层,分片账本,Syncing,Scilla智能合约,REST API,游戏应用,高效能监控,分布式主控系统,DeFi Pulse,https://defipulse.com,2024-09-26,,,,,,,
2024,Stellar,转账层、网络层,金融账本,Federated Byzantine Agreement,支持智能合约,API,跨境支付,实时监控,可扩展管理系统,Crypto News,https://cryptonews.com,2024-09-26,,,,,,,
2024,NEO,智能合约层、共识层,数字资产账本,Delegated Byzantine Fault Tolerance,C#智能合约,API,资产数字化,智能高效化管理,权限管理系统,The Cryptonomist,https://cryptonomist.io,2024-09-26,,,,,,,
2024,Cardano,网络层、智能合约层,公有链账本,Ouroboros,Plutus智能合约,GraphQL API,金融服务应用,基于CLI的管理工具,分布式治理,Bloxberg,https://www.bloxberg.org/,2024-09-26,,,,,,,
2024,Polkadot,网络层、平行链,多链账本,Nominated Proof of Stake,ink!智能合约,Substrate API,跨链应用,弹性分配资源,实时监控,CryptoSlate,https://cryptoslate.com/,2024-09-26,,,,,,,
2024,Tezos,协议层、智能合约层,公有链账本,Liquid Proof of Stake,Michelson智能合约,Tezos RPC,艺术品交易平台,集成开发环境,智能合约自动升级,The Block,https://www.theblock.co/,2024-09-26,,,,,,,
2024,Cosmos,共识层、应用层,多链账本,Tendermint,CosmWasm智能合约,gRPC API,去中心化交易所,多节点管理,社区主导,CoinDesk,https://www.coindesk.com/,2024-09-26,,,,,,,
2024,Algorand,协议层、应用层,高速账本,Pure Proof of Stake,Transaction-based智能合约,Algorand SDK,供应链管理,监控和警报系统,可伸缩性解决方案,Decrypt,https://decrypt.co/,2024-09-26,,,,,,,
2024,Fantom,共识层、执行层,高性能账本,Lachesis,Solidity智能合约,Fantom RPC,NFT艺术平台,实时性能监测,自治治理,CoinTelegraph,https://cointelegraph.com/,2024-09-26,,,,,,,
2024,Near Protocol,网络层、合约层,分布式账本,Nightshade,AssemblyScript智能合约,NEAR API,社交平台,动态监控,分层管理,The Information,https://www.theinformation.com/,2024-09-26,,,,,,,
2024,Harmony,网络层、共识层,高速账本,Effective Proof of Stake,Rust智能合约,Harmony API,游戏应用,资源优先级管理,实时审计,TechCrunch,https://techcrunch.com/,2024-09-26,,,,,,,
2024,Zilliqa,共识层、智能合约层,交易确认账本,Sharding,Scilla智能合约,Zilliqa API,广告平台,容灾恢复计划,社区驱动治理,VentureBeat,https://venturebeat.com/,2024-09-26,,,,,,,
2024,Cardano,合约层、执行层,分层账本,Ouroboros,Plutus智能合约,GraphQL API,金融科技应用,可视化管理,边缘计算管理,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Polkadot,网络层、平行链,联合账本,NPoS,Ink!智能合约,Substrate API,去中心化金融,集中式监控,治理模型,CryptoSlate,https://cryptoslate.com,2024-09-26,,,,,,,
2024,Tezos,应用层、共识层,自我更新账本,Liquid Proof of Stake,Michelson智能合约,RPC接口,投票系统,智能化运维,动态配置,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2024,Algorand,共识层、数据层,快速账本,Pure Proof of Stake,Algorand smart contracts,API,跨境支付,简化管理,身份管理,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,Corda,合约层、网络层,私有链账本,Notary,Corda智能合约,RESTful API,企业解决方案,定制化管理,私钥管理,TechCrunch,https://techcrunch.com,2024-09-26,,,,,,,
2024,Hashgraph,共识层、网络层,共识记录,Gossip Protocol,Hedera智能合约,gRPC接口,社交媒体,冗余设计,事件追踪,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2024,Zilliqa,网络层、共识层,分片账本,Pruning,Scilla智能合约,REST API,广告投放,可扩展体系,组件化设计,The Verge,https://www.theverge.com,2024-09-26,,,,,,,
2024,EOS,网络层、数据层,动态账本,DPoS,EOS智能合约,WebSocket API,物联网,微服务架构,集成管理,Business Insider,https://www.businessinsider.com,2024-09-26,,,,,,,
2024,VeChain,网络层、数据层,企业级账本,PoA,VET智能合约,REST API,供应链管理,标准化流程,合规管理,Forbes,https://www.forbes.com,2024-09-26,,,,,,,
2023,Cardano,共识层、网络层,公有链账本,Ouroboros,Plutus智能合约,GraphQL,学术应用,分散化管理,治理模型,CryptoNews,https://cryptonews.com,2024-09-26,,,,,,,
2024,Tezos,网络层、执行层,自我制约账本,Liquid Proof of Stake,Michelson智能合约,Tezos RPC,艺术品交易,自动更新,社区驱动治理,Blockchain Expo,https://www.blockchain-expo.com,2024-09-26,,,,,,,
2024,Fantom,执行层、数据可用性层,虚拟机账本,Lachesis,Solidity智能合约,REST API,供应链管理,集成监控,智能合约审计,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Polkadot,桥接层、共识层,可互操作账本,Nominated Proof of Stake,ink!智能合约,JSON RPC,去中心化金融,跨链支持,网络治理,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2023,Near Protocol,网络层、共识层,动态状态账本,Doomslug,Rust智能合约,GraphQL API,社交应用,监控与报警,合规处理,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2024,Algorand,账本层、共识层,快速分布式账本,Pure Proof of Stake,Transaction Execution Approval,REST API,支付系统,多节点管理,数据分析层,CryptoSlate,https://cryptoslate.com,2024-09-26,,,,,,,
2023,Celo,网络层、共识层,移动友好账本,Proof of Stake,Solidity智能合约,Celo Wallet API,微支付,轻量节点,国际化支持,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,Sui,执行层、数据层,可扩展账本,Narwhal & Tusk,Move智能合约,Sui JSON RPC,游戏应用,数据冗余管理,实时日志,The Information,https://www.theinformation.com,2024-09-26,,,,,,,
2024,Flow,合约层、网络层,可扩展性账本,NFT-优先共识,Cadence智能合约,Flow Access API,数字收藏品,优化性能,权限管理,NFT Now,https://nftnow.com,2024-09-26,,,,,,,
2023,Polygon,安全层、接口层,多链环境账本,ZK-Rollups,Matic智能合约,GraphQL,跨链应用,集中监控平台,多链集成,Coindesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Cardano,数据层、安全层,分布式账本,Ouroboros,Plutus智能合约,CLI,政务应用,可审计支持,容器化管理,Binance Academy,https://academy.binance.com,2024-09-26,,,,,,,
2024,Tezos,治理层、执行层,自我修正账本,Liquid Proof of Stake,Michelson智能合约,SmartPy,内容创作平台,升级可分叉,多层安全管理,CryptoSlate,https://cryptoslate.com,2024-09-26,,,,,,,
2023,EOS,网络层、储存层,高吞吐量账本,DPOS,C++智能合约,Nodeos,实时交易平台,自动化部署工具,权限管理,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2024,Near Protocol,共识层、数据层,动态结构账本,Nightshade,Rust、AssemblyScript智能合约,JSON RPC,游戏化应用,延迟优化,智能合约审计,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2024,Algorand,网络层、安全层,低延迟账本,Pure Proof of Stake,Transaction-based智能合约,REST API,供应链管理,容错设计,可视化管理,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,Fantom,共识层、虚拟机层,实时账本,Lachesis,EVM兼容智能合约,GraphQL API,智能城市应用,分布式监控,AI辅助管理,Investopedia,https://www.investopedia.com,2024-09-26,,,,,,,
2024,Hedera,服务层、共识层,公共分布式账本,哈希图共识,Hedera智能合约,gRPC,企业管理解决方案,高可靠性设计,多层治理,CoinMarketCap,https://coinmarketcap.com,2024-09-26,,,,,,,
2024,Zilliqa,分片层、共识层,具有高扩展性账本,PSSF,Scilla智能合约,REST API,广告服务平台,智能负载均衡,透明性保障,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,Cardano,合约层、网络层,公有链账本,Ouroboros,Plutus智能合约,GraphQL,去中心化金融应用,智能合约审计工具,实时监控,CryptoNews,https://cryptonews.com,2024-09-26,,,,,,,
2024,Tezos,智能合约层、治理层,自我修复账本,Liquid Proof-of-Stake,Michelson智能合约,RPC API,艺术品认证,无缝升级机制,生态系统治理,TechCrunch,https://techcrunch.com,2024-09-26,,,,,,,
2023,Polkadot,平行链、共识层,互操作性账本,Nominated Proof-of-Stake,ink!智能合约,Substrate API,跨链交易平台,多链监控工具,去中心化管理,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2024,Zilliqa,执行层、超分片技术,高吞吐量账本,Practical Byzantine Fault Tolerance,Scilla智能合约,RESTful API,区块链游戏,智能合约管理器,性能监控,Coindesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Algorand,共识层、数据层,权限通行账本,Pure Proof-of-Stake,Transaction-based智能合约,Algorand SDK,金融服务应用,合约生命周期管理,安全治理框架,Block Analyser,https://blockanalyser.com,2024-09-26,,,,,,,
2024,EOSIO,共识层、应用层,高性能公链,Delegated Proof of Stake,C++智能合约,REST API,内容创作平台,资源自动分配,节点监控,Blockchain News,https://blockchain.news,2024-09-26,,,,,,,
2024,NEO,智能合约层、共识层,多资产账本,Delegated Byzantine Fault Tolerance,C#智能合约,RPC接口,数字身份管理,系统版本控制,去中心化应用治理,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,Harmony,共识层、网络层,可扩展账本,Effective Proof of Stake,WASM智能合约,gRPC,供应链管理,区块链监控,动态策略管理,Next Web,https://www.thenextweb.com,2024-09-26,,,,,,,
2024,Fantom,执行层、共识层,快速账本,Lachesis,Solidity智能合约,REST API,智能城市解决方案,可定制化工具,实时数据分析,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2024,Cardano,网络层、计算层,公有链账本,Ouroboros,Plutus智能合约,GraphQL,供应链管理,多节点部署,社区治理,CoinTelegraph,https://cointelegraph.com/,2024-09-26,,,,,,,
2024,Polkadot,链间通信、共识层,多链账本,Nominated Proof of Stake,Ink智能合约,Wasm API,去中心化金融,跨链操作支持,分布式网络监控,Decrypt,https://decrypt.co/,2024-09-26,,,,,,,
2024,Tezos,共识层、经济层,自我修正账本,Liquid Proof of Stake,Michelson智能合约,REST API,数字艺术市场,社区驱动更新,去中心化治理,The Block,https://www.theblock.co/,2024-09-26,,,,,,,
2024,Cosmos,链层、共识层,跨链账本,Tendermint,CosmWasm智能合约,gRPC,跨链应用,动态网络管理,多链治理,CoinDesk,https://www.coindesk.com/,2024-09-26,,,,,,,
2024,Hedera,共识层、服务层,企业级账本,Hashgraph,Hedera智能合约,REST API,数据隐私管理,高可用性服务,分布式监督,Hedera官网,https://hedera.com/,2024-09-26,,,,,,,
2024,Flow,执行层、智能合约层,可扩展账本,Flow共识,Cadence智能合约,GraphQL API,游戏开发,分布式服务管理,社区支持,DappRadar,https://dappradar.com/,2024-09-26,,,,,,,
2024,Chia,存储层、共识层,绿色账本,Proof of Space and Time,Chialisp智能合约,REST API,可持续应用,资源优化管理,节点监控,Chia官网,https://www.chia.net/,2024-09-26,,,,,,,
2024,Algorand,共识层、网络层,高效能账本,Pure Proof of Stake,Reach智能合约,JSON RPC,金融平台,高安全性设计,智能化运维,CryptoSlate,https://cryptoslate.com/,2024-09-26,,,,,,,
2024,EOS,网络层、存储层,去中心化账本,Delegated Proof of Stake,C++智能合约,REST API,社交平台,弹性扩展管理,社区治理,EOS官网,https://eos.io/,2024-09-26,,,,,,,
2024,Corda,共识层、网络层,私有账本,Notary共识,Kotlin智能合约,REST API,供应链应用,集中式监控,多组织协作,BlockchainHub,https://www.blockchainhub.net,2024-09-26,,,,,,,
2024,Cardano,共识层、网络层,公有链账本,Ouroboros,Plutus智能合约,GraphQL API,教育管理系统,用户友好界面,可扩展治理,CryptoNews,https://cryptonews.com,2024-09-26,,,,,,,
2024,Tezos,共识层、应用层,自我修正链,Liquid Proof-of-Stake,Michelson智能合约,RPC接口,艺术作品交易,链上治理,实时性能监控,CoinTelegraph,https://www.cointelegraph.com,2024-09-26,,,,,,,
2024,Algorand,网络层、智能合约层,固定措施账本,Pure Proof-of-Stake,Transaction智能合约,Java SDK,医疗健康记录,分布式负载均衡,实时数据分析,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2024,Hedera Hashgraph,网络层、安全层,高吞吐量账本,Gossip关于Gossip,Solidity智能合约,Java SDK,身份验证,即时审计,权限管理,Hedera官方网站,https://www.hedera.com,2024-09-26,,,,,,,
2024,Zilliqa,共识层、数据层,高扩展性账本,Sharding共识,Scilla智能合约,REST API,游戏开发,性能优化工具,智能合约审计,DeFi Pulse,https://defipulse.com,2024-09-26,,,,,,,
2024,EOSIO,应用层、市场层,高度并发账本,DPoS,C++智能合约,WASM接口,社交媒体平台,数据分析工具,智能合约升级,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Flow,应用层、智能合约层,非同质化代币账本,Proof-of-Stake,Cadence智能合约,GraphQL接口,数字收藏品,实时追踪工具,社区参与治理,DappRadar,https://dappradar.com,2024-09-26,,,,,,,
2024,Kalao,安全层、市场层,NFT交易账本,Proof-of-Work,Rust智能合约,WebSockets,NFT市场,区域管理中心,用户反馈制度,NFT Now,https://nftnow.com,2024-09-26,,,,,,,
2024,Cardano,智能合约层、网络层,第三代区块链账本,Ouroboros,Plutus智能合约,GraphQL API,教育应用,自动化部署工具,权限管理,Cardano官方网站,https://www.cardano.org,2024-09-26,,,,,,,
2024,Polkadot,中继链、平行链,共享账本,Nominated Proof of Stake,Ink智能合约,Substrate API,跨链应用,实时监控,分层治理,Polkadot Wiki,https://wiki.polkadot.network,2024-09-26,,,,,,,
2024,Tezos,协议层、实施层,自我调整账本,Liquid Proof of Stake,Michelson智能合约,REST API,投票系统,版本控制工具,权限分配,Tezos官方文档,https://tezos.com,2024-09-26,,,,,,,
2023,Algorand,网络层、共识层,快速结算账本,Pure Proof of Stake,Transaction智能合约,Algorand SDK,供应链应用,弹性存储,集中化角色,Algorand官网,https://www.algorand.com,2024-09-26,,,,,,,
2024,EOSIO,网络层、执行层,快速协议账本,Delegated Proof of Stake,C++智能合约,EOSJS,社交媒体应用,云原生工具集,中心化治理,EOS后援会,https://eos.io,2024-09-26,,,,,,,
2024,Fantom,执行层、共识层,高可用且低延迟账本,Lachesis,Solidity智能合约,Fantom API,医疗应用,智能监控,多层次治理,Fantom官方博客,https://fantom.foundation,2024-09-26,,,,,,,
2024,Cosmos,中继链、模块层,互动式账本,Tendermint,CosmWasm智能合约,gRPC API,金融衍生品,高度自动化,联合治理,Cosmos官方网站,https://cosmos.network,2024-09-26,,,,,,,
2024,Ravencoin,资产层、网络层,资产专属账本,KawPow,无智能合约支持,JSON RPC,数字资产转移,专业化工具,点对点治理,Ravencoin官网,https://ravencoin.org,2024-09-26,,,,,,,
2024,TRON,内容层、协议层,公有链账本,Delegated Proof of Stake,Solidity智能合约,TronWeb,内容创作平台,高效部署,用户等级划分,TRON官方网站,https://tron.network,2024-09-26,,,,,,,
2023,Cardano,智能合约层、网络层,公有链账本,Ouroboros,Plutus智能合约,GraphQL API,去中心化金融,多重签名管理,跨链互操作性,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Fantom,共识层、执行层,高效账本,Lachesis,Solidity智能合约,REST API,智能城市应用,边缘计算支持,系统补丁管理,Blockchain News,https://www.blockchainnews.com,2024-09-26,,,,,,,
2024,Tezos,网络层、治理层,自我修正账本,Liquid Proof-of-Stake,Michelson智能合约,gRPC,版权管理应用,集成监控工具,社区治理机制,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2023,Polkadot,网络层、共享层,多链架构,Nominated Proof-of-Stake,Ink!智能合约,Substrate API,跨链开发,动态负载平衡,链上经济模型管理,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2022,Arweave,存储层、应用层,永久存储账本,Proof of Access,Arql智能合约,REST API,数据存储应用,长期数据保管,实施数据归档,CryptoSlate,https://cryptoslate.com,2024-09-26,,,,,,,
2024,Zilliqa,智能合约层、网络层,分片账本,Practical Byzantine Fault Tolerance,Scilla智能合约,HTTP RPC,游戏化应用,高效资源利用,多重安全机制,CryptoNews,https://cryptonews.com,2024-09-26,,,,,,,
2024,EOS,网络层、协议层,高吞吐量账本,Delegated Proof of Stake,C++智能合约,WebSocket API,社交媒体平台,自动弹性伸缩,用户行为分析,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2024,Algorand,网络层、共识层,快速账本,Pure Proof of Stake,Transaction Execution Approval,RESTful API,智能合约市场,实时监控,灵活的访问控制,Bitcoin Magazine,https://bitcoinmagazine.com,2024-09-26,,,,,,,
2024,Near Protocol,网络层、存储层,动态可扩展账本,Nightshade,Rust智能合约,JSON RPC,去中心化组织管理,全景式运维,高信任度机制,BTCManager,https://btcmanager.com,2024-09-26,,,,,,,
2024,Cardano,计算层、结算层,公有链账本,Ouroboros,Plutus智能合约,GraphQL,教育领域应用,区块链监控平台,分布式应用管理,CoinMarketCap,https://www.coinmarketcap.com,2024-09-26,,,,,,,
