可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范可见光通信系统类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,,,,,,,,,备注【疑问汇总】
融合光信号处理系统,光计算,1,2023-10-01,上海未来科技有限公司,已完成,2023-10-02,合格,上海未来科技有限公司,光信号处理器,上海未来科技有限公司,VLC-010-2023,计算机科学,无,标准型,V1.1,上海市科技委员会,http://www.shanghai.gov.cn/,2024-10-17,,,,,,,,,,
无线可见光传输平台,光通信,3,2023-10-10,武汉光电工程公司,审核中,2023-10-11,待定,武汉光电工程公司,光纤与发射模块,武汉光电工程公司,VLC-007-2024,远程通信,无,高级型,V2.2,湖北省科技厅,http://www.hubei.gov.cn/,2024-10-17,,,,,,,,,,
超高频光网络系统,光网络,2,2023-11-01,成都现代科技集团,已完成,2023-11-02,合格,成都现代科技集团,网络管理与监控系统,成都现代科技集团,VLC-005-2024,互联网技术,无,标准型,V1.0,四川省科技厅,http://www.sc.gov.cn/,2024-10-17,,,,,,,,,,
智能家居光通信系统,光通信,1,2023-11-10,厦门智能科技有限公司,审核中,2023-11-11,待定,厦门智能科技有限公司,家庭自动化模块,厦门智能科技有限公司,VLC-012-2024,物联网,无,高级型,V2.1,福建省科技厅,http://www.fujian.gov.cn/,2024-10-17,,,,,,,,,,
城市智能光监控系统,光计算,3,2023-12-01,西安未来科技公司,已完成,2023-12-02,合格,西安未来科技公司,城市监控与分析模块,西安未来科技公司,VLC-009-2024,城市管理,无,标准型,V1.2,陕西省科技厅,http://www.shaanxi.gov.cn/,2024-10-17,,,,,,,,,,
无人机光通信系统,光通信,2,2024-01-10,青岛无人机科技有限公司,审核中,2024-01-11,待定,青岛无人机科技有限公司,无人机通信链路,青岛无人机科技有限公司,VLC-014-2024,UAV技术,无,高级型,V2.3,山东省科技厅,http://www.shandong.gov.cn/,2024-10-17,,,,,,,,,,
光量子计算系统,光计算,1,2024-01-20,哈尔滨量子科技有限公司,已完成,2024-01-21,合格,哈尔滨量子科技有限公司,量子数据处理模块,哈尔滨量子科技有限公司,VLC-003-2024,量子计算,无,标准型,V1.0,黑龙江省科技厅,http://www.hlj.gov.cn/,2024-10-17,,,,,,,,,,
城市智能交通系统,光通信,1,2023-09-05,成都智慧科技有限公司,已完成,2023-09-06,合格,成都智慧科技有限公司,交通管理模块,成都智慧科技有限公司,VLC-011-2024,交通运输,无,标准型,V1.1,成都科技创新管理系统,http://www.sc.gov.cn/,2024-10-17,,,,,,,,,,
光学信号增强系统,光通信,2,2023-09-10,杭州光电科技有限公司,审核中,2023-09-11,待定,杭州光电科技有限公司,信号增强单元,杭州光电科技有限公司,VLC-004-2024,通信技术,无,高级型,V2.0,杭州科技业务管理系统,http://www.fujian.gov.cn/,2024-10-17,,,,,,,,,,
光计算优化平台,光计算,1,2023-08-20,武汉量子通信研究所,已完成,2023-08-21,合格,武汉量子通信研究所,优化算法模块,武汉量子通信研究所,VLC-010-2024,计算机科学,无,标准型,V1.0,武汉工业科技管理系统,http://www.shaanxi.gov.cn/,2024-10-17,,,,,,,,,,
智慧城市监控系统,光网络,3,2023-09-15,南京智能网络公司,审核中,2023-09-16,待定,南京智能网络公司,监控传输模块,南京智能网络公司,VLC-008-2024,监控系统,无,高级型,V2.1,南京科技发展管理系统,http://www.shandong.gov.cn/,2024-10-17,,,,,,,,,,
智能医疗数据传输系统,光通信,2,2023-09-25,上海智慧医疗科技有限公司,已完成,2023-09-26,合格,上海智慧医疗科技有限公司,医疗数据处理模块,上海智慧医疗科技有限公司,VLC-032-2024,电子医疗,无,标准型,V1.1,上海市医疗科技管理系统,http://www.hlj.gov.cn/,2024-10-17,,,,,,,,,,
农业环境监测系统,光计算,1,2023-10-01,北京农业科技研究院,审核中,2023-10-02,待定,北京农业科技研究院,环境监测模块,北京农业科技研究院,VLC-015-2024,农业科技,无,高级型,V2.0,北京科技服务中心,http://www.sc.gov.cn/,2024-10-17,,,,,,,,,,
基于光通信的智能制造系统,光通信,3,2023-10-10,深圳市智能制造科技有限公司,已完成,2023-10-11,合格,深圳市智能制造科技有限公司,制造控制模块,深圳市智能制造科技有限公司,VLC-048-2024,制造业,无,标准型,V1.0,深圳市智能科技管理系统,http://www.fujian.gov.cn/,2024-10-17,,,,,,,,,,
新一代光通信标准系统,光网络,1,2023-10-15,厦门新光科技有限公司,审核中,2023-10-16,待定,厦门新光科技有限公司,新标准制订模块,厦门新光科技有限公司,VLC-029-2024,通信标准,无,高级型,V2.2,厦门市科技管理平台,http://www.shaanxi.gov.cn/,2024-10-17,,,,,,,,,,
智能家居光通信系统,光通信,2,2023-10-20,成都智能家居科技有限公司,已完成,2023-10-21,合格,成都智能家居科技有限公司,家居控制模块,成都智能家居科技有限公司,VLC-074-2024,家居科技,无,标准型,V1.1,成都智能科技管理系统,http://www.shandong.gov.cn/,2024-10-17,,,,,,,,,,
低延迟可见光数据传输系统,光通信,1,2023-01-10,深圳明月科技有限公司,已完成,2023-01-11,合格,深圳明月科技有限公司,激光发射单元,深圳明月科技有限公司,VLC-021-2024,通信技术,无,标准型,V1.0,深圳市科技业务管理系统,http://www.hlj.gov.cn/,2024-10-17,,,,,,,,,,
光计算加速平台,光计算,2,2023-03-05,南京硅光公司,审核中,2023-03-06,待定,南京硅光公司,计算单元模块,南京硅光公司,VLC-057-2024,计算技术,无,高级型,V2.0,国家光电技术中心,http://www.sc.gov.cn/,2024-10-17,,,,,,,,,,
智能光纤传感器系统,光网络,3,2023-02-18,北京智能传感器技术有限公司,待审核,2023-02-19,待定,北京智能传感器技术有限公司,传感器网络模块,北京智能传感器技术有限公司,VLC-013-2024,传感技术,无,标准型,V1.0,中国光电行业协会,http://www.fujian.gov.cn/,2024-10-17,,,,,,,,,,
可见光室内定位系统,光通信,1,2023-04-12,杭州光源科技有限公司,已完成,2023-04-13,合格,杭州光源科技有限公司,定位数据模块,杭州光源科技有限公司,VLC-087-2024,位置服务,无,标准型,V1.0,浙江省科技信息系统,http://www.shaanxi.gov.cn/,2024-10-17,,,,,,,,,,
新型光网络智能控制系统,光网络,2,2023-05-25,武汉未来网络科技股份有限公司,审核中,2023-05-26,待定,武汉未来网络科技股份有限公司,智能控制模块,武汉未来网络科技股份有限公司,VLC-005-2024,网络管理,无,高级型,V2.0,武汉市科技局,http://www.shandong.gov.cn/,2024-10-17,,,,,,,,,,
多模态光信号处理系统,光计算,3,2023-06-30,广州光源工程有限公司,已完成,2023-07-01,合格,广州光源工程有限公司,信号处理模块,广州光源工程有限公司,VLC-045-2024,计算技术,无,标准型,V1.0,广东省科技厅,http://www.hlj.gov.cn/,2024-10-17,,,,,,,,,,
高效光无线通信系统,光通信,1,2023-08-05,上海光子通信有限公司,审核中,2023-08-06,待定,上海光子通信有限公司,无线接收模块,上海光子通信有限公司,VLC-079-2024,无线通信,无,高级型,V2.1,上海市科技委员会,http://www.sc.gov.cn/,2024-10-17,,,,,,,,,,
智能光适应系统,光计算,2,2023-09-10,成都光敏科技有限公司,待审核,2023-09-11,待定,成都光敏科技有限公司,适应环境模块,成都光敏科技有限公司,VLC-032-2024,交通管理,无,标准型,V1.0,四川省科技局,http://www.fujian.gov.cn/,2024-10-17,,,,,,,,,,
下一代超高速可见光通信系统,光通信,1,2023-06-01,杭州光讯科技有限公司,已完成,2023-06-02,合格,杭州光讯科技有限公司,频谱获取模块,杭州光讯科技有限公司,VLC-118-2024,远程通信,无,标准型,V1.0,浙江省科技厅,http://www.zj.gov.cn,2024-10-17,,,,,,,,,,
智能光计算平台,光计算,2,2023-07-05,武汉光电技术公司,审核中,2023-07-06,待定,武汉光电技术公司,光信号处理模块,武汉光电技术公司,VLC-064-2024,电子教育,无,高级型,V2.0,湖北省创新创业中心,http://www.hubei.gov.cn,2024-10-17,,,,,,,,,,
高效能可见光网络系统,光网络,3,2023-08-15,南京网络科技有限公司,已完成,2023-08-16,合格,南京网络科技有限公司,数据加密模块,南京网络科技有限公司,VLC-053-2024,计算机技术,无,标准型,V1.5,江苏省科技创新委员会,http://www.jiangsu.gov.cn,2024-10-17,,,,,,,,,,
智能照明光通信系统,光通信,1,2023-09-10,北京医疗科技公司,审核中,2023-09-11,待定,北京医疗科技公司,照明控制单元,北京医疗科技公司,VLC-087-2024,网络通信,无,高级型,V1.1,国家光电技术研究中心,http://www.ncip.edu.cn,2024-10-17,,,,,,,,,,
高效率光信号传输解决方案,光通信,1,2023-09-25,上海流媒体技术有限公司,已完成,2023-09-26,合格,上海流媒体技术有限公司,信号增强模块,上海流媒体技术有限公司,VLC-092-2024,企业服务,无,标准型,V1.3,国家科技部,http://www.most.gov.cn,2024-10-17,,,,,,,,,,
量子安全光通信系统,光网络,3,2023-10-01,成都量子科技公司,审核中,2023-10-02,待定,成都量子科技公司,量子密钥分配模块,成都量子科技公司,VLC-036-2024,教育研究,无,高级型,V2.2,四川省科技局,http://www.sc.gov.cn,2024-10-17,,,,,,,,,,
可见光移动通信系统,光通信,2,2023-09-15,西安可见光科技研究所,待审核,2023-09-16,待定,西安可见光科技研究所,移动信号接收模块,西安可见光科技研究所,VLC-027-2024,交通监控,无,标准型,V1.0,陕西省高新技术局,http://www.shaanxi.gov.cn,2024-10-17,,,,,,,,,,
智能家庭光网络系统,光网络,3,2023-08-25,云南光电科技股份有限公司,已完成,2023-08-26,合格,云南光电科技股份有限公司,网络管理模块,云南光电科技股份有限公司,VLC-003-2024,计算机视觉,无,高级型,V2.0,国家信息产业部,http://www.mii.gov.cn,2024-10-17,,,,,,,,,,
城市照明与光通信集成系统,光通信,1,2023-10-05,长沙城市科技研究院,待审核,2023-10-06,待定,长沙城市科技研究院,智能控制模块,长沙城市科技研究院,VLC-007-2024,物联网技术,无,标准型,V1.2,湖南省科学技术厅,http://www.hunan.gov.cn,2024-10-17,,,,,,,,,,
城市光通信网络,光通信,1,2023-08-25,南京城市光电公司,已完成,2023-08-26,合格,南京城市光电公司,城市光网络基站,南京城市光电公司,VLC-012-2024,监控技术,无,标准型,V1.0,南京市科技发展局,http://www.most.gov.cn,2024-10-17,,,,,,,,,,
多光束光传输系统,光通信,2,2023-09-10,成都光电科技有限公司,审核中,2023-09-11,待定,成都光电科技有限公司,多光束传输单元,成都光电科技有限公司,VLC-015-2024,云计算,无,高级型,V2.0,四川省科技厅,http://www.sc.gov.cn,2024-10-17,,,,,,,,,,
无人机可见光控制系统,光计算,1,2023-09-18,杭州无人科技有限公司,已完成,2023-09-19,合格,杭州无人科技有限公司,无人机信号控制模块,杭州无人科技有限公司,VLC-020-2024,监控技术,无,标准型,V1.0,浙江省科技信息平台,http://www.shaanxi.gov.cn,2024-10-17,,,,,,,,,,
光纤数据加速系统,光计算,3,2023-09-30,广州快速数据科技,审核中,2023-10-01,待定,广州快速数据科技,数据加速传输模块,广州快速数据科技,VLC-023-2024,互联网技术,无,高级型,V2.1,广州市科技委员会,http://www.mii.gov.cn,2024-10-17,,,,,,,,,,
可见光智能传输网,光网络,1,2023-10-05,武汉新光纳米科技,已完成,2023-10-06,合格,武汉新光纳米科技,智能传输单元,武汉新光纳米科技,VLC-029-2024,运输通信,无,标准型,V1.0,湖北省技术市场管理办公室,http://www.hunan.gov.cn,2024-10-17,,,,,,,,,,
智能家居光控网络,光通信,2,2023-10-10,深圳家居科技有限公司,审核中,2023-10-11,待定,深圳家居科技有限公司,家庭信号管理模块,深圳家居科技有限公司,VLC-034-2024,生活科技,无,高级型,V2.0,深圳市科技办公室,http://www.most.gov.cn,2024-10-17,,,,,,,,,,
高效可见光传输系统,光通信,1,2023-10-15,重庆光电科技有限公司,已完成,2023-10-16,合格,重庆光电科技有限公司,光信号处理模块,重庆光电科技有限公司,VLC-041-2024,通信工程,无,标准型,V1.0,重庆市科技局,http://www.sc.gov.cn,2024-10-17,,,,,,,,,,
全面光网络监控系统,光网络,3,2023-10-20,西安网络管理有限公司,审核中,2023-10-21,待定,西安网络管理有限公司,网络状态监控模块,西安网络管理有限公司,VLC-047-2024,互联网安全,无,高级型,V2.1,陕西省信息技术发展中心,http://www.shaanxi.gov.cn,2024-10-17,,,,,,,,,,
新一代光计算架构,光计算,2,2023-10-25,北京光计算研究所,审核中,2023-10-26,待定,北京光计算研究所,计算加速单元,北京光计算研究所,VLC-004-2024,人工智能,无,标准型,V1.0,北京市发展与改革委员会,http://www.mii.gov.cn,2024-10-17,,,,,,,,,,
智能城市可见光系统,光通信,1,2023-08-15,北京未来科技有限公司,已完成,2023-08-16,已完成,北京未来科技有限公司,城市光网络模块,北京未来科技有限公司,VLC-009-2024,交通管理,无,标准型,V1.0,北京未来科技有限公司,http://www.hunan.gov.cn,2024-10-17,,,,,,,,,,
智能光数据传输系统,光计算,2,2023-09-05,杭州数字科技有限公司,审核中,2023-09-06,审核中,杭州数字科技有限公司,多通道数据模块,杭州数字科技有限公司,VLC-015-2024,计算机网络,无,高级型,V2.0,杭州数字科技有限公司,http://www.most.gov.cn,2024-10-17,,,,,,,,,,
光智能合约系统,光计算,3,2023-09-15,南京区块链研究院,已完成,2023-09-16,已完成,南京区块链研究院,智能合约模块,南京区块链研究院,VLC-027-2024,电子商务,无,标准型,V1.3,南京区块链研究院,http://www.sc.gov.cn,2024-10-17,,,,,,,,,,
可见光自主网络系统,光网络,1,2023-10-01,苏州科技创新有限公司,审核中,2023-10-02,审核中,苏州科技创新有限公司,自主传输模块,苏州科技创新有限公司,VLC-033-2024,物联网,无,高级型,V2.0,苏州科技创新有限公司,http://www.shaanxi.gov.cn,2024-10-17,,,,,,,,,,
可见光文档传输系统,光通信,1,2023-10-15,厦门智慧科技有限公司,已完成,2023-10-16,已完成,厦门智慧科技有限公司,文档传输模块,厦门智慧科技有限公司,VLC-041-2024,电子文档管理,无,标准型,V1.0,厦门智慧科技有限公司,http://www.mii.gov.cn,2024-10-17,,,,,,,,,,
可见光Agritech网络系统,光网络,3,2023-11-01,成都农业科技公司,审核中,2023-11-02,审核中,成都农业科技公司,农业监控模块,成都农业科技公司,VLC-052-2024,现代农业,无,高级型,V2.1,成都农业科技公司,http://www.hunan.gov.cn,2024-10-17,,,,,,,,,,
智能教育可见光系统,光通信,1,2023-11-20,武汉教育科技集团,已完成,2023-11-21,已完成,武汉教育科技集团,在线学习模块,武汉教育科技集团,VLC-065-2024,教育,无,标准型,V1.2,武汉教育科技集团,http://www.most.gov.cn,2024-10-17,,,,,,,,,,
能源效率可见光系统,光网络,2,2023-12-01,广州能源研究院,审核中,2023-12-02,审核中,广州能源研究院,能效监测模块,广州能源研究院,VLC-078-2024,能源管理,无,高级型,V2.2,广州能源研究院,http://www.sc.gov.cn,2024-10-17,,,,,,,,,,
智慧城市光学监测系统,光计算,3,2023-12-15,上海智慧科技有限公司,已完成,2023-12-16,已完成,上海智慧科技有限公司,光学传感模块,上海智慧科技有限公司,VLC-086-2024,监控与安全,无,标准型,V1.1,上海智慧科技有限公司,http://www.shaanxi.gov.cn,2024-10-17,,,,,,,,,,
超高效可见光通信系统,光通信,1,2023-09-01,杭州未来科技有限公司,已完成,2023-09-02,合格,杭州未来科技有限公司,多通道传输模块,杭州未来科技有限公司,VLC-007-2024,传播技术,无,标准型,V1.0,杭州市科技局官网,http://hztechnology.gov.cn/,2024-10-17,,,,,,,,,,
下一代光计算平台,光计算,2,2023-09-12,苏州高科技发展公司,审核中,2023-09-13,待定,苏州高科技发展公司,光信号处理单元,苏州高科技发展公司,VLC-012-2024,计算机技术,无,高级型,V2.0,苏州市科技局,http://suzhou.gov.cn/,2024-10-17,,,,,,,,,,
基于光波的网络优化系统,光网络,3,2023-08-25,南京智能科技有限公司,已完成,2023-08-26,合格,南京智能科技有限公司,自动化调节模块,南京智能科技有限公司,VLC-023-2024,互联网技术,无,标准型,V1.5,南京市科技局,http://nj.gov.cn/,2024-10-17,,,,,,,,,,
智能光通信数据传输系统,光通信,1,2023-07-30,成都光电信息技术公司,已完成,2023-07-31,合格,成都光电信息技术公司,高效传输单元,成都光电信息技术公司,VLC-034-2024,生态环保,无,标准型,V1.2,成都市科技局,http://chengdu.gov.cn/,2024-10-17,,,,,,,,,,
新型可见光网络分析工具,光网络,2,2023-10-05,西安智能科技有限公司,审核中,2023-10-06,待定,西安智能科技有限公司,数据分析单元,西安智能科技有限公司,VLC-056-2024,计算机网络,无,高级型,V2.0,西安市科技局,http://xian.gov.cn/,2024-10-17,,,,,,,,,,
高精度光信号处理系统,光计算,1,2023-09-20,天津光电科技公司,已完成,2023-09-21,合格,天津光电科技公司,信号采集模块,天津光电科技公司,VLC-089-2024,量子计算,无,标准型,V1.1,天津市科技局,http://tianjin.gov.cn/,2024-10-17,,,,,,,,,,
光通信新材料开发系统,光通信,3,2023-08-05,青岛先进材料公司,审核中,2023-08-06,待定,青岛先进材料公司,新型光纤材料,青岛先进材料公司,VLC-092-2024,新材料技术,无,高级型,V2.3,青岛市科技局,http://qingdao.gov.cn/,2024-10-17,,,,,,,,,,
可见光信息传输控制台,光通信,1,2023-09-15,厦门海洋科技有限公司,已完成,2023-09-16,合格,厦门海洋科技有限公司,信号控制模块,厦门海洋科技有限公司,VLC-105-2024,海洋工程,无,标准型,V1.4,厦门市科技局,http://xiamen.gov.cn/,2024-10-17,,,,,,,,,,
创新型光网络监控系统,光网络,2,2023-09-25,福州安全技术公司,审核中,2023-09-26,待定,福州安全技术公司,实时监控模块,福州安全技术公司,VLC-118-2024,交通管理,无,高级型,V2.1,福州市科技局,http://fuzhou.gov.cn/,2024-10-17,,,,,,,,,,
高效能可见光通信技术,光通信,1,2023-09-01,天津光电科技有限公司,已完成,2023-09-02,合格,天津光电科技有限公司,光模块设计,天津光电科技有限公司,VLC-145-2024,远程通信,无,标准型,V1.0,国家光电技术管理中心,http://nlptech.gov.cn/,2024-10-17,,,,,,,,,,
智能光信号处理系统,光计算,2,2023-09-12,杭州光电研究有限公司,审核中,2023-09-13,待定,杭州光电研究有限公司,数据挖掘与分析模块,杭州光电研究有限公司,VLC-003-2024,电子教育,无,高级型,V2.1,省科技创新服务平台,http://hzkj.gov.cn/,2024-10-17,,,,,,,,,,
可见光数据传输防护系统,光网络,3,2023-09-20,西安数字安全有限公司,已完成,2023-09-21,合格,西安数字安全有限公司,防护模块,西安数字安全有限公司,VLC-008-2024,计算机技术,无,标准型,V1.0,西部科技信息网,http://xbsti.gov.cn/,2024-10-17,,,,,,,,,,
高速光计算传输系统,光计算,2,2023-10-01,重庆光电科技公司,审核中,2023-10-02,待定,重庆光电科技公司,流数据处理单元,重庆光电科技公司,VLC-012-2024,网络通信,无,高级型,V3.0,重庆市科技局,http://cqsj.gov.cn/,2024-10-17,,,,,,,,,,
多元化可见光网络,光网络,3,2023-10-10,南京先进通信技术公司,已完成,2023-10-11,合格,南京先进通信技术公司,可扩展网络架构,南京先进通信技术公司,VLC-015-2024,企业服务,无,标准型,V1.0,江苏省科学技术厅,http://jsst.gov.cn/,2024-10-17,,,,,,,,,,
智能可见光数据安全系统,光网络,3,2023-10-15,武汉光电安全技术中心,审核中,2023-10-16,待定,武汉光电安全技术中心,智能防护模块,武汉光电安全技术中心,VLC-021-2024,教育研究,无,高级型,V2.2,湖北省科技厅,http://hubei.gov.cn/,2024-10-17,,,,,,,,,,
可见光连接解决方案,光通信,1,2023-10-20,广州网络智能有限公司,已完成,2023-10-21,合格,广州网络智能有限公司,光连接和分配模块,广州网络智能有限公司,VLC-027-2024,交通监控,无,标准型,V1.0,广州市科技局,http://gzst.gov.cn/,2024-10-17,,,,,,,,,,
下一代光计算平台,光计算,2,2023-10-30,深圳前沿光计算科技有限公司,审核中,2023-10-31,待定,深圳前沿光计算科技有限公司,下一代数据计算模块,深圳前沿光计算科技有限公司,VLC-035-2024,计算机视觉,无,高级型,V2.3,南方光电科技网,http://nfgd.gov.cn/,2024-10-17,,,,,,,,,,
智能光网络优化系统,光网络,3,2023-11-01,福建光电网络技术有限公司,已完成,2023-11-02,合格,福建光电网络技术有限公司,网络智能优化模块,福建光电网络技术有限公司,VLC-042-2024,物联网技术,无,标准型,V1.0,福建省科技厅,http://fj.gov.cn/,2024-10-17,,,,,,,,,,
城市公共可见光通信系统,光通信,1,2023-08-25,天津光电科技有限公司,已完成,2023-08-26,合格,天津光电科技有限公司,无线光节点,天津光电科技有限公司,VLC-048-2024,监控技术,无,标准型,V1.0,天津市科技发展管理平台,http://jsst.gov.cn/,2024-10-17,,,,,,,,,,
智能家庭光网络系统,光网络,2,2023-09-10,杭州智能科技有限公司,审核中,2023-09-11,待定,杭州智能科技有限公司,互联家庭模块,杭州智能科技有限公司,VLC-056-2024,云计算,无,高级型,V1.1,杭州市信息技术管理系统,http://hubei.gov.cn/,2024-10-17,,,,,,,,,,
农业监测可见光系统,光通信,1,2023-09-20,成都大地农业科技有限公司,已完成,2023-09-21,合格,成都大地农业科技有限公司,数据采集模块,成都大地农业科技有限公司,VLC-007-2024,农业监测,无,标准型,V1.0,成都市农业科技管理平台,http://gzst.gov.cn/,2024-10-17,,,,,,,,,,
高效能光计算系统,光计算,2,2023-09-30,南京未来科技有限公司,审核中,2023-10-01,待定,南京未来科技有限公司,多核处理模块,南京未来科技有限公司,VLC-012-2024,高性能计算,无,高级型,V1.1,南京市科技创新平台,http://nfgd.gov.cn/,2024-10-17,,,,,,,,,,
智慧医疗光通信系统,光通信,3,2023-10-05,西安医疗科技研究院,已完成,2023-10-06,合格,西安医疗科技研究院,健康数据模块,西安医疗科技研究院,VLC-019-2024,医疗领域,无,标准型,V1.0,西安市卫生与健康委员会,http://fj.gov.cn/,2024-10-17,,,,,,,,,,
可见光环境监测系统,光通信,2,2023-10-15,武汉环保科技有限公司,审核中,2023-10-16,待定,武汉环保科技有限公司,空气质量检测模块,武汉环保科技有限公司,VLC-025-2024,环境监测,无,高级型,V2.0,武汉市绿色发展委员会,http://jsst.gov.cn/,2024-10-17,,,,,,,,,,
办公楼智能光网络系统,光网络,3,2023-10-20,重庆现代科技有限公司,已完成,2023-10-21,合格,重庆现代科技有限公司,智能办公模块,重庆现代科技有限公司,VLC-034-2024,商业办公,无,标准型,V1.2,重庆市经济和信息化委员会,http://hubei.gov.cn/,2024-10-17,,,,,,,,,,
数据中心光计算系统,光计算,1,2023-11-02,青岛信息技术研究所,审核中,2023-11-03,待定,青岛信息技术研究所,高速数据处理模块,青岛信息技术研究所,VLC-041-2024,大数据处理,无,高级型,V1.0,青岛市科技局,http://gzst.gov.cn/,2024-10-17,,,,,,,,,,
超高频光网络系统,光网络,3,2023-11-10,大连现代光电技术有限公司,已完成,2023-11-11,合格,大连现代光电技术有限公司,超高频信号模块,大连现代光电技术有限公司,VLC-056-2024,信号处理,无,标准型,V1.0,大连市科技创新平台,http://nfgd.gov.cn/,2024-10-17,,,,,,,,,,
城市智能交通系统,光通信,1,2023-09-01,北京智能交通技术有限公司,已完成,2023-09-02,合格,北京智能交通技术有限公司,数据采集与处理模块,北京智能交通技术有限公司,VLC-062-2024,交通管理,无,标准型,V1.0,国家交通管理信息系统,http://ntmg.gov.cn/,2024-10-17,,,,,,,,,,
光传输数据增强系统,光计算,2,2023-07-18,南京光电科技研究所,审核中,2023-07-19,待定,南京光电科技研究所,数据增强处理单元,南京光电科技研究所,VLC-078-2024,计算机科学,无,高级型,V2.0,江苏省科技局,http://jss.gov.cn/,2024-10-17,,,,,,,,,,
家庭智能照明系统,光通信,1,2023-08-25,杭州创意家居有限公司,已完成,2023-08-26,合格,杭州创意家居有限公司,智能控制模块,杭州创意家居有限公司,VLC-084-2024,生活科技,无,标准型,V1.0,浙江省科技厅,http://zj.gov.cn/,2024-10-17,,,,,,,,,,
高效光信号处理系统,光计算,2,2023-08-20,西安光电产业开发公司,审核中,2023-08-21,待定,西安光电产业开发公司,信号处理单元,西安光电产业开发公司,VLC-023-2024,计算机科学,无,高级型,V2.1,陕西省科技厅,http://sxt.gov.cn/,2024-10-17,,,,,,,,,,
高安全性光网络系统,光网络,3,2023-06-30,广州网络安全技术有限公司,已完成,2023-07-01,合格,广州网络安全技术有限公司,安全检测模块,广州网络安全技术有限公司,VLC-057-2024,计算机网络,无,标准型,V1.1,深圳市网络安全办公室,http://szws.gov.cn/,2024-10-17,,,,,,,,,,
