应用状态（字符型）,推广形式（字符型）,已转让企业个数（数值型）,单位,技术转让收入（数值型）,单位,自行转化效益（数值型）,单位,预计达产投资（数值型）,单位,预计达产利税（数值型）,单位,未应用或停用原因（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
进行中,国家重点项目,13,个,700,万元,400,万元,2500,万元,1000,万元,技术更新缓慢,中国科技产业网,http://www.qct.gov.cn,2024-10-21,,,,,,,,,
已完成,技术竞赛,14,个,650,万元,500,万元,1800,万元,800,万元,标准化进程较慢,南方科技大学,http://www.sustech.edu.cn,2024-10-21,,,,,,,,,
初步应用,企业孵化器,19,个,320,万元,180,万元,1150,万元,480,万元,市场契合度不足,清华大学,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
进行中,区块链集成,20,个,600,万元,400,万元,2500,万元,1000,万元,市场验证不足,中国量子通信网,http://www.quantumcomm.cc,2024-10-21,,,,,,,,,
已完成,技术授权,18,个,750,万元,500,万元,3000,万元,1200,万元,缺乏实用性,科技日报,https://www.stdaily.com,2024-10-21,,,,,,,,,
初步应用,智能硬件集成,7,个,300,万元,200,万元,1600,万元,650,万元,用户体验问题,量子科技网,http://www.quantumtech.cn,2024-10-21,,,,,,,,,
停用,学术研讨会,4,个,100,万元,60,万元,500,万元,200,万元,政策限制,中国科学院量子信息与量子科技创新研究院,http://www.iqst.ac.cn,2024-10-21,,,,,,,,,
在研,开放实验室,11,个,400,万元,270,万元,2000,万元,800,万元,资源整合困难,量子技术观察,http://www.quantumobs.com,2024-10-21,,,,,,,,,
待推广,企业孵化,9,个,500,万元,350,万元,2200,万元,900,万元,商业化路径不明,人工智能与量子计算研究中心,http://www.aiqc.org,2024-10-21,,,,,,,,,
进行中,合作研发,16,个,550,万元,320,万元,1900,万元,750,万元,用户接受度低,量子科技发展委员会,http://www.qtc.gov.cn,2024-10-21,,,,,,,,,
已完成,国际合作,12,个,680,万元,460,万元,2500,万元,950,万元,文化差异,国际量子信息协会,http://www.iqia.org,2024-10-21,,,,,,,,,
初步应用,商业化合作,6,个,250,万元,180,万元,1100,万元,400,万元,技术低成熟度,中国创新创业研究中心,http://www.inno-start.com,2024-10-21,,,,,,,,,
进行中,国际合作,20,个,600,万元,350,万元,2500,万元,900,万元,技术适应性不足,量子技术研究中心,http://www.qtrc.edu.cn,2024-10-21,,,,,,,,,
已完成,市场推广,25,个,800,万元,500,万元,3000,万元,1200,万元,潜在市场未开发,量子产业发展局,http://www.qidb.gov.cn,2024-10-21,,,,,,,,,
初步应用,数据共享平台,7,个,250,万元,180,万元,1100,万元,450,万元,项目资金不足,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
停用,高校合作,2,个,100,万元,70,万元,600,万元,250,万元,技术更新换代,国家量子通讯研究中心,http://www.nqcrc.cn,2024-10-21,,,,,,,,,
待推广,企业孵化,15,个,390,万元,220,万元,1700,万元,750,万元,市场信息缺失,中国科技网,http://www.stdmag.com,2024-10-21,,,,,,,,,
进行中,行业联盟,18,个,500,万元,320,万元,2100,万元,850,万元,行业竞争激烈,量子产业观察,http://www.qiindustrywatch.com,2024-10-21,,,,,,,,,
已完成,科技成果转化,10,个,480,万元,305,万元,1600,万元,670,万元,技术尚未推广,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,
初步应用,科研项目,4,个,220,万元,130,万元,800,万元,320,万元,缺乏政策支持,量子应用与技术论坛,http://www.qatechforum.com,2024-10-21,,,,,,,,,
待推广,市场调研,11,个,410,万元,260,万元,1900,万元,720,万元,市场接受度低,国家发展改革委员会,http://www.ndrc.gov.cn,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,350,万元,2500,万元,900,万元,技术成熟度不足,量子科技研究院,http://www.quantumtechinstitute.org,2024-10-21,,,,,,,,,
已完成,政府项目,7,个,350,万元,180,万元,1400,万元,550,万元,市场需求不足,国家量子中心,https://www.nationalquantumcenter.cn,2024-10-21,,,,,,,,,
初步应用,研究所合作,6,个,220,万元,130,万元,900,万元,350,万元,缺乏行业支持,量子科学实验室,http://www.quantumexperiments.org,2024-10-21,,,,,,,,,
停用,商业化合作,4,个,100,万元,70,万元,600,万元,250,万元,政策调整,国家科学技术部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
在研,企业孵化,9,个,400,万元,210,万元,1600,万元,700,万元,技术标准缺乏,中国量子通信技术网,http://www.quantumcomm.cn,2024-10-21,,,,,,,,,
待推广,学术会议合作,11,个,500,万元,260,万元,1900,万元,800,万元,投资回报不明确,国际量子技术研究中心,http://www.iqtrc.org,2024-10-21,,,,,,,,,
进行中,开源平台,16,个,650,万元,400,万元,2300,万元,950,万元,技术成熟度不足,量子技术发展协会,http://www.qtdas.org,2024-10-21,,,,,,,,,
已完成,行业培训,14,个,520,万元,310,万元,2100,万元,850,万元,市场需求不足,未来科技展览会,http://www.techfairfuture.cn,2024-10-21,,,,,,,,,
初步应用,技术展示,3,个,220,万元,140,万元,950,万元,400,万元,缺乏行业支持,量子信息论坛,http://www.quantumforum.org,2024-10-21,,,,,,,,,
进行中,技术孵化,20,个,600,万元,400,万元,2500,万元,900,万元,市场导向不清晰,中国科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
已完成,行业合作,15,个,480,万元,350,万元,2200,万元,850,万元,技术复杂性过高,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
初步应用,企业赞助,9,个,250,万元,180,万元,1100,万元,450,万元,行业认知不足,清华大学研究报告,http://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
停用,科研合作,4,个,100,万元,70,万元,600,万元,250,万元,项目资金不足,中科院量子信息研究所,http://www.iqi.cas.cn/,2024-10-21,,,,,,,,,
在研,开放式实验室,6,个,300,万元,200,万元,1500,万元,600,万元,资源配置不足,电子科技大学,http://www.uestc.edu.cn/,2024-10-21,,,,,,,,,
待推广,市场推广,11,个,420,万元,300,万元,1700,万元,750,万元,缺乏客户反馈,国家量子信息技术实验室,http://www.quantuminformatics.cn/,2024-10-21,,,,,,,,,
进行中,教育培训,18,个,550,万元,370,万元,2300,万元,880,万元,标准化程度不足,中国量子产业联盟,http://www.cqib.org.cn/,2024-10-21,,,,,,,,,
已完成,智能合约,14,个,430,万元,300,万元,2100,万元,800,万元,用户信任度低,区块链信息网,http://www.blockchain.com/,2024-10-21,,,,,,,,,
初步应用,公共项目,7,个,220,万元,160,万元,900,万元,350,万元,技术运用环境不成熟,京东研究院,http://www.jd.com/,2024-10-21,,,,,,,,,
进行中,科研合作,20,个,600,万元,350,万元,2500,万元,900,万元,行业标准不明确,国家重点实验室,http://www.nsl.ac.cn/,2024-10-21,,,,,,,,,
已完成,商业推广,25,个,800,万元,400,万元,3000,万元,1200,万元,竞争对手压力,量子产业研究院,http://www.qiri.org/,2024-10-21,,,,,,,,,
初步应用,公共服务,7,个,250,万元,180,万元,1400,万元,500,万元,用户反馈不足,学术期刊,http://www.journalofquantum.com/,2024-10-21,,,,,,,,,
已完成,国际合作,5,个,150,万元,120,万元,700,万元,300,万元,技术复杂性高,国际量子技术协会,http://www.iqta.org/,2024-10-21,,,,,,,,,
在研,在线课程,10,个,450,万元,220,万元,1600,万元,700,万元,市场需求不明,在线教育平台,http://www.edx.org/,2024-10-21,,,,,,,,,
待推广,公益项目,12,个,200,万元,130,万元,1100,万元,450,万元,资金不足,地方科技局,http://www.st.gov.cn/,2024-10-21,,,,,,,,,
进行中,标准化推广,18,个,350,万元,175,万元,1900,万元,600,万元,人员短缺,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
已完成,产品评估,16,个,700,万元,350,万元,2200,万元,950,万元,需求不足,中国科技网,http://www.cstw.com/,2024-10-21,,,,,,,,,
停用,技术评估,4,个,100,万元,80,万元,600,万元,250,万元,项目需求变更,科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
进行中,产业合作,20,个,600,万元,350,万元,2500,万元,1000,万元,技术兼容性问题,清华大学量子研究中心,http://www.tsinghua.edu.cn/quantum,2024-10-21,,,,,,,,,
已完成,合作研发,15,个,700,万元,400,万元,1800,万元,750,万元,市场需求波动,量子信息与量子科技前沿,http://www.quantumfrontiers.com,2024-10-21,,,,,,,,,
初步应用,高等院校项目,7,个,250,万元,180,万元,1100,万元,400,万元,技术应用限制,电子科技大学,http://www.uestc.edu.cn,2024-10-21,,,,,,,,,
停用,军工项目,4,个,120,万元,90,万元,600,万元,250,万元,项目计划变更,中国军工承包商网站,http://www.cmcc.cn,2024-10-21,,,,,,,,,
在研,国际合作,9,个,300,万元,200,万元,1500,万元,600,万元,法律法规限制,国际量子科技协会,http://www.iquanta.org,2024-10-21,,,,,,,,,
待推广,行业会议展示,6,个,350,万元,240,万元,2000,万元,800,万元,缺乏市场教育,量子科学信息网,http://www.quantumsci.cn,2024-10-21,,,,,,,,,
进行中,科研资助,11,个,420,万元,280,万元,1750,万元,650,万元,技术结合难度,中国科学院量子信息技术研究所,http://www.iqtc.cas.cn,2024-10-21,,,,,,,,,
已完成,地方政府计划,5,个,180,万元,150,万元,900,万元,350,万元,地方政策变更,地方经济发展研究中心,http://www.locecondev.cn,2024-10-21,,,,,,,,,
初步应用,技术展会,3,个,250,万元,200,万元,950,万元,400,万元,市场适应性不足,中国信息产业网,http://www.cii.com.cn,2024-10-21,,,,,,,,,
停用,科研项目补助,2,个,90,万元,70,万元,500,万元,200,万元,资源整合不足,量子技术创新网,http://www.qtic.com.cn,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,350,万元,2500,万元,900,万元,市场竞争激烈,中国量子技术研究院,http://www.qinzhong.gov.cn,2024-10-21,,,,,,,,,
已完成,企业合作,18,个,700,万元,400,万元,3000,万元,1000,万元,行业接受度低,量子信息网络中心,http://www.qi-net.org,2024-10-21,,,,,,,,,
初步应用,科研合作,7,个,250,万元,180,万元,950,万元,450,万元,技术推广不足,国际量子未来研究所,http://www.quantumfuture.org,2024-10-21,,,,,,,,,
停用,政府项目,5,个,100,万元,70,万元,600,万元,200,万元,项目资金问题,国家科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
在研,技术交流,12,个,500,万元,320,万元,1450,万元,600,万元,合作意向不足,未来科技实验室,http://www.futuretechlab.org,2024-10-21,,,,,,,,,
待推广,行业论坛,15,个,400,万元,260,万元,1750,万元,700,万元,市场定位不清,高科技产业协会,http://www.hitecna.org,2024-10-21,,,,,,,,,
进行中,大会展览,10,个,320,万元,220,万元,1300,万元,500,万元,技术成熟度不足,中国科技大学,http://www.ustc.edu.cn,2024-10-21,,,,,,,,,
初步应用,跨界合作,9,个,350,万元,270,万元,1100,万元,450,万元,技术认知不足,中国科学院量子信息中心,http://www.iqi.cas.cn,2024-10-21,,,,,,,,,
待推广,商业开发,11,个,410,万元,290,万元,1850,万元,750,万元,未来市场不明,新科技产业研究院,http://www.nstir.com,2024-10-21,,,,,,,,,
进行中,技术孵化,20,个,600,万元,350,万元,3000,万元,1000,万元,竞争对手技术领先,中国科学技术协会,http://www.cast.org.cn/,2024-10-21,,,,,,,,,
已完成,产业合作,25,个,800,万元,500,万元,3500,万元,1500,万元,尚无产品化方案,清华大学量子研究中心,https://qci.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
初步应用,学术研讨会议,7,个,300,万元,100,万元,900,万元,350,万元,缺乏市场认知,中国量子信息产业联盟,http://www.cqiia.org/,2024-10-21,,,,,,,,,
停用,政府科研项目,5,个,120,万元,80,万元,600,万元,200,万元,资金短缺,国家自然科学基金,http://www.nsfc.gov.cn/,2024-10-21,,,,,,,,,
在研,跨国合作,9,个,450,万元,300,万元,1500,万元,700,万元,技术标准未制定,上海交通大学,https://www.sjtu.edu.cn/,2024-10-21,,,,,,,,,
待推广,技术转让会,16,个,520,万元,400,万元,2200,万元,950,万元,市场环境变化,中国科学技术部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
进行中,技术研发,11,个,370,万元,180,万元,1100,万元,480,万元,政策支持不足,量子通信产业峰会,http://www.qci2023.com/,2024-10-21,,,,,,,,,
初步应用,行业合作,14,个,280,万元,150,万元,1300,万元,600,万元,缺乏实验数据,智能量子技术在线,https://www.iqtb.org/,2024-10-21,,,,,,,,,
待推广,展会推介,13,个,615,万元,350,万元,2400,万元,900,万元,技术竞争激烈,量子信息国家重点实验室,http://www.nklqis.org/,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,400,万元,2200,万元,900,万元,技术成熟度不足,中国科学院,https://www.cas.cn/,2024-10-21,,,,,,,,,
已完成,合作开发,15,个,450,万元,300,万元,1600,万元,700,万元,市场竞争激烈,科技日报,https://www.stdaily.com/,2024-10-21,,,,,,,,,
初步应用,学术合作,7,个,250,万元,175,万元,900,万元,350,万元,缺乏行业支持,人民网,https://www.people.com.cn/,2024-10-21,,,,,,,,,
待推广,企业合作,10,个,400,万元,230,万元,1500,万元,650,万元,投资策略不明确,科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
在研,开源社区,11,个,300,万元,220,万元,1750,万元,800,万元,缺乏标准化指导,中国信息通信研究院,http://www.caict.ac.cn/,2024-10-21,,,,,,,,,
已完成,商业化推广,9,个,520,万元,310,万元,1300,万元,600,万元,行业认可度不足,光明日报,https://www.gmw.cn/,2024-10-21,,,,,,,,,
进行中,国家项目,14,个,800,万元,450,万元,2500,万元,1000,万元,技术路径不清晰,国家发展改革委,https://www.ndrc.gov.cn/,2024-10-21,,,,,,,,,
初步应用,国际合作,6,个,190,万元,145,万元,1100,万元,380,万元,国际合作障碍,中国科技部,https://www.most.gov.cn/,2024-10-21,,,,,,,,,
待推广,高校合作,5,个,180,万元,120,万元,700,万元,250,万元,市场教育不足,中关村发展集团,https://www.zgc.gov.cn/,2024-10-21,,,,,,,,,
进行中,政府资助,13,个,750,万元,360,万元,2100,万元,750,万元,法规不健全,中国量子中心,https://www.quantum.gov.cn/,2024-10-21,,,,,,,,,
进行中,智能制造,20,个,600,万元,400,万元,2500,万元,900,万元,市场竞争激烈,中国量子研究中心,https://www.quantumresearch.org.cn,2024-10-21,,,,,,,,,
已完成,高校合作,22,个,780,万元,500,万元,3000,万元,1200,万元,技术落地难度大,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
初步应用,企业孵化,9,个,250,万元,180,万元,1100,万元,450,万元,行业认知不足,中国信息通信研究院,http://www.caict.ac.cn,2024-10-21,,,,,,,,,
待推广,政策支持,15,个,500,万元,350,万元,2000,万元,700,万元,缺乏市场导向,新华网,http://www.xinhuanet.com,2024-10-21,,,,,,,,,
在研,国际合作,13,个,450,万元,300,万元,1700,万元,650,万元,技术壁垒高,科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
已完成,商业合作,17,个,720,万元,400,万元,2800,万元,1000,万元,成本高昂,中国量子科技产业发展联盟,http://www.qstif.org.cn,2024-10-21,,,,,,,,,
停用,企业应用,4,个,160,万元,120,万元,600,万元,250,万元,资金链断裂,南方周末,http://www.infzm.com,2024-10-21,,,,,,,,,
进行中,社区推广,6,个,310,万元,200,万元,950,万元,380,万元,缺乏应用案例,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
初步应用,政府扶持,11,个,400,万元,275,万元,1300,万元,500,万元,应用领域不明,中华人民共和国内部政策研究中心,http://www.npc.gov.cn,2024-10-21,,,,,,,,,
进行中,在线研讨会,20,个,600,万元,350,万元,2500,万元,900,万元,技术可信度不足,Quantum Tech News,https://www.quantumtechnews.com,2024-10-21,,,,,,,,,
已完成,国际合作,25,个,900,万元,600,万元,3000,万元,1200,万元,创新技术滞后,Science Advances,https://www.science.org/journal/sciadv,2024-10-21,,,,,,,,,
初步应用,政府资助项目,7,个,300,万元,100,万元,1200,万元,500,万元,缺乏市场需求,中国科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
停用,商业化实验,2,个,120,万元,80,万元,500,万元,200,万元,政策原因,中国量子产业技术创新战略发展联盟,http://www.qtics.org,2024-10-21,,,,,,,,,
在研,跨国合作,6,个,500,万元,300,万元,2300,万元,800,万元,缺乏资金支持,国际量子科技协会,https://www.iqta.org,2024-10-21,,,,,,,,,
待推广,高校合作,18,个,700,万元,400,万元,2500,万元,1000,万元,技术标准未制定,知乎量子科技话题,https://www.zhihu.com/topic/20021647,2024-10-21,,,,,,,,,
进行中,在线课程,4,个,180,万元,90,万元,900,万元,300,万元,缺乏应用案例,量子信息研究院,http://www.qii.org,2024-10-21,,,,,,,,,
已完成,科技示范,15,个,450,万元,250,万元,1700,万元,600,万元,技术过于复杂,量子计算研究中心,https://www.qcc.org,2024-10-21,,,,,,,,,
在研,企业孵化,10,个,550,万元,350,万元,2200,万元,700,万元,技术适用性不足,新技术观察,https://www.newtech.com,2024-10-21,,,,,,,,,
进行中,企业合作,20,个,600,万元,400,万元,2200,万元,900,万元,数据安全问题,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,
初步应用,学术会议,7,个,250,万元,180,万元,950,万元,350,万元,行业规范缺乏,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
已完成,联盟合作,14,个,550,万元,450,万元,2100,万元,850,万元,成果未市场化,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
待推广,政府资助,5,个,200,万元,100,万元,500,万元,250,万元,资金不足,中国科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
停用,研究合作,2,个,75,万元,25,万元,300,万元,100,万元,市场反馈不佳,清华大学科技成果转化中心,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
已完成,开源软件,13,个,420,万元,300,万元,1700,万元,650,万元,不符合市场需求,开源项目社区,http://www.opensource.org,2024-10-21,,,,,,,,,
进行中,技术转让,18,个,700,万元,500,万元,2500,万元,1000,万元,应用场景限制,爱分析,https://www.51analyze.com,2024-10-21,,,,,,,,,
在研,科研项目,9,个,350,万元,220,万元,1300,万元,550,万元,知识产权问题,清华大学,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
待推广,行业展会,6,个,300,万元,190,万元,700,万元,400,万元,市场认知度低,中国电子技术标准化研究院,http://www.ces.cn,2024-10-21,,,,,,,,,
进行中,战略合作,11,个,480,万元,320,万元,1600,万元,750,万元,市场竞争激烈,人民网科技,http://www.people.com.cn/science,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,400,万元,2500,万元,1000,万元,技术成熟度不足,中国科学院,https://www.cas.cn/,2024-10-21,,,,,,,,,
已完成,合作开发,14,个,750,万元,500,万元,3000,万元,1200,万元,领先技术被替代,工程技术中心,http://www.cetcc.cn/,2024-10-21,,,,,,,,,
初步应用,学术合作,6,个,280,万元,200,万元,1600,万元,700,万元,缺乏经验,清华大学量子通信中心,https://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
待推广,政府项目,5,个,220,万元,180,万元,1100,万元,450,万元,市场需求不确定,上海市发展和改革委员会,http://fgw.sh.gov.cn/,2024-10-21,,,,,,,,,
进行中,开源社区,9,个,340,万元,260,万元,1300,万元,580,万元,技术标准缺乏,量子中立空间,https://quantumneutralspace.org/,2024-10-21,,,,,,,,,
已完成,企业合作,17,个,950,万元,700,万元,4000,万元,1500,万元,技术过载,互联网技术协会,http://www.iita.org.cn/,2024-10-21,,,,,,,,,
在研,科研机构合作,8,个,400,万元,300,万元,2500,万元,900,万元,团队缺乏,国家量子实验室,http://www.nqeil.org/,2024-10-21,,,,,,,,,
停用,国际合作,4,个,170,万元,120,万元,900,万元,350,万元,政策调整,国际量子技术论坛,http://www.iquantumforum.org/,2024-10-21,,,,,,,,,
待推广,技术展览,11,个,500,万元,390,万元,1900,万元,800,万元,缺乏投资反馈,中国电力科学研究院,http://www.cea.gov.cn/,2024-10-21,,,,,,,,,
已完成,企业合作,20,个,600,万元,400,万元,2500,万元,900,万元,行业竞争激烈,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
进行中,开放平台,6,个,250,万元,150,万元,900,万元,350,万元,技术适配性差,中国量子通信网,http://www.quantum.com/,2024-10-21,,,,,,,,,
初步应用,学术合作,4,个,180,万元,120,万元,750,万元,200,万元,投资者信心不足,中国科学院,http://www.cas.cn/,2024-10-21,,,,,,,,,
待推广,云计算解决方案,11,个,500,万元,300,万元,2200,万元,800,万元,商业模式不清晰,大数据应用分析中心,http://www.bigdataanalysis.org/,2024-10-21,,,,,,,,,
在研,研究院合作,7,个,350,万元,250,万元,1300,万元,450,万元,市场导向不明,量子技术研究中心,http://www.quantumresearch.org/,2024-10-21,,,,,,,,,
已完成,政府资助项目,5,个,300,万元,180,万元,1500,万元,600,万元,用户接受度不高,国家科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
进行中,跨国合作,9,个,520,万元,310,万元,2100,万元,750,万元,国际政策变化,国际量子技术论坛,http://www.qitf.org/,2024-10-21,,,,,,,,,
待推广,行业展会展示,2,个,100,万元,50,万元,600,万元,200,万元,项目评估不足,中国信息产业网,http://www.cnii.com.cn/,2024-10-21,,,,,,,,,
停用,技术评估报告,1,个,80,万元,40,万元,500,万元,150,万元,市场不接受,中国市场监管局,http://www.samr.gov.cn/,2024-10-21,,,,,,,,,
进行中,云平台服务,18,个,620,万元,340,万元,2500,万元,1000,万元,市场需求分析不足,中国科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
已完成,合作开发,20,个,490,万元,230,万元,1600,万元,750,万元,竞争对手技术更优,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
初步应用,学术合作,6,个,210,万元,170,万元,1200,万元,450,万元,缺乏应用场景,中国量子信息科学技术产业基地,http://www.cqi.ustc.edu.cn,2024-10-21,,,,,,,,,
停用,政府项目,4,个,140,万元,90,万元,600,万元,250,万元,资金不足,创新中国,http://www.innovation-china.com,2024-10-21,,,,,,,,,
在研,开源社区,9,个,370,万元,220,万元,1500,万元,600,万元,技术成熟度不足,中国科技网,http://www.cistc.com.cn,2024-10-21,,,,,,,,,
待推广,企业合作,14,个,480,万元,310,万元,1900,万元,800,万元,市场饱和,中国量子技术论坛,http://www.cqt.org.cn,2024-10-21,,,,,,,,,
进行中,云平台服务,11,个,560,万元,290,万元,2100,万元,900,万元,技术推广不足,科技部前沿研究中心,http://www.frontier.most.cn,2024-10-21,,,,,,,,,
已完成,合作开发,16,个,420,万元,260,万元,1300,万元,650,万元,外部环境变化,量子科技创新中心,http://www.qtic.gov.cn,2024-10-21,,,,,,,,,
初步应用,学术合作,7,个,230,万元,180,万元,1100,万元,400,万元,行业应用有限,量子创投网,http://www.qifund.com,2024-10-21,,,,,,,,,
停用,政府项目,2,个,100,万元,80,万元,500,万元,200,万元,技术对接困难,发展改革委员会,http://www.ndrc.gov.cn,2024-10-21,,,,,,,,,
进行中,量子计算平台,20,个,600,万元,400,万元,2500,万元,1000,万元,技术标准缺乏,中科院量子信息技术研究所,https://www.iqi.gov.cn,2024-10-21,,,,,,,,,
已完成,行业应用,25,个,700,万元,450,万元,3000,万元,1200,万元,市场成熟度不足,量子技术论坛,https://www.quantumforum.com,2024-10-21,,,,,,,,,
初步应用,科技合作,18,个,320,万元,180,万元,1500,万元,700,万元,缺乏企业投入,中国量子网络研究中心,https://www.cqnet.gov.cn,2024-10-21,,,,,,,,,
待推广,应用示范,30,个,800,万元,500,万元,3500,万元,1500,万元,市场渗透率低,中国科技部,https://www.most.gov.cn,2024-10-21,,,,,,,,,
在研,高校合作,10,个,290,万元,200,万元,1100,万元,600,万元,技术路线不清,量子科技研究网,https://www.qkinvest.com,2024-10-21,,,,,,,,,
进行中,国际合作,22,个,750,万元,350,万元,2800,万元,1300,万元,法规壁垒,量子信息联盟,https://www.qubitalliance.org,2024-10-21,,,,,,,,,
已完成,公共项目,16,个,580,万元,320,万元,2300,万元,900,万元,项目需求变化,中国高科技产业开发区,https://www.chinatech.org,2024-10-21,,,,,,,,,
初步应用,技术展示,14,个,480,万元,240,万元,1750,万元,800,万元,行业认知不足,中国量子技术应用协会,https://www.cqta.org.cn,2024-10-21,,,,,,,,,
停用,研发项目,6,个,100,万元,50,万元,900,万元,200,万元,研发未达预期,科技日报,https://www.stdaily.com,2024-10-21,,,,,,,,,
进行中,行业会议,20,个,600,万元,500,万元,2500,万元,900,万元,技术应用场景限制,量子科技网,http://www.quantumtechnews.com,2024-10-21,,,,,,,,,
已完成,商业化推广,25,个,800,万元,600,万元,3000,万元,1200,万元,市场饱和,科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
初步应用,高校合作,9,个,300,万元,200,万元,1400,万元,500,万元,缺乏技术团队,量子信息协会,http://www.qit.org.cn,2024-10-21,,,,,,,,,
停用,政府扶持,4,个,100,万元,80,万元,700,万元,200,万元,政策法规变化,国家科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
在研,科技展览,11,个,420,万元,300,万元,2000,万元,800,万元,技术不成熟,量子行业论坛,http://www.quantumforum.com,2024-10-21,,,,,,,,,
待推广,专利转让,13,个,500,万元,400,万元,1900,万元,750,万元,市场反应慢,中国企业信息网,http://www.ceic.com,2024-10-21,,,,,,,,,
进行中,网络研讨会,6,个,250,万元,150,万元,1300,万元,400,万元,行业推广不力,量子科技创新中心,http://www.qticc.org,2024-10-21,,,,,,,,,
已完成,国际合作,30,个,850,万元,700,万元,4000,万元,1500,万元,技术整合困难,国际量子科技组织,http://www.iqto.org,2024-10-21,,,,,,,,,
初步应用,非盈利组织合作,7,个,210,万元,120,万元,950,万元,350,万元,资源配置不足,量子人才网,http://www.quantumtalent.com,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,400,万元,2500,万元,1000,万元,市场需求不足,量子技术研究院,https://www.qti.edu.cn,2024-10-21,,,,,,,,,
已完成,行业合作,15,个,550,万元,350,万元,2100,万元,850,万元,技术标准缺乏,国家量子信息中心,http://www.nqic.gov.cn,2024-10-21,,,,,,,,,
