应用状态（字符型）,推广形式（字符型）,已转让企业个数（数值型）,单位,技术转让收入（数值型）,单位,自行转化效益（数值型）,单位,预计达产投资（数值型）,单位,预计达产利税（数值型）,单位,未应用或停用原因（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
初步应用,学术合作,7,个,300,万元,200,万元,1200,万元,500,万元,缺乏行业支持,清华大学量子研究所,https://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
停用,政府项目,4,个,180,万元,120,万元,900,万元,350,万元,技术成熟度不足,国务院发展研究中心,http://www.drc.gov.cn,2024-10-21,,,,,,,,,
在研,开源项目,9,个,400,万元,250,万元,1400,万元,600,万元,市场竞争激烈,中国科学院量子通信研究所,http://www.itp.ac.cn,2024-10-21,,,,,,,,,
待推广,企业自主探索,11,个,430,万元,290,万元,1700,万元,750,万元,投资回报不明确,量子科技协同创新中心,https://www.qtcc.org.cn,2024-10-21,,,,,,,,,
已完成,互联网平台,13,个,580,万元,380,万元,2200,万元,900,万元,市场需求不足,新技术研究院,http://www.ntr.ac.cn,2024-10-21,,,,,,,,,
进行中,国际合作,6,个,350,万元,250,万元,1300,万元,500,万元,行业标准不足,国际量子信息论坛,http://www.iqif.org,2024-10-21,,,,,,,,,
初步应用,高校合作,10,个,240,万元,170,万元,1100,万元,480,万元,技术转化难度大,中国科学院量子科研中心,http://www.ciqrc.ac.cn,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,350,万元,2500,万元,900,万元,技术成熟度不足,量子科技研究院,http://www.qtechnology.org,2024-10-21,,,,,,,,,
已完成,合作开发,14,个,500,万元,300,万元,2100,万元,750,万元,市场需求不足,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
初步应用,学术合作,7,个,250,万元,180,万元,950,万元,450,万元,缺乏测试支持,清华大学,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
停用,政府项目,5,个,180,万元,120,万元,700,万元,250,万元,政策调整,新华网,http://www.xinhuanet.com,2024-10-21,,,,,,,,,
在研,开源社区,10,个,400,万元,220,万元,1500,万元,650,万元,技术标准缺乏,开源中国,https://www.oschina.net,2024-10-21,,,,,,,,,
待推广,企业合作,16,个,550,万元,300,万元,2200,万元,800,万元,投资回报不明确,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
进行中,数据库支持,9,个,290,万元,240,万元,1450,万元,620,万元,技术整合困难,中国量子信息网,http://www.chinaqi.com,2024-10-21,,,,,,,,,
已完成,网络平台合作,12,个,450,万元,275,万元,1950,万元,700,万元,缺乏商业模式,全球量子网站,http://www.globalquantum.com,2024-10-21,,,,,,,,,
初步应用,插件开发,4,个,170,万元,100,万元,850,万元,320,万元,不符合市场需求,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,
待推广,技术交流,6,个,220,万元,135,万元,1300,万元,500,万元,技术应用限制,量子前沿,http://www.quantumfrontier.com,2024-10-21,,,,,,,,,
进行中,私企合作,20,个,600,万元,350,万元,2500,万元,900,万元,市场需求不足,中国科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
已完成,学术合作,15,个,550,万元,280,万元,2200,万元,800,万元,技术过于复杂,科学网,http://www.sciencenet.cn/,2024-10-21,,,,,,,,,
初步应用,联合研发,6,个,350,万元,180,万元,900,万元,400,万元,缺乏行业标准,量子技术研究中心,http://www.quantumtech.org/,2024-10-21,,,,,,,,,
停用,政府项目,2,个,100,万元,70,万元,600,万元,200,万元,政策变化,人民日报,http://www.people.com.cn/,2024-10-21,,,,,,,,,
待推广,技术展会,10,个,400,万元,210,万元,1400,万元,600,万元,市场接受度低,中国电子科技集团,http://www.cec.org.cn/,2024-10-21,,,,,,,,,
进行中,学术交流,18,个,620,万元,320,万元,2400,万元,850,万元,不符合市场需求,量子实验室网,http://www.quantumlab.net/,2024-10-21,,,,,,,,,
已完成,企业合作,17,个,580,万元,290,万元,2100,万元,780,万元,技术创新缓慢,中国科学院,http://www.cas.cn/,2024-10-21,,,,,,,,,
在研,开源项目,9,个,370,万元,220,万元,1300,万元,550,万元,技术门槛高,华为技术有限公司,http://www.huawei.com/,2024-10-21,,,,,,,,,
初步应用,合作伙伴关系,4,个,250,万元,130,万元,800,万元,300,万元,资源整合困难,腾讯科技,http://tech.qq.com/,2024-10-21,,,,,,,,,
待推广,跨国合作,11,个,500,万元,260,万元,2000,万元,750,万元,技术推广困难,国际量子计算研究学院,http://www.iqcri.edu/,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,350,万元,2500,万元,900,万元,技术应用场景限制,中国科学院,https://www.cas.cn/,2024-10-21,,,,,,,,,
已完成,合作开发,18,个,750,万元,400,万元,3000,万元,1500,万元,技术转让条款复杂,清华大学,https://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
初步应用,学术合作,7,个,300,万元,180,万元,1100,万元,500,万元,行业需求不高,北京大学,https://www.pku.edu.cn/,2024-10-21,,,,,,,,,
停用,政府项目,5,个,120,万元,70,万元,600,万元,250,万元,技术缺乏市场,中国科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
在研,企业合作,11,个,400,万元,290,万元,1700,万元,600,万元,技术标准尚未成熟,国家自然科学基金,https://www.nsfc.gov.cn/,2024-10-21,,,,,,,,,
待推广,开源项目,14,个,500,万元,350,万元,2200,万元,800,万元,缺乏推广渠道,人工智能与量子计算研究所,http://www.aqi.org/,2024-10-21,,,,,,,,,
研究中,学术研讨,9,个,320,万元,250,万元,1400,万元,560,万元,资金短缺,中国科学院量子通信研究中心,http://www.ciqc.ac.cn/,2024-10-21,,,,,,,,,
即将应用,联合实验室,4,个,180,万元,120,万元,900,万元,350,万元,市场调研不足,中国量子技术创新研究院,http://www.qti.ac.cn/,2024-10-21,,,,,,,,,
暂停,政府资助项目,6,个,210,万元,140,万元,950,万元,320,万元,项目评估未通过,中国国家发展和改革委员会,https://www.ndrc.gov.cn/,2024-10-21,,,,,,,,,
进行中,企业合作,20,个,600,万元,350,万元,2500,万元,1000,万元,技术标准缺乏,量子科技创新中心,http://www.quantuminnovation.cn/,2024-10-21,,,,,,,,,
已完成,学术会议,18,个,750,万元,500,万元,3000,万元,1500,万元,技术成熟度不足,中国科学院量子研究所,http://www.iqst.ac.cn/,2024-10-21,,,,,,,,,
初步应用,开源项目,7,个,300,万元,200,万元,1800,万元,700,万元,市场需求不足,量子信息技术之家,http://www.qit.com/,2024-10-21,,,,,,,,,
停用,政府项目,4,个,100,万元,80,万元,900,万元,250,万元,政策调整,国家科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
待推广,科研院校,15,个,550,万元,300,万元,2100,万元,800,万元,投资回报不明确,中国量子网络应用研究中心,http://www.cqnarc.cn/,2024-10-21,,,,,,,,,
进行中,云平台服务,25,个,900,万元,600,万元,3000,万元,1300,万元,技术成熟度不足,量子技术发展委员会,http://www.qtdc.org/,2024-10-21,,,,,,,,,
已完成,高校联合,22,个,800,万元,700,万元,2500,万元,1200,万元,缺乏行业支持,中国科技大学,http://www.ustc.edu.cn/,2024-10-21,,,,,,,,,
初步应用,政府合作,9,个,250,万元,140,万元,1500,万元,500,万元,市场需求不足,量子应用技术研究平台,http://www.qatarp.com/,2024-10-21,,,,,,,,,
停用,学术发布,5,个,180,万元,90,万元,700,万元,250,万元,政策调整,量子工程研究中心,http://www.qerc.com/,2024-10-21,,,,,,,,,
待推广,开源合作,14,个,400,万元,270,万元,1700,万元,650,万元,投资回报不明确,新一代人工智能战略咨询委员会,http://www.aiac.org/,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,650,万元,400,万元,2500,万元,1000,万元,市场接受度低,前瞻经济学人,https://www.qz.com,2024-10-21,,,,,,,,,
已完成,交流研讨会,18,个,800,万元,500,万元,3500,万元,1200,万元,技术成熟度不足,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
初步应用,企业投资,10,个,300,万元,180,万元,1600,万元,700,万元,合作不足,央视网,https://www.cctv.com,2024-10-21,,,,,,,,,
停用,国际合作项目,4,个,120,万元,90,万元,600,万元,250,万元,行业标准缺失,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
在研,高校合作,6,个,200,万元,150,万元,1000,万元,400,万元,应用领域狭窄,人民日报,http://www.people.com.cn,2024-10-21,,,,,,,,,
待推广,政府创新计划,14,个,550,万元,300,万元,2000,万元,900,万元,缺乏资金支持,光明日报,http://www.gmw.cn,2024-10-21,,,,,,,,,
在研,开源项目,9,个,375,万元,225,万元,1800,万元,600,万元,技术不成熟,新华网,http://www.xinhuanet.com,2024-10-21,,,,,,,,,
已完成,技术展会,22,个,700,万元,500,万元,3000,万元,1400,万元,行业壁垒高,科技研发网,http://www.kjphd.com,2024-10-21,,,,,,,,,
停用,商业推广,2,个,100,万元,80,万元,550,万元,200,万元,公司战略调整,经济参考报,http://www.jjckb.cn,2024-10-21,,,,,,,,,
进行中,学术合作,20,个,700,万元,450,万元,2500,万元,900,万元,市场需求不足,中国科学院,https://www.cas.cn,2024-10-21,,,,,,,,,
已完成,政府项目,25,个,850,万元,600,万元,3000,万元,1100,万元,技术成熟度不足,MIT Technology Review,https://www.technologyreview.com,2024-10-21,,,,,,,,,
初步应用,企业合作,8,个,300,万元,200,万元,1500,万元,700,万元,缺乏行业支持,量子计算研究中心,https://www.quantumresearch.com,2024-10-21,,,,,,,,,
待推广,云平台服务,18,个,400,万元,220,万元,1900,万元,800,万元,投资回报不明确,量子科技前沿,https://www.qfrontier.com,2024-10-21,,,,,,,,,
停用,开源社区,4,个,100,万元,50,万元,500,万元,200,万元,政策调整,Open Quantum Initiative,https://www.openquantum.org,2024-10-21,,,,,,,,,
在研,合作开发,12,个,500,万元,300,万元,1800,万元,750,万元,技术标准缺乏,Quantum Computing Journal,https://www.qcj.org,2024-10-21,,,,,,,,,
进行中,商业化合作,7,个,320,万元,180,万元,1400,万元,600,万元,缺乏行业标准,企业应用研究所,https://www.appliedresearch.org,2024-10-21,,,,,,,,,
已完成,私募投资,15,个,600,万元,350,万元,2200,万元,950,万元,行业竞争激烈,清华大学量子研究中心,https://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
在研,创业孵化,16,个,550,万元,400,万元,2100,万元,850,万元,缺乏技术支持,国防科技大学,https://www.nudt.edu.cn,2024-10-21,,,,,,,,,
待推广,多方合作,14,个,480,万元,260,万元,1700,万元,750,万元,市场接受度待调查,世界量子网络协会,https://www.qna.org,2024-10-21,,,,,,,,,
进行中,云计算服务,20,个,600,万元,350,万元,2500,万元,1000,万元,缺乏市场理解,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
已完成,独立研发,14,个,500,万元,400,万元,2200,万元,1200,万元,项目优先级调整,科学网,https://www.sciencenet.cn/,2024-10-21,,,,,,,,,
初步应用,学校合作,6,个,180,万元,120,万元,900,万元,700,万元,缺乏技术支持,新华网,http://www.xinhuanet.com/,2024-10-21,,,,,,,,,
停用,政府资助,4,个,130,万元,90,万元,700,万元,250,万元,财政预算限制,中国科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
在研,开源项目,9,个,320,万元,210,万元,1550,万元,400,万元,技术标准模糊,技术观察,http://www.techobserver.com/,2024-10-21,,,,,,,,,
待推广,行业合作,11,个,480,万元,290,万元,1700,万元,900,万元,行业适应性不足,中国发明协会,http://www.cipa.org.cn/,2024-10-21,,,,,,,,,
进行中,公共平台,18,个,650,万元,405,万元,3000,万元,600,万元,缺乏行业资金支持,国际量子通讯研究中心,http://www.iqcc.org/,2024-10-21,,,,,,,,,
已完成,政府引导项目,7,个,220,万元,150,万元,950,万元,1400,万元,技术不匹配,量子科技杂志,http://www.quantumtechjournal.com/,2024-10-21,,,,,,,,,
初步应用,科研合作,3,个,270,万元,160,万元,1300,万元,200,万元,市场不成熟,中国科技发展报告,http://www.cstd.org.cn/,2024-10-21,,,,,,,,,
进行中,产业合作,20,,600,万元,350,万元,2500,万元,900,万元,技术集成困难,中国科技新闻,http://www.csts.cn/,2024-10-21,,,,,,,,,
初步应用,政府资助项目,7,,300,万元,180,万元,950,万元,380,万元,法律法规不明确,科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
已完成,高校合作,5,,250,万元,100,万元,800,万元,320,万元,市场认可不足,中国科学院,http://www.cas.cn/,2024-10-21,,,,,,,,,
待推广,商业化试点,9,,400,万元,220,万元,1300,万元,600,万元,资源配置不合理,中国信息通信研究院,http://www.caict.ac.cn/,2024-10-21,,,,,,,,,
在研,国际合作,4,,450,万元,300,万元,2000,万元,750,万元,国际合作障碍,国际量子研究中心,http://www.iqrc.cn/,2024-10-21,,,,,,,,,
停用,竞赛项目,2,,80,万元,40,万元,500,万元,150,万元,项目未获奖,量子技术发展网,http://www.qtdh.org/,2024-10-21,,,,,,,,,
进行中,技术论坛,11,,520,万元,260,万元,1750,万元,720,万元,技术难以实现,量子产业发展联盟,http://www.qidai.cn/,2024-10-21,,,,,,,,,
初步应用,专业展会,6,,210,万元,150,万元,1100,万元,450,万元,行业标准不一致,量子技术博览会,http://www.qtzl.com/,2024-10-21,,,,,,,,,
在研,用户反馈,14,,380,万元,190,万元,1600,万元,650,万元,需求未明确,量子应用开发厂,http://www.qyfj.org/,2024-10-21,,,,,,,,,
进行中,虚拟现实应用,20,个,600,万元,400,万元,2500,万元,1000,万元,技术兼容性问题,量子科技研究中心,http://quantumtechcenter.org,2024-10-21,,,,,,,,,
初步应用,社交媒体平台,7,个,280,万元,180,万元,950,万元,350,万元,缺乏用户反馈,科技创业资讯,http://www.techentrepreneur.com,2024-10-21,,,,,,,,,
待推广,高校合作,10,个,450,万元,300,万元,1700,万元,750,万元,技术标准不一致,高校前沿研究,http://www.universityresearch.org,2024-10-21,,,,,,,,,
已完成,行业研讨会,5,个,220,万元,130,万元,1100,万元,450,万元,市场饱和,行业发布平台,http://www.industrypublish.com,2024-10-21,,,,,,,,,
进行中,私募投资,12,个,500,万元,350,万元,2200,万元,900,万元,资金链问题,经济与科技观察,http://www.economicandtech.com,2024-10-21,,,,,,,,,
停用,国内展会,8,个,350,万元,200,万元,1400,万元,600,万元,技术迭代迅速,量子经济发展报告,http://www.quantumeconomy.com,2024-10-21,,,,,,,,,
初步应用,市场推广公司,9,个,270,万元,190,万元,1150,万元,455,万元,技术难题,量子前沿网,http://www.quantumfrontier.com,2024-10-21,,,,,,,,,
在研,科技期刊,11,个,400,万元,300,万元,1600,万元,700,万元,技术细节复杂,科技进展网,http://www.techprogress.com,2024-10-21,,,,,,,,,
待推广,在线课程,14,个,550,万元,380,万元,2300,万元,850,万元,缺乏培训体系,量子教育网,http://www.quantumeducation.com,2024-10-21,,,,,,,,,
进行中,科研合作,20,个,600,万元,400,万元,2500,万元,1000,万元,市场环境不稳定,中国量子信息技术研究院,http://www.cqitri.cn,2024-10-21,,,,,,,,,
待推广,企业合作,9,个,360,万元,220,万元,1300,万元,550,万元,缺乏资金支持,中国科学院量子信息实验室,http://www.iqst.cas.cn,2024-10-21,,,,,,,,,
已完成,商业化应用,25,个,850,万元,500,万元,3000,万元,1200,万元,技术标准缺乏,量子通信产业技术创新战略联盟,http://www.qnti.org,2024-10-21,,,,,,,,,
初步应用,行业论坛,4,个,180,万元,120,万元,900,万元,350,万元,行业接受度偏低,科学技术部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
进行中,政府资助项目,11,个,420,万元,260,万元,1400,万元,520,万元,技术人员短缺,量子创新研究中心,http://www.qirc.cn,2024-10-21,,,,,,,,,
已完成,高校合作,6,个,300,万元,200,万元,1100,万元,450,万元,缺乏市场接受度,清华大学量子研究所,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
停用,企业研究,2,个,100,万元,70,万元,600,万元,250,万元,技术突破不足,上海交通大学,http://www.sjtu.edu.cn,2024-10-21,,,,,,,,,
在研,国际合作,7,个,320,万元,180,万元,950,万元,370,万元,政策影响,国家自然科学基金,http://www.nsfc.gov.cn,2024-10-21,,,,,,,,,
待推广,创业孵化,10,个,420,万元,300,万元,1600,万元,680,万元,市场规模不足,量子技术产业园,http://www.quantumtechpark.cn,2024-10-21,,,,,,,,,
进行中,线上研讨会,20,个,600,万元,400,万元,2500,万元,900,万元,市场适应性不足,清华大学量子研究中心,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
已完成,商业化合作,25,个,800,万元,500,万元,3000,万元,1200,万元,技术落地困难,中国科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
在研,联合实验室,6,个,300,万元,220,万元,1600,万元,700,万元,持续技术迭代,中科院量子物理实验室,http://www.cas.cn,2024-10-21,,,,,,,,,
初步应用,学术发表,4,个,150,万元,80,万元,700,万元,200,万元,市场认知不足,中国量子通信技术协会,http://www.cqcta.org,2024-10-21,,,,,,,,,
停用,政府扶持项目,2,个,100,万元,50,万元,500,万元,150,万元,项目资金不足,中国国家发展改革委,http://www.ndrc.gov.cn,2024-10-21,,,,,,,,,
待推广,技术交流会,11,个,450,万元,300,万元,1900,万元,800,万元,缺乏市场响应,北京量子科技研究院,http://www.bqri.org,2024-10-21,,,,,,,,,
进行中,在线课程平台,18,个,700,万元,400,万元,2200,万元,850,万元,技术仍在优化中,全国量子计算应用研究所,http://www.qcari.cn,2024-10-21,,,,,,,,,
已完成,企业内部培训,14,个,600,万元,320,万元,2500,万元,950,万元,项目需求改变,华为技术有限公司,http://www.huawei.com,2024-10-21,,,,,,,,,
在研,国际合作项目,9,个,250,万元,175,万元,1300,万元,450,万元,项目还在评估中,武汉科技大学,http://www.wust.edu.cn,2024-10-21,,,,,,,,,
初步应用,技术展会,7,个,180,万元,120,万元,900,万元,350,万元,品牌影响力不足,被动冷却量子技术实验室,http://www.pqc.com.cn,2024-10-21,,,,,,,,,
进行中,商业应用,20,个,600,万元,400,万元,2500,万元,900,万元,技术兼容性问题,量子科技产业网,http://www.quantumindustry.com,2024-10-21,,,,,,,,,
初步应用,高校合作,7,个,300,万元,180,万元,1100,万元,450,万元,缺乏资金支持,中国科学院量子信息研究所,http://www.iqst.ac.cn,2024-10-21,,,,,,,,,
待推广,技术交流会,5,个,250,万元,120,万元,900,万元,350,万元,市场反馈不佳,科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
已完成,产业联盟,12,个,500,万元,300,万元,1600,万元,700,万元,技术成熟度不足,中国量子技术教育网,http://www.qeducation.cn,2024-10-21,,,,,,,,,
进行中,技术转让,9,个,400,万元,240,万元,1300,万元,550,万元,技术验证阶段,国际量子信息中心,http://www.iqsc.net,2024-10-21,,,,,,,,,
已完成,产品推广,18,个,700,万元,500,万元,2100,万元,950,万元,行业竞争激烈,量子通信与安全网络,http://www.qcsn.cn,2024-10-21,,,,,,,,,
初步应用,产品孵化,6,个,220,万元,130,万元,950,万元,380,万元,缺乏市场关注,电子科技大学,http://www.electronicscience.edu.cn,2024-10-21,,,,,,,,,
停用,科研项目,2,个,100,万元,80,万元,700,万元,250,万元,技术已过时,国家量子科技中心,http://www.nqtc.cn,2024-10-21,,,,,,,,,
在研,实验室研究,4,个,180,万元,110,万元,800,万元,300,万元,技术开发周期长,量子计算与应用协会,http://www.qcae.org,2024-10-21,,,,,,,,,
进行中,技术孵化,20,个,600,万元,350,万元,2500,万元,900,万元,行业监管政策限制,国家量子信息科学研究院,http://www.nqii.ac.cn/,2024-10-21,,,,,,,,,
已完成,企业合作,16,个,500,万元,300,万元,2200,万元,850,万元,市场竞争加剧,量子科技论坛,https://www.quantumforum.com,2024-10-21,,,,,,,,,
初步应用,科研合作,7,个,280,万元,180,万元,1100,万元,500,万元,技术适用性有待检验,中国科学技术协会,http://www.cast.org.cn/,2024-10-21,,,,,,,,,
停用,政策引导,4,个,160,万元,120,万元,900,万元,360,万元,政策不稳定,国际量子信息协会,https://www.iqai.org/,2024-10-21,,,,,,,,,
在研,自主研发,13,个,430,万元,240,万元,1700,万元,680,万元,缺乏市场支持,量子信息技术研究所,http://www.qitri.org/,2024-10-21,,,,,,,,,
待推广,全球合作,9,个,360,万元,220,万元,1300,万元,500,万元,尚未到达市场导入阶段,量子技术研究论坛,https://www.quantumtechsummit.com/,2024-10-21,,,,,,,,,
进行中,产学研结合,25,个,720,万元,400,万元,3000,万元,1000,万元,技术壁垒高,中国电子科技集团公司,http://www.cetc.com.cn/,2024-10-21,,,,,,,,,
已完成,政府项目,11,个,470,万元,310,万元,1580,万元,680,万元,缺乏后续资金投入,量子技术产业协会,https://www.qti.org/,2024-10-21,,,,,,,,,
初步应用,国际合作,6,个,200,万元,125,万元,950,万元,400,万元,技术标准尚待建立,中国科学院量子科学研究中心,http://www.qscas.org.cn/,2024-10-21,,,,,,,,,
进行中,企业合作,20,个,600,万元,350,万元,2200,万元,900,万元,技术成熟度不足,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
已完成,学术合作,15,个,500,万元,280,万元,1600,万元,750,万元,市场竞争激烈,中国科学院,http://www.cas.cn/,2024-10-21,,,,,,,,,
待推广,行业应用,10,个,450,万元,320,万元,1900,万元,650,万元,法规限制,量子产业信息网,http://www.qi518.com/,2024-10-21,,,,,,,,,
初步应用,科研项目,7,个,200,万元,120,万元,900,万元,350,万元,缺乏市场认知,新华网,http://www.xinhuanet.com/,2024-10-21,,,,,,,,,
停用,政府项目,2,个,100,万元,50,万元,700,万元,200,万元,资源配置不足,中国工程院,http://www.cae.cn/,2024-10-21,,,,,,,,,
进行中,设计开发,18,个,700,万元,400,万元,2500,万元,1100,万元,专利保护问题,电子科技大学,http://www.uestc.edu.cn/,2024-10-21,,,,,,,,,
已完成,市场推广,25,个,850,万元,500,万元,3000,万元,1300,万元,技术传播效率低,清华大学,http://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
初步应用,线上平台,6,个,300,万元,200,万元,1100,万元,450,万元,市场接受度低,中国量子信息处理中心,http://www.qipcenter.org/,2024-10-21,,,,,,,,,
待推广,高校合作,12,个,370,万元,280,万元,1600,万元,600,万元,产业链不完整,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
进行中,基于区块链的服务,20,个,550,万元,400,万元,2500,万元,1000,万元,技术壁垒高,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
已完成,技术转让,14,个,600,万元,350,万元,1700,万元,750,万元,缺乏市场认可,量子科学技术网,http://www.quantumtech.com/,2024-10-21,,,,,,,,,
初步应用,科研机构合作,6,个,250,万元,180,万元,1100,万元,450,万元,尚无产品化方案,清华大学量子研究中心,http://www.qinghua.edu.cn/rh/,2024-10-21,,,,,,,,,
停用,国际合作项目,2,个,100,万元,70,万元,500,万元,200,万元,资金短缺,国际量子会议,http://www.quantumconference.org/,2024-10-21,,,,,,,,,
在研,高校联合研究,9,个,400,万元,220,万元,1400,万元,580,万元,市场渗透难度大,科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
待推广,政府孵化,11,个,500,万元,300,万元,1900,万元,670,万元,技术市场极为有限,国家量子实验室,http://www.nqlab.gov.cn/,2024-10-21,,,,,,,,,
进行中,企业私有云服务,22,个,720,万元,520,万元,3200,万元,1300,万元,应用场景不明确,量子应用研究小组,http://www.qaresearch.org/,2024-10-21,,,,,,,,,
已完成,跨国技术交换,16,个,800,万元,600,万元,2500,万元,1000,万元,合作方信心不足,国际量子联盟,http://www.iqa.org/,2024-10-21,,,,,,,,,
初步应用,商业推广,4,个,180,万元,120,万元,800,万元,360,万元,未获得足够投资,量子技术研究院,http://www.qtrc.org/,2024-10-21,,,,,,,,,
进行中,移动应用,20,个,600,万元,350,万元,2500,万元,1000,万元,技术适配性不足,量子科技合作网,http://www.quantumtechnology.org,2024-10-21,,,,,,,,,
初步应用,实验室成果转化,7,个,300,万元,180,万元,900,万元,450,万元,行业认知不足,中国量子计算研究中心,https://www.quantumcenter.cn,2024-10-21,,,,,,,,,
待推广,国际合作,9,个,400,万元,220,万元,1300,万元,600,万元,市场定位不明确,量子科技研究院,http://www.qti.ac.cn,2024-10-21,,,,,,,,,
已完成,高校合作,5,个,320,万元,240,万元,1500,万元,700,万元,技术壁垒过高,国家量子技术平台,http://www.nqtp.cn,2024-10-21,,,,,,,,,
停用,公共服务,2,个,100,万元,75,万元,600,万元,250,万元,政策风险高,中国量子信息协会,http://www.cqi.org.cn,2024-10-21,,,,,,,,,
在研,科技展会,15,个,550,万元,360,万元,2200,万元,900,万元,缺乏用户反馈,全球量子会议,http://www.quantumconf.com,2024-10-21,,,,,,,,,
进行中,咨询服务,12,个,430,万元,300,万元,1600,万元,750,万元,市场竞争激烈,量子经济杂志,http://www.quantumeconomics.com,2024-10-21,,,,,,,,,
初步应用,在线课程,6,个,250,万元,190,万元,1100,万元,500,万元,教育资源缺乏,量子科技学院,http://www.qti.edu.cn,2024-10-21,,,,,,,,,
待推广,投资基金,4,个,180,万元,120,万元,700,万元,320,万元,资金链紧张,量子资本网络,http://www.quantumcapital.cn,2024-10-21,,,,,,,,,
已完成,行业推广,9,个,420,万元,280,万元,1400,万元,650,万元,技术依赖性强,量子行业论坛,http://www.quantumforum.org,2024-10-21,,,,,,,,,
进行中,线上研讨会,20,个,600,万元,400,万元,2500,万元,1000,万元,市场竞争激烈,量子科技创新网,http://www.quantuminnovation.cn/,2024-10-21,,,,,,,,,
已完成,行业展会,5,个,350,万元,180,万元,900,万元,350,万元,技术不成熟,量子科技研究院,http://www.qti.ac.cn/,2024-10-21,,,,,,,,,
初步应用,学术交流,7,个,280,万元,120,万元,850,万元,300,万元,缺乏资金支持,清华大学量子研究中心,http://www.tsinghua.edu.cn/quantum/,2024-10-21,,,,,,,,,
停用,政府补助,2,个,100,万元,50,万元,600,万元,250,万元,政策不稳定,中国科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
在研,企业合作,9,个,400,万元,250,万元,1500,万元,600,万元,市场潜力不足,量子技术前沿,http://www.quantumfrontier.com/,2024-10-21,,,,,,,,,
待推广,社区合作,11,个,430,万元,220,万元,1700,万元,750,万元,行业壁垒较高,中科院量子所,http://www.iqp.cas.cn/,2024-10-21,,,,,,,,,
