应用状态（字符型）,推广形式（字符型）,已转让企业个数（数值型）,单位,技术转让收入（数值型）,单位,自行转化效益（数值型）,单位,预计达产投资（数值型）,单位,预计达产利税（数值型）,单位,未应用或停用原因（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
进行中,技术交流会,17,个,520,万元,350,万元,2100,万元,900,万元,缺乏应用案例,量子技术服务平台,http://www.quantumservices.com/,2024-10-21,,,,,,,,,
已完成,联盟合作,6,个,450,万元,200,万元,1300,万元,500,万元,用户接受度低,国家量子研究院,http://www.nqi.gov.cn/,2024-10-21,,,,,,,,,
初步应用,高校合作,4,个,120,万元,80,万元,700,万元,250,万元,项目阶段性问题,量子相关研究网,http://www.qresearch.cn/,2024-10-21,,,,,,,,,
已完成,企业合作,20,个,600,万元,400,万元,2500,万元,1000,万元,技术市场饱和,量子信息科研中心,http://www.qiskit.org,2024-10-21,,,,,,,,,
进行中,云平台服务,25,个,700,万元,500,万元,3000,万元,1200,万元,竞争激烈,国际量子计算协会,https://www.quantumcalculators.org,2024-10-21,,,,,,,,,
待推广,合作开发,18,个,550,万元,330,万元,2200,万元,950,万元,法规限制,未来科学与技术部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
初步应用,学术合作,7,个,300,万元,200,万元,1100,万元,450,万元,技术生态尚未成熟,中国科学技术协会,http://www.cast.org.cn/,2024-10-21,,,,,,,,,
进行中,政府项目,12,个,420,万元,280,万元,1700,万元,720,万元,科技支出不足,国家发展改革委,https://www.ndrc.gov.cn/,2024-10-21,,,,,,,,,
停用,开放平台,5,个,100,万元,50,万元,600,万元,200,万元,缺乏市场反馈,中国人工智能产业发展联盟,http://www.caai.tech,2024-10-21,,,,,,,,,
在研,开源项目,16,个,490,万元,360,万元,1900,万元,850,万元,资源分配不均,科技部量子科技研究中心,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
进行中,行业联盟,14,个,620,万元,450,万元,2100,万元,900,万元,技术落地难度大,全球量子信息平台,http://www.globalquantuminfo.com/,2024-10-21,,,,,,,,,
已完成,商业化部署,22,个,800,万元,600,万元,2800,万元,1200,万元,市场导向不足,国家量子信息技术研究院,http://www.nqi.ac.cn/,2024-10-21,,,,,,,,,
进行中,云计算服务,20,个,600,万元,400,万元,2500,万元,1000,万元,市场竞争激烈,清华大学量子研究所,https://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
已完成,产业联盟,12,个,500,万元,350,万元,2000,万元,800,万元,技术复杂性高,国家量子实验室,https://www.nql.org,2024-10-21,,,,,,,,,
初步应用,高校合作,6,个,300,万元,180,万元,1100,万元,450,万元,行业接受度低,中国科学技术大学,https://www.ustc.edu.cn,2024-10-21,,,,,,,,,
停用,公私合作,2,个,100,万元,50,万元,600,万元,200,万元,缺乏投资支持,量子科技产业协会,https://www.qsti.org,2024-10-21,,,,,,,,,
在研,技术咨询,9,个,450,万元,300,万元,1300,万元,600,万元,技术市场需求不足,中国量子通信网络科技有限公司,https://www.cqct.com,2024-10-21,,,,,,,,,
待推广,电信运营,14,个,550,万元,400,万元,2100,万元,900,万元,市场验证不足,量子计算研究中心,https://www.qccrc.org,2024-10-21,,,,,,,,,
进行中,智能制造,11,个,480,万元,350,万元,1900,万元,750,万元,技术适用性待考,清华科技园,https://www.tsinghuapark.cn,2024-10-21,,,,,,,,,
已完成,专题会议,16,个,650,万元,400,万元,2200,万元,950,万元,竞争对手增加,中国信息通信研究院,http://www.caict.ac.cn,2024-10-21,,,,,,,,,
初步应用,国际合作,4,个,250,万元,200,万元,900,万元,350,万元,市场需求波动,国际量子信息联合会,http://www.iqif.org,2024-10-21,,,,,,,,,
进行中,科技展会,20,个,600,万元,450,万元,2500,万元,900,万元,市场教育不足,量子科技论坛,https://www.quantumforum.org/,2024-10-21,,,,,,,,,
已完成,在线课程,25,个,800,万元,500,万元,3000,万元,1200,万元,行业规范未明,中国科学技术协会,https://www.cast.org.cn/,2024-10-21,,,,,,,,,
初步应用,跨国合作,7,个,300,万元,200,万元,1100,万元,500,万元,技术上尚未成熟,Quantum Times,https://www.quantumtimes.com/,2024-10-21,,,,,,,,,
停用,政府科学项目,2,个,100,万元,80,万元,600,万元,200,万元,资源分配不合理,国家自然科学基金,https://www.nsfc.gov.cn/,2024-10-21,,,,,,,,,
待推广,企业孵化器,15,个,500,万元,300,万元,1800,万元,700,万元,缺乏风险投资,中国创新基金,http://www.cif.org.cn/,2024-10-21,,,,,,,,,
进行中,专业会议,18,个,620,万元,370,万元,2300,万元,850,万元,客户认知不足,量子科技发展中心,https://www.qstc.org/,2024-10-21,,,,,,,,,
已完成,技术平台服务,22,个,720,万元,450,万元,2900,万元,1100,万元,技术更新速度快,中国高科技产业促进会,http://www.chinaht.com/,2024-10-21,,,,,,,,,
初步应用,高校合作,6,个,250,万元,185,万元,950,万元,375,万元,行业应用尚未成熟,中国计算机学会,https://www.ccf.org.cn/,2024-10-21,,,,,,,,,
待推广,技术合作项目,14,个,550,万元,320,万元,1750,万元,650,万元,技术风险较高,中国软件行业协会,http://www.csia.org.cn/,2024-10-21,,,,,,,,,
进行中,产业促进项目,9,个,400,万元,270,万元,1400,万元,520,万元,技术成熟度不足,中国电子技术标准化研究院,http://www.cesi.cn/,2024-10-21,,,,,,,,,
进行中,商业合作,20,个,600,万元,350,万元,2200,万元,900,万元,市场成熟度不足,量子科技创新研究中心,https://www.quantuminnovation.org,2024-10-21,,,,,,,,,
已完成,大学合作,7,个,300,万元,200,万元,1100,万元,500,万元,技术不符合标准,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
初步应用,研发项目,4,个,150,万元,80,万元,600,万元,250,万元,缺乏资金支持,量子世界,http://www.quantumworld.com,2024-10-21,,,,,,,,,
停用,政府资助,5,个,80,万元,40,万元,400,万元,150,万元,技术更新换代,量子信息与工程,http://www.qineng.com,2024-10-21,,,,,,,,,
在研,开源项目,10,个,420,万元,250,万元,1700,万元,600,万元,缺乏市场认可,智慧科技,http://www.smarttech.com,2024-10-21,,,,,,,,,
待推广,技术转让,13,个,500,万元,320,万元,1500,万元,750,万元,政策不稳定,中国科技发展,http://www.chinatechdevelopment.com,2024-10-21,,,,,,,,,
进行中,企业合作,16,个,660,万元,380,万元,1900,万元,800,万元,技术竞争加剧,信息产业部,http://www.miit.gov.cn,2024-10-21,,,,,,,,,
已完成,核心技术共享,9,个,410,万元,250,万元,1400,万元,580,万元,缺乏市场需求,国家科学技术部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
初步应用,学术交流,3,个,120,万元,70,万元,500,万元,200,万元,实验室条件有限,科学网,http://www.sciencenet.cn,2024-10-21,,,,,,,,,
进行中,虚拟现实集成,20,个,650,万元,400,万元,2500,万元,1000,万元,行业标准欠缺,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
已完成,战略合作,18,个,800,万元,500,万元,3000,万元,1200,万元,技术适配性差,中国科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
初步应用,高校联合研究,6,个,220,万元,130,万元,950,万元,380,万元,市场竞争激烈,中科院量子研究中心,http://www.iapcm.ac.cn/,2024-10-21,,,,,,,,,
停用,公共项目,2,个,100,万元,50,万元,600,万元,250,万元,项目资金不足,国家发展改革委,http://www.ndrc.gov.cn/,2024-10-21,,,,,,,,,
在研,企业孵化器,9,个,500,万元,320,万元,1500,万元,700,万元,技术保密问题,新京报,https://www.bjnews.com.cn/,2024-10-21,,,,,,,,,
待推广,展会推广,15,个,750,万元,420,万元,2200,万元,950,万元,政策支持不足,中国互联网发展报告,https://www.cnnic.cn/,2024-10-21,,,,,,,,,
进行中,技术开发,25,个,920,万元,600,万元,3100,万元,1300,万元,行业需求不明,中关村发展报告,http://www.zgc.gov.cn/,2024-10-21,,,,,,,,,
已完成,技术转让,13,个,420,万元,300,万元,1600,万元,650,万元,技术成熟度不足,未来科技发展研究院,https://www.mwta.com/,2024-10-21,,,,,,,,,
初步应用,国际合作,4,个,180,万元,100,万元,875,万元,320,万元,缺乏投资方,清华大学量子中心,http://quantum.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
在研,云平台服务,20,个,600,万元,350,万元,2500,万元,1000,万元,数据安全性问题,中国量子信息产业技术创新战略联盟,https://www.cqiis.org/,2024-10-21,,,,,,,,,
推广中,学术合作,7,个,300,万元,200,万元,1400,万元,500,万元,受限技术专利,清华大学量子研究中心,https://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
已完成,合作开发,14,个,700,万元,450,万元,2100,万元,900,万元,技术突破不足,阿里巴巴量子计算研究所,https://www.aliyun.com/,2024-10-21,,,,,,,,,
初步应用,企业合作,9,个,400,万元,250,万元,1600,万元,800,万元,市场教育不足,国家信息中心,https://www.isc.org.cn/,2024-10-21,,,,,,,,,
待推广,开源社区,11,个,500,万元,300,万元,1750,万元,750,万元,缺乏商业案例,GitHub量子技术委员会,https://github.com/,2024-10-21,,,,,,,,,
进行中,政府项目,6,个,250,万元,180,万元,1300,万元,350,万元,资源配置不合理,工业和信息化部,http://www.miit.gov.cn/,2024-10-21,,,,,,,,,
停用,市场推广,4,个,100,万元,50,万元,600,万元,200,万元,经济环境不佳,公司年报,https://www.annualreport.cn/,2024-10-21,,,,,,,,,
初步应用,学术合作,2,个,150,万元,120,万元,900,万元,350,万元,技术匹配度低,北京量子科技研究院,http://www.bjqunzi.gov.cn/,2024-10-21,,,,,,,,,
待推广,开源社区,15,个,550,万元,340,万元,2300,万元,850,万元,缺乏用户反馈,中国开源软件推进联盟,https://www.coss.org.cn/,2024-10-21,,,,,,,,,
进行中,企业合作,13,个,480,万元,290,万元,1700,万元,720,万元,技术挑战,上海科技公司,http://www.stec.com/,2024-10-21,,,,,,,,,
进行中,商业合作,20,个,600,万元,350,万元,2500,万元,1000,万元,行业规范不明确,清华大学量子研究中心,http://quantum.tsinghua.edu.cn,2024-10-21,,,,,,,,,
已完成,技术转让,30,个,800,万元,500,万元,2200,万元,1200,万元,市场竞争加剧,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,
在研,实验室研究,4,个,180,万元,120,万元,950,万元,350,万元,缺少投资支持,中科院量子科技研究所,http://www.iqst.ac.cn,2024-10-21,,,,,,,,,
初步应用,学术论坛,6,个,280,万元,190,万元,1150,万元,420,万元,用户体验不足,量子科技国际期刊,http://www.qtijournal.com,2024-10-21,,,,,,,,,
待推广,企业合作,10,个,450,万元,250,万元,1300,万元,600,万元,缺乏广告宣传,人民大学科技创新中心,http://www.ruc.edu.cn,2024-10-21,,,,,,,,,
停用,政府投资,2,个,90,万元,60,万元,700,万元,200,万元,预算削减,新京报,http://www.bjnews.com.cn,2024-10-21,,,,,,,,,
进行中,线上推广,18,个,520,万元,320,万元,2100,万元,850,万元,管理成本高,财新网,http://www.caixin.com,2024-10-21,,,,,,,,,
已完成,行业会议,25,个,650,万元,420,万元,2400,万元,900,万元,收回投资期长,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
初步应用,高校合作,7,个,230,万元,150,万元,1100,万元,400,万元,人才缺乏,中国科技网,http://www.stdaily.com,2024-10-21,,,,,,,,,
进行中,开源平台,20,,600,,350,万元,1700,万元,350,万元,技术门槛高,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
已完成,高校合作,6,,300,,220,万元,2500,万元,850,万元,市场竞争激烈,清华大学,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
初步应用,政府资助,4,,180,,130,万元,2200,万元,720,万元,技术过程复杂,科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
停用,市场试点,2,,100,,70,万元,950,万元,1000,万元,研发难度高,量子技术杂志,http://www.quantumtechmagazine.com,2024-10-21,,,,,,,,,
在研,国际合作,7,,450,,320,万元,1150,万元,1200,万元,行业认知不足,国际量子通信会议,http://www.qcc2023.org,2024-10-21,,,,,,,,,
待推广,企业孵化,14,,520,,290,万元,1300,万元,350,万元,客户识别困难,腾讯科技,http://techqq.com,2024-10-21,,,,,,,,,
进行中,行业合作,9,,370,,210,万元,700,万元,420,万元,缺乏市场反馈,阿里巴巴研究院,http://www.aliresearch.com,2024-10-21,,,,,,,,,
已完成,战略合作,11,,680,,400,万元,2100,万元,600,万元,商业模式不明,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,
待推广,技术展示,5,,230,,160,万元,2400,万元,200,万元,技术认知度低,研究生院,http://www.graduate.edu.cn,2024-10-21,,,,,,,,,
初步应用,博览会展示,13,,450,,290,万元,1100,万元,600,万元,生态链不健全,创新科技报,http://www.innovationnews.com,2024-10-21,,,,,,,,,
进行中,技术交流会,20,个,600,万元,350,万元,2500,万元,1000,万元,行业配套不足,中国量子通信研究院,http://www.cqir.org,2024-10-21,,,,,,,,,
已完成,国际合作,18,个,550,万元,400,万元,2100,万元,900,万元,技术路径不清晰,量子研究网,http://www.quantumresearch.com,2024-10-21,,,,,,,,,
初步应用,高校合作,7,个,280,万元,180,万元,900,万元,350,万元,市场关注度不足,中国科技部,https://www.most.gov.cn,2024-10-21,,,,,,,,,
停用,政府项目,5,个,100,万元,70,万元,600,万元,250,万元,缺乏实施能力,全国量子科技发展报告,http://www.quantumreport.cn,2024-10-21,,,,,,,,,
在研,开放平台,9,个,390,万元,220,万元,1500,万元,650,万元,安全标准不明,科技大观察,http://www.techobservation.com,2024-10-21,,,,,,,,,
待推广,企业洽谈,14,个,470,万元,300,万元,1700,万元,750,万元,市场导向不明确,中国经济导报,http://www.ceobserver.cn,2024-10-21,,,,,,,,,
进行中,标准制定,25,个,650,万元,500,万元,3000,万元,1200,万元,技术应用障碍,中国科技协会,http://www.csta.org.cn,2024-10-21,,,,,,,,,
已完成,线上培训,11,个,430,万元,260,万元,1400,万元,550,万元,用户接受度不高,未来量子科技,http://www.futurequantum.com,2024-10-21,,,,,,,,,
初步应用,实习项目,6,个,320,万元,190,万元,1100,万元,450,万元,缺乏市场支持,量子技术先锋,http://www.quantumtechpioneer.com,2024-10-21,,,,,,,,,
已完成,企业合作,20,个,750,万元,500,万元,3000,万元,1000,万元,市场竞争激烈,中国科学院,http://www.cas.cn/,2024-10-21,,,,,,,,,
进行中,基金项目,5,个,350,万元,200,万元,1500,万元,600,万元,缺乏商业模型,清华大学科技园,http://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
初步应用,开源平台,7,个,450,万元,300,万元,1800,万元,700,万元,技术验证不足,华为技术有限公司,https://www.huawei.com/,2024-10-21,,,,,,,,,
停用,政府资助,2,个,100,万元,75,万元,500,万元,150,万元,项目预算不足,中国科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
待推广,国际合作,9,个,600,万元,400,万元,2200,万元,900,万元,技术整合难度大,全球量子计算网络,https://www.quantumcomputingreport.com/,2024-10-21,,,,,,,,,
已完成,知名企业应用,12,个,800,万元,600,万元,2900,万元,1200,万元,技术更新速度快,国家自然科学基金,http://www.nsfc.gov.cn/,2024-10-21,,,,,,,,,
进行中,科技小型企业,6,个,250,万元,180,万元,900,万元,350,万元,人才资源短缺,深科技,https://www.sztqb.com/,2024-10-21,,,,,,,,,
在研,学术共建,14,个,520,万元,350,万元,1700,万元,750,万元,技术成熟度不足,中国量子信息技术研究中心,https://www.qitc.cn/,2024-10-21,,,,,,,,,
初步应用,跨校合作,4,个,220,万元,160,万元,1100,万元,450,万元,行业应用未普及,中国科学技术大学,http://www.ustc.edu.cn/,2024-10-21,,,,,,,,,
进行中,商业化合作,20,个,550,万元,400,万元,2500,万元,900,万元,市场认知不足,量子科技发展中心,http://www.quantumtech.org/,2024-10-21,,,,,,,,,
已完成,国际交流,7,个,300,万元,180,万元,1100,万元,450,万元,资金支持不足,国际量子协会,http://www.internationalquantum.org/,2024-10-21,,,,,,,,,
初步应用,高校合作,4,个,220,万元,160,万元,900,万元,350,万元,缺乏技术评估,中国量子通信网,http://www.quantumcomm.cn/,2024-10-21,,,,,,,,,
待推广,产业联盟,9,个,400,万元,230,万元,1400,万元,600,万元,推广渠道不足,量子技术研究院,http://www.qtr-institute.org/,2024-10-21,,,,,,,,,
在研,开放合作,11,个,380,万元,275,万元,1600,万元,750,万元,技术壁垒较高,量子工程杂志,http://www.quantumengjournal.com/,2024-10-21,,,,,,,,,
停用,市场推广,6,个,180,万元,120,万元,850,万元,280,万元,市场竞争激烈,量子科技前沿,http://www.quantumfrontier.com/,2024-10-21,,,,,,,,,
进行中,政府项目,14,个,500,万元,290,万元,2100,万元,800,万元,评估不充分,科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
已完成,创业孵化,13,个,620,万元,300,万元,1900,万元,850,万元,行业标准缺失,国家量子科技计划,http://www.nqsp.org/,2024-10-21,,,,,,,,,
初步应用,科研项目,5,个,210,万元,130,万元,950,万元,370,万元,缺乏商业模式,中国科学院量子所,http://www.qs.ac.cn/,2024-10-21,,,,,,,,,
进行中,企业合作,20,个,600,万元,400,万元,2500,万元,900,万元,技术标准缺乏,量子计算协会,http://www.qca.org/zhenghe.html,2024-10-21,,,,,,,,,
已完成,云平台服务,18,个,550,万元,375,万元,2300,万元,850,万元,市场需求不足,中国科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
初步应用,学术合作,7,个,300,万元,200,万元,1200,万元,500,万元,缺乏行业支持,清华大学量子研究中心,http://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
停用,政府项目,4,个,100,万元,50,万元,500,万元,200,万元,政策调整,国家量子信息技术研究中心,http://www.nqitrc.org/,2024-10-21,,,,,,,,,
待推广,开源社区,11,个,450,万元,300,万元,1600,万元,650,万元,资金支持不足,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
在研,合作开发,9,个,370,万元,225,万元,1400,万元,550,万元,市场反应冷淡,国际量子信息论坛,http://www.iqiforum.org/,2024-10-21,,,,,,,,,
进行中,下游应用开发,16,个,520,万元,350,万円,2100,万元,780,万元,技术解决方案不明确,新京报,http://www.bjnews.com.cn/,2024-10-21,,,,,,,,,
已完成,行业合作,12,个,470,万元,320,万元,1350,万元,700,万元,行业竞争激烈,人民日报,http://www.people.com.cn/,2024-10-21,,,,,,,,,
初步应用,科研项目,6,个,220,万元,150,万元,900,万元,350,万元,技术难度高,经济日报,http://www.ce.cn/,2024-10-21,,,,,,,,,
待推广,技术转移,14,个,480,万元,330,万元,1750,万元,720,万元,市场验证不足,新华网,http://www.xinhuanet.com/,2024-10-21,,,,,,,,,
进行中,技术展示会,20,个,600,万元,400,万元,2500,万元,1000,万元,市场接受度不高,中国电子技术标准化研究院,http://www.cesi.cn/,2024-10-21,,,,,,,,,
已完成,政府项目,7,个,450,万元,320,万元,1700,万元,700,万元,人才短缺,清华大学量子研究中心,http://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
初步应用,企业合作,11,个,300,万元,180,万元,1300,万元,500,万元,技术复杂性高,上海量子研究院,http://www.sqri.com/,2024-10-21,,,,,,,,,
停用,学术交流,2,个,100,万元,70,万元,600,万元,250,万元,缺乏资金支持,北京大学量子信息中心,http://www.pku.edu.cn/,2024-10-21,,,,,,,,,
在研,线上研讨会,9,个,350,万元,210,万元,1400,万元,550,万元,知识产权问题,中国科学院量子信息研究所,http://www.cas.cn/,2024-10-21,,,,,,,,,
待推广,高校合作,14,个,500,万元,300,万元,2100,万元,900,万元,推广渠道不足,南方科技大学,http://www.sustech.edu.cn/,2024-10-21,,,,,,,,,
进行中,国企合作,18,个,550,万元,350,万元,2200,万元,950,万元,技术整合困难,中国通信产业协会,http://www.ccia.org.cn/,2024-10-21,,,,,,,,,
已完成,技术培训,22,个,700,万元,450,万元,2800,万元,1200,万元,市场竞争激烈,西安交通大学,http://www.xjtu.edu.cn/,2024-10-21,,,,,,,,,
初步应用,投资咨询,4,个,200,万元,130,万元,900,万元,350,万元,市场认知不足,中国科技大学,http://www.ustc.edu.cn/,2024-10-21,,,,,,,,,
进行中,合作研发,18,个,650,万元,400,万元,2500,万元,900,万元,市场竞争激烈,电子科技大学,https://www.eccust.edu.cn,2024-10-21,,,,,,,,,
初步应用,开源合作,7,个,300,万元,180,万元,1100,万元,550,万元,技术标准不完善,中国科学院,https://www.cas.cn,2024-10-21,,,,,,,,,
已完成,企业孵化,20,个,800,万元,500,万元,3000,万元,1000,万元,行业不匹配,清华大学,https://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
停用,政府项目,2,个,100,万元,70,万元,500,万元,200,万元,项目资金短缺,国家自然科学基金,https://www.nsfc.gov.cn,2024-10-21,,,,,,,,,
待推广,学术会议,4,个,250,万元,150,万元,900,万元,350,万元,需求不明朗,中国计算机学会,https://www.ccf.org.cn,2024-10-21,,,,,,,,,
进行中,商业订单,11,个,500,万元,280,万元,1600,万元,600,万元,技术壁垒高,中科院物理研究所,http://www.iphy.ac.cn,2024-10-21,,,,,,,,,
初步应用,产业论坛,6,个,220,万元,130,万元,950,万元,410,万元,客户需求变化,创新科技中心,https://www.innovationcenter.org.cn,2024-10-21,,,,,,,,,
已完成,高校联合,9,个,380,万元,220,万元,1700,万元,650,万元,技术难以商业化,南方科技大学,http://www.sustech.edu.cn,2024-10-21,,,,,,,,,
待推广,国际合作,5,个,270,万元,160,万元,1100,万元,420,万元,适用性不明确,量子信息国家实验室,http://www.qlab.org.cn,2024-10-21,,,,,,,,,
进行中,技术孵化,20,个,600,万元,400,万元,2500,万元,900,万元,产业链不完善,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
已完成,产业联盟,7,个,350,万元,270,万元,1900,万元,750,万元,高技术门槛,量子产业发展研究院,http://www.qiuyun.org,2024-10-21,,,,,,,,,
初步应用,学术论坛,4,个,180,万元,120,万元,800,万元,320,万元,市场教育需要时间,中国量子通信研究院,http://www.cqcri.org,2024-10-21,,,,,,,,,
停用,政府项目,2,个,120,万元,80,万元,600,万元,250,万元,不符合政策方向,国家科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
在研,高校研究,10,个,450,万元,300,万元,2000,万元,800,万元,资金不足,中国人民大学,http://www.ruc.edu.cn,2024-10-21,,,,,,,,,
待推广,企业合作,14,个,400,万元,220,万元,1550,万元,600,万元,市场前景不明,量子技术研究院,http://www.qtr.org,2024-10-21,,,,,,,,,
进行中,公众教育,11,个,520,万元,340,万元,2100,万元,900,万元,公众接受度低,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
已完成,国际交流,6,个,390,万元,250,万元,1400,万元,670,万元,稳定性不足,国家量子中心,http://www.nqc.org.cn,2024-10-21,,,,,,,,,
初步应用,产学研合作,3,个,160,万元,110,万元,750,万元,300,万元,应用场景有限,中国人民解放军科学技术大学,http://www.upl.edu.cn,2024-10-21,,,,,,,,,
进行中,在线培训,20,个,600,万元,350,万元,2500,万元,950,万元,行业需求不明确,量子科技网,http://www.quantumtech.cn,2024-10-21,,,,,,,,,
已完成,产业合作,18,个,520,万元,280,万元,2200,万元,830,万元,市场竞争激烈,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
初步应用,项目孵化,7,个,250,万元,180,万元,1300,万元,500,万元,资金不足,未来科技论坛,http://www.futuretechforum.cn,2024-10-21,,,,,,,,,
停用,高校研究,4,个,100,万元,50,万元,600,万元,200,万元,技术路径不明,清华大学量子研究中心,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
在研,开源软件,11,个,420,万元,260,万元,1600,万元,700,万元,协调机制不足,国家量子计划发布平台,http://www.quantum.gov.cn,2024-10-21,,,,,,,,,
待推广,投资合作,15,个,480,万元,300,万元,1900,万元,800,万元,缺乏健康市场环境,量子产业发展报告,http://www.qidreport.com,2024-10-21,,,,,,,,,
进行中,商业化应用,22,个,750,万元,400,万元,3000,万元,1200,万元,市场接受度尚低,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
已完成,联合实训,13,个,410,万元,220,万元,1400,万元,550,万元,技术实现复杂,中国量子科技网,http://www.quantumtechnology.cn,2024-10-21,,,,,,,,,
初步应用,开放实验室,6,个,180,万元,120,万元,900,万元,350,万元,行业标准不清晰,智能科技观察,http://www.intelligentobservatory.com,2024-10-21,,,,,,,,,
进行中,企业合作,18,个,600,万元,320,万元,2500,万元,900,万元,技术成熟度不足,中国科学院量子信息技术中心,http://www.iqi.cas.cn,2024-10-21,,,,,,,,,
已完成,政府项目,12,个,500,万元,270,万元,1800,万元,700,万元,市场需求不足,量子通讯产业发展联盟,http://www.qcda.org.cn,2024-10-21,,,,,,,,,
初步应用,学术合作,7,个,300,万元,190,万元,1300,万元,500,万元,缺乏行业支持,中国信息通信研究院,http://www.caict.ac.cn,2024-10-21,,,,,,,,,
停用,开源社区,4,个,180,万元,80,万元,600,万元,250,万元,政策调整,国家科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
在研,云平台服务,9,个,350,万元,210,万元,1600,万元,650,万元,技术标准缺乏,智库研究中心,http://www.zlresearch.com,2024-10-21,,,,,,,,,
待推广,合作开发,11,个,470,万元,260,万元,2100,万元,800,万元,投资回报不明确,量子技术研究院,http://www.qtinst.com,2024-10-21,,,,,,,,,
进行中,学术合作,6,个,220,万元,130,万元,950,万元,390,万元,技术成熟度不足,清华大学量子研究所,http://www.qrs.tsinghua.edu.cn,2024-10-21,,,,,,,,,
已完成,政府项目,15,个,550,万元,300,万元,2200,万元,850,万元,市场需求不足,中国量子产业发展促进会,http://www.cqidp.org.cn,2024-10-21,,,,,,,,,
初步应用,开源社区,5,个,200,万元,150,万元,1000,万元,400,万元,缺乏行业支持,全国量子技术研发中心,http://www.nqt.org.cn,2024-10-21,,,,,,,,,
待推广,企业合作,13,个,480,万元,250,万元,2000,万元,800,万元,投资回报不明确,中科院量子技术研究所,http://www.qtech.cas.cn,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,350,万元,2500,万元,900,万元,市场竞争激烈,中国信息通信研究院,http://www.caict.ac.cn/en,2024-10-21,,,,,,,,,
初步应用,合作开发,7,个,300,万元,180,万元,1400,万元,500,万元,行业支持不足,科学网,https://www.sciencenet.cn/,2024-10-21,,,,,,,,,
