应用状态（字符型）,推广形式（字符型）,已转让企业个数（数值型）,单位,技术转让收入（数值型）,单位,自行转化效益（数值型）,单位,预计达产投资（数值型）,单位,预计达产利税（数值型）,单位,未应用或停用原因（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
已完成,企业合作,14,个,550,万元,320,万元,3000,万元,1200,万元,技术成熟度不足,实验室动态,https://www.lab.com,2024-10-21,,,,,,,,,
待推广,学术合作,9,个,350,万元,220,万元,1600,万元,800,万元,市场需求不足,中科院,http://www.cas.cn/,2024-10-21,,,,,,,,,
停用,政府项目,2,个,100,万元,70,万元,600,万元,200,万元,技术不符合标准,北京大学,http://www.pku.edu.cn/,2024-10-21,,,,,,,,,
在研,开源社区,11,个,400,万元,260,万元,1700,万元,750,万元,投资不确定性,量子技术研究中心,http://www.qtrc.cn/,2024-10-21,,,,,,,,,
进行中,政府资助,13,个,480,万元,310,万元,2100,万元,850,万元,市场进入壁垒,高科技日报,http://www.hgtp.cn/,2024-10-21,,,,,,,,,
已完成,跨国合作,16,个,700,万元,450,万元,2800,万元,1100,万元,技术冲突,量子计算协会,http://www.qca.cn/,2024-10-21,,,,,,,,,
待推广,众包项目,4,个,180,万元,90,万元,900,万元,350,万元,缺乏足够的投资,量子创新实验室,http://www.qilab.cn/,2024-10-21,,,,,,,,,
进行中,商业合作,20,,620,万元,350,万元,2500,万元,950,万元,市场竞争加剧,量子科技联盟,https://www.quantumminds.org,2024-10-21,,,,,,,,,
已完成,博士后项目,6,,300,万元,180,万元,1000,万元,450,万元,技术兼容性问题,国家自然科学基金,http://www.nsfc.gov.cn,2024-10-21,,,,,,,,,
初步应用,技术展会,4,,250,万元,170,万元,900,万元,380,万元,缺乏市场认知,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
停用,科研资助,2,,100,万元,50,万元,600,万元,250,万元,项目推迟,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,
在研,产业孵化,11,,420,万元,220,万元,1750,万元,690,万元,资源配置不足,高技术产业开发区协会,https://www.htipa.org.cn,2024-10-21,,,,,,,,,
待推广,公共平台,9,,380,万元,190,万元,1400,万元,550,万元,技术安全性疑虑,IEEE量子计算期刊,https://quantum.ieee.org,2024-10-21,,,,,,,,,
进行中,跨国合作,14,,560,万元,310,万元,2200,万元,800,万元,监管政策不稳定,国际量子技术交流会,https://www.iqtc.org,2024-10-21,,,,,,,,,
已完成,高校合作,7,,350,万元,260,万元,1300,万元,570,万元,需求不明确,中国科学技术大学,http://www.ustc.edu.cn,2024-10-21,,,,,,,,,
初步应用,政府引导,8,,310,万元,200,万元,1600,万元,680,万元,技术成熟度不足,科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
进行中,技术孵化,20,个,600,万元,400,万元,2500,万元,1000,万元,缺乏市场引导,中国科学院量子信息技术研究中心,http://www.cas.cn,2024-10-21,,,,,,,,,
已完成,商业化合作,15,个,550,万元,350,万元,2200,万元,900,万元,技术创新不足,QuantumTech新闻,https://www.quantumtechnews.com,2024-10-21,,,,,,,,,
初步应用,产业园区合作,7,个,300,万元,180,万元,1100,万元,500,万元,应用场景有限,中国量子信息产业发展促进会,http://www.cqid.org.cn,2024-10-21,,,,,,,,,
停用,政府资助项目,4,个,180,万元,90,万元,750,万元,280,万元,缺少后续投资,国家科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
在研,科研机构合作,9,个,400,万元,240,万元,1300,万元,520,万元,技术整合需时,深圳量子技术研究院,http://www.sztqi.org,2024-10-21,,,,,,,,,
待推广,校企合作,11,个,500,万元,260,万元,1700,万元,650,万元,市场适应性待验证,中国网络安全产业联盟,http://www.cnic.org.cn,2024-10-21,,,,,,,,,
进行中,跨国合作,13,个,480,万元,320,万元,1900,万元,720,万元,国际合作难度大,国际量子科技论坛,http://www.quantumforum.org,2024-10-21,,,,,,,,,
已完成,国际标准制定,16,个,500,万元,350,万元,2000,万元,800,万元,业务扩展受限,中国基础科学研究中心,http://www.csrc.ac.cn,2024-10-21,,,,,,,,,
待推广,产业联盟,14,个,420,万元,310,万元,1600,万元,650,万元,市场评估不足,中国量子应用研究所,http://www.cqar.org.cn,2024-10-21,,,,,,,,,
在研,云计算服务,20,个,600,万元,350,万元,2500,万元,1000,万元,市场教育不足,新华社,http://www.xinhua.net,2024-10-21,,,,,,,,,
进行中,技术孵化,30,个,700,万元,450,万元,3000,万元,1300,万元,行业壁垒高,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
已完成,国际合作,18,个,550,万元,400,万元,2200,万元,900,万元,技术适应性差,IEEE,http://www.ieee.org,2024-10-21,,,,,,,,,
待推广,产业联盟,25,个,530,万元,300,万元,2100,万元,950,万元,投资回报周期长,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
初步应用,高校合作,7,个,210,万元,180,万元,950,万元,350,万元,缺乏资金支持,中国科技网,http://www.sciencenet.cn,2024-10-21,,,,,,,,,
进行中,技术交流会,13,个,400,万元,220,万元,1600,万元,640,万元,行业认知低,量子计算前沿,http://www.quantumcomputingfrontier.com,2024-10-21,,,,,,,,,
停用,政府扶持项目,4,个,120,万元,90,万元,700,万元,280,万元,资源分配不合理,光明日报,http://www.gmw.cn,2024-10-21,,,,,,,,,
待推广,市场推广,11,个,320,万元,190,万元,1700,万元,710,万元,缺乏市场调研,MIT Technology Review,http://www.technologyreview.com,2024-10-21,,,,,,,,,
已完成,设备集成,6,个,250,万元,300,万元,1300,万元,500,万元,技术迭代太快,科技创新促进中心,http://www.innovation.gov.cn,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,400,万元,2500,万元,1000,万元,技术集成难度大,中国科学院量子信息研究所,http://www.iqi.cas.cn/,2024-10-21,,,,,,,,,
已完成,行业会议,18,个,480,万元,320,万元,2100,万元,850,万元,技术成熟度不足,量子通信技术产业联盟,http://www.qcindustry.org,2024-10-21,,,,,,,,,
初步应用,学术合作,7,个,220,万元,170,万元,900,万元,450,万元,行业技术标准尚未确定,上海交通大学,http://www.sjtu.edu.cn/,2024-10-21,,,,,,,,,
停用,政府项目,4,个,160,万元,90,万元,700,万元,250,万元,技术符合度不高,国家发改委,http://www.ndrc.gov.cn/,2024-10-21,,,,,,,,,
在研,行业合作,11,个,370,万元,210,万元,1500,万元,610,万元,缺乏市场推广能力,中国科学院力学研究所,http://www.las.ac.cn/,2024-10-21,,,,,,,,,
待推广,开源社区,14,个,500,万元,320,万元,1900,万元,730,万元,预期市场过于乐观,清华大学量子科技研究中心,http://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
已完成,云平台服务,19,个,700,万元,450,万元,2300,万元,950,万元,缺少创新项目,国家量子实验室,http://www.nqlab.org/,2024-10-21,,,,,,,,,
正在评估,科技展示,5,个,180,万元,130,万元,1000,万元,400,万元,合作意向不明,国家科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
进行中,学术会议,9,个,380,万元,275,万元,1700,万元,600,万元,数据保护法规限制,北京大学量子信息技术研究院,http://www.pku.edu.cn/,2024-10-21,,,,,,,,,
进行中,技术许可,20,个,600,万元,320,万元,2500,万元,1000,万元,市场接受度不足,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
已完成,联合开发,13,个,450,万元,290,万元,1800,万元,750,万元,缺乏有效人才,量子科技进展,http://www.quantumtechnews.com/,2024-10-21,,,,,,,,,
初步应用,学术研讨,7,个,300,万元,180,万元,900,万元,350,万元,行业市场不成熟,量子研究中心,http://www.quantumresearchcenter.cn/,2024-10-21,,,,,,,,,
停用,项目合作,2,个,100,万元,70,万元,500,万元,200,万元,技术未达标,科学网,http://www.sciencenet.cn/,2024-10-21,,,,,,,,,
等待推广,企业孵化,16,个,550,万元,300,万元,2200,万元,900,万元,市场反馈不佳,量子应用研究,http://www.quantumappresearch.com/,2024-10-21,,,,,,,,,
进行中,政府扶持,11,个,400,万元,240,万元,1700,万元,800,万元,技术适应性差,中国量子科技网,http://www.chinaquantumtech.org/,2024-10-21,,,,,,,,,
已完成,成果转化,9,个,350,万元,210,万元,1500,万元,650,万元,合同障碍,量子应用技术研究所,http://www.quantumapplicationtechnology.org/,2024-10-21,,,,,,,,,
进行中,行业论坛,4,个,250,万元,130,万元,800,万元,380,万元,缺乏市场信任,量子科技发展论坛,http://www.quantumforum.org/,2024-10-21,,,,,,,,,
待推广,科技成果展示,6,个,150,万元,95,万元,700,万元,250,万元,宣传不足,中国量子信息委员会,http://www.cqii.org/,2024-10-21,,,,,,,,,
进行中,商业合作,18,个,600,万元,350,万元,2500,万元,900,万元,技术难度高,光电技术研究所,https://www.optotechinstitute.cn,2024-10-21,,,,,,,,,
已完成,政府引导,20,个,750,万元,400,万元,3000,万元,1100,万元,行业规范不明确,量子科技论坛,https://www.quantumforumcn.com,2024-10-21,,,,,,,,,
初步应用,科研合作,7,个,300,万元,200,万元,1500,万元,550,万元,使用场景有限,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
待推广,技术咨询,11,个,500,万元,320,万元,1800,万元,700,万元,市场认知不足,新兴技术研究中心,https://www.emergingtech.org,2024-10-21,,,,,,,,,
停用,技术转让,4,个,120,万元,80,万元,900,万元,250,万元,项目需求减少,国家科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
在研,高校合作,9,个,480,万元,210,万元,1400,万元,650,万元,技术应用场景不清晰,人类与自然研究所,https://www.humanandnature.org,2024-10-21,,,,,,,,,
已完成,行业合作,13,个,550,万元,280,万元,2100,万元,850,万元,行业整合不足,人工智能研究院,http://www.aimlresearch.org,2024-10-21,,,,,,,,,
进行中,跨国合作,17,个,620,万元,360,万元,2600,万元,950,万元,技术壁垒高,创新科技集团,http://www.innovationsci.org,2024-10-21,,,,,,,,,
初步应用,市场推广,6,个,250,万元,190,万元,1100,万元,500,万元,政策支持不足,中国经济信息网,http://www.cei.gov.cn,2024-10-21,,,,,,,,,
进行中,量子算法优化,20,个,600,万元,350,万元,2500,万元,900,万元,技术实施难度大,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
已完成,政府资助项目,5,个,750,万元,400,万元,3000,万元,1200,万元,市场进入壁垒高,中国量子产业发展报告,http://www.cqdeeptech.com,2024-10-21,,,,,,,,,
初步应用,高校研究合作,7,个,300,万元,180,万元,1300,万元,500,万元,缺乏足够投资,量子信息技术论坛,http://www.qitaot.com,2024-10-21,,,,,,,,,
停用,商业试点,2,个,100,万元,50,万元,600,万元,200,万元,技术不成熟,量子行业观察,http://www.qyguanchu.com,2024-10-21,,,,,,,,,
在研,企业孵化,11,个,400,万元,300,万元,1700,万元,600,万元,技术路径不明确,科技创新网,http://www.kjcxf.com,2024-10-21,,,,,,,,,
待推广,资源共享平台,9,个,550,万元,250,万元,1900,万元,800,万元,缺乏市场推广,量子科技研究中心,http://www.qtky.org,2024-10-21,,,,,,,,,
进行中,国际合作计划,13,个,650,万元,320,万元,2200,万元,1000,万元,技术对接困难,金融科技界,http://www.jrstjw.com,2024-10-21,,,,,,,,,
已完成,跨界合作,4,个,200,万元,150,万元,950,万元,350,万元,项目竞争激烈,高新技术产业开发区,http://www.gxkfj.com,2024-10-21,,,,,,,,,
初步应用,技术展会,6,个,300,万元,120,万元,800,万元,400,万元,技术接受度低,量子商业导报,http://www.qzgm.net,2024-10-21,,,,,,,,,
进行中,云平台服务,18,个,2100,万元,900,万元,2500,万元,1100,万元,技术成熟度不足,中国科技部,http://www.most.gov.cn/,2024-10-21,,,,,,,,,
已完成,行业大会,22,个,2500,万元,1100,万元,3000,万元,550,万元,市场需求波动,赛迪顾问,https://www.ccidconsulting.com/,2024-10-21,,,,,,,,,
初步应用,跨国合作,7,个,1300,万元,500,万元,1500,万元,700,万元,缺乏市场推广,国际量子信息研究中心,http://www.iqrc.org/,2024-10-21,,,,,,,,,
停用,政府项目,6,个,900,万元,350,万元,1800,万元,250,万元,政策不稳定,中国科学院,http://www.cas.cn/,2024-10-21,,,,,,,,,
在研,学术研究,9,个,1700,万元,800,万元,900,万元,650,万元,技术标准不明,清华大学量子研究所,http://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
待推广,产业联盟,11,个,2000,万元,750,万元,1400,万元,850,万元,市场评估不足,国家发展和改革委员会,http://www.ndrc.gov.cn/,2024-10-21,,,,,,,,,
进行中,深度合作,14,个,2200,万元,950,万元,2100,万元,950,万元,前期投资过高,国家科技发展促进中心,http://www.stapc.gov.cn/,2024-10-21,,,,,,,,,
已完成,财务投资,19,个,2400,万元,1000,万元,2600,万元,500,万元,行业趋势变化,中国科学技术协会,http://www.cast.org.cn/,2024-10-21,,,,,,,,,
初步应用,学术交流,4,个,850,万元,320,万元,1100,万元,500,万元,基础研究不足,创新型国家建设推动中心,http://www.innacenter.org/,2024-10-21,,,,,,,,,
待推广,市场调研,13,个,1900,万元,720,万元,950,万元,200,万元,投资环境不佳,中国市场调查协会,http://www.chinamarket.org/,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,400,万元,2500,万元,1000,万元,技术成熟度不足,国家量子信息技术研究中心,http://www.nqitrc.cn/,2024-10-21,,,,,,,,,
已完成,企业合作,5,个,550,万元,350,万元,1400,万元,700,万元,市场需求不足,量子信息技术研究院,http://www.qiti.org,2024-10-21,,,,,,,,,
初步应用,学术合作,12,个,250,万元,180,万元,1100,万元,450,万元,缺乏行业支持,全国科技进步研究中心,http://www.nstpc.org,2024-10-21,,,,,,,,,
停用,政府项目,4,个,180,万元,120,万元,900,万元,350,万元,政策调整,中华人民共和国科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
在研,开源社区,10,个,400,万元,275,万元,1300,万元,480,万元,技术标准缺乏,开源社区论坛,http://www.opensource.org,2024-10-21,,,,,,,,,
待推广,企业合作,15,个,500,万元,300,万元,2100,万元,900,万元,投资回报不明确,量子技术产业促进会,http://www.qtipc.org,2024-10-21,,,,,,,,,
进行中,云计算平台,8,个,350,万元,200,万元,1500,万元,650,万元,技术成熟度不足,大数据与云计算研究中心,http://www.dccrc.cn,2024-10-21,,,,,,,,,
已完成,战略联盟,6,个,320,万元,230,万元,1700,万元,720,万元,市场需求不足,中国量子技术创新中心,http://www.cqic.org.cn,2024-10-21,,,,,,,,,
初步应用,行业合作,9,个,220,万元,160,万元,1000,万元,450,万元,缺乏行业支持,量子技术论坛,http://www.quantumforum.com,2024-10-21,,,,,,,,,
停用,科研项目,2,个,100,万元,50,万元,700,万元,250,万元,政策调整,国家自然科学基金委,http://www.nsfc.gov.cn,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,650,万元,450,万元,2500,万元,900,万元,技术成熟度不足,中国科学院量子信息重点实验室,http://www.qi.ac.cn,2024-10-21,,,,,,,,,
待推广,学术论坛,7,个,300,万元,180,万元,1400,万元,550,万元,缺乏行业需求,知识创新研究中心,http://www.kic.ac.cn,2024-10-21,,,,,,,,,
已完成,企业合作,12,个,520,万元,300,万元,1900,万元,750,万元,技术标准缺乏,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
在研,行业合作,9,个,380,万元,220,万元,1600,万元,700,万元,市场需求不足,量子科技前沿,http://www.quantumfrontiers.com,2024-10-21,,,,,,,,,
初步应用,线上研讨会,4,个,150,万元,80,万元,750,万元,250,万元,投资回报不明确,中国信息通信研究院,http://www.caict.ac.cn,2024-10-21,,,,,,,,,
停用,监管机构项目,2,个,100,万元,50,万元,500,万元,150,万元,政策调整,科学网,http://www.sciencenet.cn,2024-10-21,,,,,,,,,
进行中,行业应用,11,个,420,万元,240,万元,1300,万元,600,万元,技术成熟度不足,国家科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
待推广,众筹项目,6,个,230,万元,120,万元,900,万元,300,万元,市场需求不足,量子计算研究所,http://www.qcresearch.org,2024-10-21,,,,,,,,,
初步应用,高校联合研究,3,个,180,万元,90,万元,600,万元,200,万元,技术标准缺乏,研究生院,http://www.gradschool.edu.cn,2024-10-21,,,,,,,,,
进行中,商业应用,20,个,600,万元,400,万元,2500,万元,1000,万元,市场接受度不高,量子科技网,https://www.qbitscience.com/,2024-10-21,,,,,,,,,
待推广,行业研讨会,7,个,250,万元,120,万元,950,万元,350,万元,技术创新不足,量子先导,https://www.quantumleaders.org/,2024-10-21,,,,,,,,,
初步应用,校企合作,9,个,300,万元,180,万元,1100,万元,450,万元,缺乏必要技术配件,北京量子技术公司,http://www.bjqtech.com/,2024-10-21,,,,,,,,,
已完成,科研成果转化,15,个,700,万元,500,万元,3000,万元,1200,万元,需求激增,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
在研,技术论坛,6,个,180,万元,75,万元,800,万元,320,万元,法律限制,量子科技研究院,https://www.qtlabs.org/,2024-10-21,,,,,,,,,
停用,中介服务,2,个,120,万元,90,万元,500,万元,200,万元,市场策略改变,量子产业链发展报告,https://www.qindustry.com/,2024-10-21,,,,,,,,,
待推广,技术博览会,11,个,400,万元,200,万元,1400,万元,600,万元,技术信息难以共享,现代量子技术论坛,http://www.mqtforum.com/,2024-10-21,,,,,,,,,
进行中,科研合作,18,个,550,万元,350,万元,2200,万元,950,万元,研究成果未能实施,科学网,http://www.sciencenet.cn/,2024-10-21,,,,,,,,,
已完成,战略合作,8,个,420,万元,220,万元,1600,万元,700,万元,行业规范不成熟,国家量子中心,http://www.quantum.gov.cn/,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,550,万元,320,万元,2500,万元,900,万元,市场竞争激烈,国际量子通信协会,https://www.iquanta.org,2024-10-21,,,,,,,,,
已完成,联合研发,18,个,600,万元,400,万元,2100,万元,750,万元,需求不稳定,量子技术研究所,https://www.quantumtechinstitute.org,2024-10-21,,,,,,,,,
初步应用,学术合作,7,个,250,万元,180,万元,900,万元,350,万元,理论研究阶段,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
停用,政府资助项目,4,个,120,万元,80,万元,700,万元,200,万元,技术标准未完善,量子信息发展研究中心,https://www.qi-researchcenter.org,2024-10-21,,,,,,,,,
在研,开放技术平台,13,个,450,万元,300,万元,1500,万元,620,万元,技术路径不明,全球量子技术研究网,https://www.globalquantumtech.org,2024-10-21,,,,,,,,,
待推广,企业合作,9,个,385,万元,240,万元,1700,万元,580,万元,市场接受度未知,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
进行中,商业化合作,25,个,700,万元,500,万元,3000,万元,1200,万元,需要更多投资,量子技术应用发展报告,https://www.quantumapplicationreport.org,2024-10-21,,,,,,,,,
已完成,技术转让,14,个,390,万元,210,万元,1250,万元,520,万元,技术较为复杂,中国科学院量子研究所,http://www.iapcm.ac.cn,2024-10-21,,,,,,,,,
初步应用,科研项目合作,6,个,220,万元,160,万元,1100,万元,420,万元,测试阶段尚未完成,量子产业发展基金,https://www.qidf.org,2024-10-21,,,,,,,,,
进行中,企业合作,20,个,350,万元,50,万元,2500,万元,600,万元,技术成熟度不足,量子科技报告,https://www.quantumreport.cn,2024-10-21,,,,,,,,,
初步应用,学术合作,6,个,120,万元,240,万元,950,万元,180,万元,缺乏行业支持,中国物理学会,https://www.cps.org.cn,2024-10-21,,,,,,,,,
已完成,云平台服务,14,个,290,万元,120,万元,2100,万元,520,万元,市场需求不足,量子创新中心,https://www.qinnovation.org,2024-10-21,,,,,,,,,
停用,政府项目,4,个,90,万元,90,万元,600,万元,130,万元,政策调整,国家科技部,https://www.most.gov.cn,2024-10-21,,,,,,,,,
待推广,开源社区,11,个,260,万元,400,万元,1750,万元,440,万元,技术标准缺乏,量子网络实验室,https://www.qnetworklab.org,2024-10-21,,,,,,,,,
在研,企业合作,9,个,220,万元,120,万元,1400,万元,390,万元,投资回报不明确,清华大学量子研究院,https://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
进行中,产品孵化,25,个,400,万元,180,万元,3000,万元,700,万元,市场反馈待分析,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
初步应用,教育合作,7,个,170,万元,500,万元,1100,万元,230,万元,技术整合问题,中国科技大学,http://www.ustc.edu.cn,2024-10-21,,,,,,,,,
已完成,跨界合作,2,个,70,万元,75,万元,400,万元,90,万元,战略调整,数字经济观察,https://www.digitalobserver.cn,2024-10-21,,,,,,,,,
待推广,国际合作,5,个,210,万元,600,万元,1700,万元,300,万元,资源整合困难,科技财经网,http://www.scitechfinance.cn,2024-10-21,,,,,,,,,
进行中,行业展会,20,个,600,万元,350,万元,2500,万元,1000,万元,市场开发不足,艾媒咨询,http://www.iimedia.cn/,2024-10-21,,,,,,,,,
已完成,商业合作,15,个,700,万元,450,万元,3000,万元,1200,万元,行业标准缺失,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,
初步应用,学术讲座,6,个,250,万元,180,万元,1500,万元,500,万元,缺乏资金支持,清华大学出版社,http://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
停用,政府资助项目,4,个,180,万元,120,万元,900,万元,350,万元,政策预期落空,国家发展和改革委员会,http://www.ndrc.gov.cn/,2024-10-21,,,,,,,,,
在研,线上课程,10,个,400,万元,220,万元,1400,万元,600,万元,技术推广不足,中国科学技术协会,http://www.cast.org.cn/,2024-10-21,,,,,,,,,
待推广,专业论坛,14,个,500,万元,280,万元,1600,万元,750,万元,资金链问题,中国工程院,http://www.cae.cn/,2024-10-21,,,,,,,,,
进行中,技术展示,19,个,800,万元,400,万元,2900,万元,1100,万元,需求调查不足,中国量子通信网,http://www.qnas.cn/,2024-10-21,,,,,,,,,
已完成,技术许可,22,个,950,万元,550,万元,3600,万元,1400,万元,法律风险,量子科技产业网,http://www.quantumindustry.com/,2024-10-21,,,,,,,,,
初步应用,合作研发,9,个,300,万元,250,万元,1300,万元,650,万元,技术成熟度不足,科研前沿,http://www.researchfront.com/,2024-10-21,,,,,,,,,
进行中,企业合作,20,个,700,万元,400,万元,2500,万元,1000,万元,技术标准缺乏,量子科技创新论坛,http://www.quantuminnovationforum.com,2024-10-21,,,,,,,,,
已完成,国家项目,15,个,600,万元,350,万元,2200,万元,900,万元,市场竞争激烈,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,
初步应用,高校联合,6,个,250,万元,180,万元,1100,万元,500,万元,研究资金不足,中国科技大学,https://www.ustc.edu.cn,2024-10-21,,,,,,,,,
停用,公共项目,2,个,100,万元,50,万元,600,万元,200,万元,缺乏市场需求,国家量子技术研究中心,http://www.nqtrc.org.cn,2024-10-21,,,,,,,,,
在研,技术孵化器,9,个,380,万元,220,万元,1400,万元,700,万元,缺乏投资者关注,量子技术前沿杂志,http://www.quantumfrontiers.com,2024-10-21,,,,,,,,,
待推广,在线平台,14,个,530,万元,290,万元,1900,万元,800,万元,缺少技术支持,中国量子产业发展联盟,http://www.cqida.org,2024-10-21,,,,,,,,,
进行中,国际合作,11,个,430,万元,270,万元,1600,万元,750,万元,政策障碍,国际量子信息论坛,http://www.iqif.org,2024-10-21,,,,,,,,,
初步应用,行业大会,4,个,180,万元,130,万元,900,万元,350,万元,较低的行业关注度,全国量子信息研究中心,http://www.qirc.org.cn,2024-10-21,,,,,,,,,
已完成,学术出版,7,个,300,万元,220,万元,1300,万元,600,万元,市场壁垒高,科学中国网,http://www.sciencenet.cn,2024-10-21,,,,,,,,,
进行中,企业合作,20,,600,万元,350,万元,2500,万元,950,万元,市场条件变化,中国量子信息科技有限公司,http://www.cqit.com,2024-10-21,,,,,,,,,
已完成,学术合作,14,,450,万元,290,万元,1700,万元,650,万元,技术更新速度快,量子科技前沿网,https://www.quantumfrontiers.com,2024-10-21,,,,,,,,,
初步应用,政府项目,7,,220,万元,180,万元,1100,万元,500,万元,资本投入不足,国家量子科技发展办公室,http://www.nqdo.gov.cn,2024-10-21,,,,,,,,,
停用,云平台服务,5,,160,万元,120,万元,900,万元,320,万元,合规问题,中国信息通信研究院,http://www.caict.ac.cn,2024-10-21,,,,,,,,,
在研,开源社区,11,,370,万元,230,万元,1300,万元,550,万元,研发周期较长,量子开源基金会,http://www.quantumopensource.org,2024-10-21,,,,,,,,,
待推广,技术转让,8,,410,万元,210,万元,1400,万元,480,万元,市场宣传不足,中国量子计算研究中心,http://www.cqcrc.org,2024-10-21,,,,,,,,,
进行中,国际合作,16,,520,万元,310,万元,2100,万元,850,万元,技术整合困难,量子信息国际合作网络,http://www.qiicn.org,2024-10-21,,,,,,,,,
已完成,学术论坛,9,,380,万元,260,万元,1250,万元,580,万元,用户反馈不足,中国量子技术学会,http://www.cqts.org,2024-10-21,,,,,,,,,
初步应用,技术竞赛,6,,210,万元,170,万元,999,万元,420,万元,市场信息不足,量子冠军赛组织委员会,http://www.quantumcompetition.org,2024-10-21,,,,,,,,,
进行中,产业园区合作,20,个,600,万元,400,万元,2500,万元,1000,万元,技术适配性不足,量子科技发展研究中心,http://www.qtgr.org,2024-10-21,,,,,,,,,
已完成,政府资助,25,个,750,万元,500,万元,2800,万元,1200,万元,新技术替代,国家量子信息科技中心,http://www.nqisc.cn,2024-10-21,,,,,,,,,
初步应用,企业联名发布,7,个,300,万元,180,万元,900,万元,350,万元,行业应用尚不成熟,量子通信行业协会,http://www.qcichina.org,2024-10-21,,,,,,,,,
停用,国际合作项目,2,个,100,万元,50,万元,500,万元,200,万元,合作方变动,国际量子科技研究院,http://www.iqri.org,2024-10-21,,,,,,,,,
待推广,高校合作,11,个,370,万元,250,万元,1400,万元,520,万元,市场调查不足,高等教育部,http://www.moe.gov.cn,2024-10-21,,,,,,,,,
在研,技术交流会,9,个,420,万元,290,万元,1750,万元,750,万元,技术规范未完善,国内量子技术产业链论坛,http://www.qtforum.org,2024-10-21,,,,,,,,,
进行中,公开募资,15,个,500,万元,330,万元,2200,万元,900,万元,监管政策不明,量子科技新闻网络,http://www.qtnews.org,2024-10-21,,,,,,,,,
初步应用,在线研讨会,6,个,220,万元,140,万元,1100,万元,400,万元,缺乏资金支持,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
待推广,投资洽谈会,4,个,180,万元,120,万元,700,万元,250,万元,缺乏市场推广,中国量子研究院,http://www.chinaqr.org,2024-10-21,,,,,,,,,