系统名称（字符型）,系统类型（字符型）,可编程逻辑（字符型）,上位机界面程序（字符型）,其他应用程序（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
视频播放软件,媒体播放系统,FPGA,自定义界面,数据分析工具,CSDN,https://blog.csdn.net/feng8403000/article/details/130664096,2024-09-13,,,,,,,,,,,,
实时流媒体软件,网络传输系统,DSP,用户交互界面,云存储管理,Informat,https://www.informat.cn/qa/59479,2024-09-13,,,,,,,,,,,,
数据处理软件,数据分析系统,可编程逻辑,图形用户界面,数据可视化工具,MBA智库,https://www.informat.cn/qa/59479,2024-09-13,,,,,,,,,,,,
嵌入式操作系统,嵌入式设备,ARM架构,控制界面,应用程序接口,CSDN,https://blog.csdn.net/weixin_71898100/article/details/125250119,2024-09-13,,,,,,,,,,,,
项目管理软件,项目管理系统,PLC（可编程逻辑控制器）,项目跟踪界面,资源分配工具,禅道,https://www.zentao.net,2024-09-13,,,,,,,,,,,,
智能家居控制软件,家庭自动化系统,Zigbee协议,移动APP界面,能源管理工具,安居客,https://www.anjuke.com,2024-09-13,,,,,,,,,,,,
虚拟现实视频处理系统,VR媒体系统,GPU加速,沉浸式用户界面,内容创作工具,VIVE,https://www.vive.com,2024-09-13,,,,,,,,,,,,
大数据实时分析软件,数据处理系统,Hadoop框架,分析面板,数据清洗工具,Data Science Society,https://www.datasciencesociety.net,2024-09-13,,,,,,,,,,,,
全景视频编辑软件,视频制作系统,CPU多线程处理,图形化编辑界面,特效合成工具,传媒资源网,https://www.mediaresource.com,2024-09-13,,,,,,,,,,,,
智能医疗图像处理软件,医疗影像系统,FPGA,医生工作站界面,病历管理系统,医疗论坛,https://www.medicalforum.com,2024-09-13,,,,,,,,,,,,
高性能游戏流媒体软件,娱乐传输系统,云计算平台,游戏直播界面,社区互动平台,游民星空,https://www.gamersky.com,2024-09-13,,,,,,,,,,,,
AI语音助手软件,智能助手系统,深度学习,自然语言处理界面,任务管理工具,人工智能网,https://www.ainews.com,2024-09-13,,,,,,,,,,,,
网络安全监测系统,数据安全系统,加密算法,安全分析面板,漏洞扫描工具,信息安全网,https://www.securityinfo.com,2024-09-13,,,,,,,,,,,,
在线教育平台,学习管理系统,异步数据通信,课程管理界面,作业提交系统,教育科技网,https://www.edutech.com,2024-09-13,,,,,,,,,,,,
虚拟会议系统,远程会议软件,WebRTC技术,会议室管理界面,日程安排工具,TechCrunch,https://www.techcrunch.com,2024-09-13,,,,,,,,,,,,
4K高清视频录制软件,视频录制系统,FPGA,实时录制界面,视频编辑工具,TechCrunch,https://techcrunch.com,2024-09-13,,,,,,,,,,,,
AI视频分析软件,数据分析系统,GPU加速,可视化控制台,深度学习框架,AI Trends,https://aitrends.com,2024-09-13,,,,,,,,,,,,
AR视频直播系统,增强现实系统,ARM架构,用户界面设计工具,实时交互工具,VentureBeat,https://venturebeat.com,2024-09-13,,,,,,,,,,,,
跨平台多媒体播放器,媒体播放系统,软件解码,简化界面,字幕同步工具,GitHub,https://github.com,2024-09-13,,,,,,,,,,,,
智能电视应用开发平台,应用开发系统,云计算,可视化开发环境,用户分析工具,ZOL中关村在线,https://www.zol.com.cn,2024-09-13,,,,,,,,,,,,
虚拟现实视频播放器,虚拟现实系统,GPU,3D用户界面,沉浸式设计工具,Hardware Times,https://www.hardwaretimes.com,2024-09-13,,,,,,,,,,,,
视频存储管理系统,数据管理系统,分布式存储,数据监控仪表盘,备份管理工具,CloudTech,https://www.cloudtech.com,2024-09-13,,,,,,,,,,,,
实时视频转码软件,编码系统,TSM技术,批量处理管理,格式转换工具,VideoHelp,https://www.videohelp.com,2024-09-13,,,,,,,,,,,,
视频压缩优化工具,性能优化系统,算法优化,实时反馈系统,性能监测工具,CB Insights,https://www.cbinsights.com,2024-09-13,,,,,,,,,,,,
超高清内容分发平台,CDN系统,边缘计算,内容管理界面,网络分析工具,StreamingMedia,https://www.streamingmedia.com,2024-09-13,,,,,,,,,,,,
4K视频编码软件,视频编码系统,GPU加速,拖拽式界面,文件批量处理,电子工程专辑,https://www.eeworld.com.cn/,2024-09-13,,,,,,,,,,,,
智能视频监控软件,安全监控系统,嵌入式处理器,实时监控界面,行为分析工具,AI科技评论,https://www.aitimejournal.com/,2024-09-13,,,,,,,,,,,,
VR视频播放器,虚拟现实系统,处理器优化,虚拟环境界面,内容订阅管理,虚拟现实网,https://www.vrworld.com/,2024-09-13,,,,,,,,,,,,
自动化直播软件,直播传输系统,流媒体服务器,一键直播界面,数据动态监控,直播网,https://www.livehouse.com/,2024-09-13,,,,,,,,,,,,
云视频编辑软件,云服务系统,云计算平台,多用户协作界面,项目管理工具,IT之家,https://www.ithome.com/,2024-09-13,,,,,,,,,,,,
超高清视频流播放器,多媒体播放系统,高性能解码器,全面优化界面,内容推荐系统,科技日报,https://www.stdaily.com/,2024-09-13,,,,,,,,,,,,
AI视频推荐系统,智能推荐系统,机器学习算法,用户个人化界面,内容管理工具,量子位,https://www.pingwest.com/,2024-09-13,,,,,,,,,,,,
多视角视频处理软件,视频编辑系统,多线程处理,视角选择界面,协同创作工具,网络视频技术,https://www.videotech.cn/,2024-09-13,,,,,,,,,,,,
增强现实视频应用,交互式应用系统,AR技术框架,互动用户界面,数据可视化工具,新视野,https://www.nvision.com/,2024-09-13,,,,,,,,,,,,
全景视频增强软件,视频处理应用,360度技术支持,全景观看界面,用户分析工具,视频制作网,https://www.videomaker.com/,2024-09-13,,,,,,,,,,,,
高清视频会议系统,视频通讯系统,Xilinx FPGA,会议管理界面,安全文件共享,TechCrunch,https://techcrunch.com,2024-09-13,,,,,,,,,,,,
4K流媒体平台,内容分发网络,ARM Cortex,用户浏览界面,观看统计分析,VentureBeat,https://venturebeat.com,2024-09-13,,,,,,,,,,,,
智能监控软件,安全监控系统,Verilog,实时监控界面,云存储解决方案,CNET,https://www.cnet.com,2024-09-13,,,,,,,,,,,,
虚拟现实视频播放器,互动媒体软件,NVIDIA Jetson,沉浸式体验界面,3D建模工具,The Verge,https://www.theverge.com,2024-09-13,,,,,,,,,,,,
大数据分析软件,数据处理系统,FPGA,数据探查界面,机器学习框架,ZDNet,https://www.zdnet.com,2024-09-13,,,,,,,,,,,,
虚拟活动平台,社交媒体应用,Intel Architecture,活动管理界面,交互式直播工具,Wired,https://www.wired.com,2024-09-13,,,,,,,,,,,,
机器视觉软件,图像处理系统,DSP,图像分析界面,图像识别工具,MIT Technology Review,https://www.technologyreview.com,2024-09-13,,,,,,,,,,,,
高清流媒体游戏平台,娱乐媒体系统,MIPS处理器,用户推荐界面,社交分享工具,GamesRadar,https://www.gamesradar.com,2024-09-13,,,,,,,,,,,,
3D建模与渲染系统,设计软件,CUDA,建模界面,虚拟现实整合工具,Engadget,https://www.engadget.com,2024-09-13,,,,,,,,,,,,
智能家居媒体中心,家庭自动化系统,ESP32,设备控制界面,家居监控工具,Android Authority,https://www.androidauthority.com,2024-09-13,,,,,,,,,,,,
智能监控软件,安防监控系统,边缘计算,监控管理界面,录像存储系统,安防之家,https://www.securityhome.com,2024-09-13,,,,,,,,,,,,
虚拟现实播放器,娱乐体验系统,GPU加速,互动界面,3D建模工具,VR应用市场,https://www.vrappmarket.com,2024-09-13,,,,,,,,,,,,
医学图像处理软件,医疗影像系统,AI算法,图像分析界面,病历管理工具,医疗科技网,https://www.medtech.cn,2024-09-13,,,,,,,,,,,,
云视频会议系统,远程协作系统,分布式网络,会议管理界面,文件共享平台,云计算论坛,https://www.cloudforum.cn,2024-09-13,,,,,,,,,,,,
高性能图形渲染软件,图形处理系统,多核CPU,实时渲染界面,场景建模工具,设计在线,https://www.designonline.net,2024-09-13,,,,,,,,,,,,
机器学习平台,数据挖掘系统,TensorFlow,模型训练界面,数据预处理工具,开源中国,https://www.oschina.net,2024-09-13,,,,,,,,,,,,
汽车信息娱乐系统,智能汽车系统,车载OS,驾驶信息界面,导航软件,汽车之家,https://www.autohome.com.cn,2024-09-13,,,,,,,,,,,,
云端数据备份软件,数据保护系统,增量备份技术,备份管理界面,恢复工具,数据安全网,https://www.datasafety.cn,2024-09-13,,,,,,,,,,,,
在线教育平台,教育培训系统,交互式学习,课程管理界面,成绩跟踪工具,教育界,https://www.educationworld.cn,2024-09-13,,,,,,,,,,,,
智能交通管理系统,城市交通系统,大数据分析,交通监控界面,出行导航工具,城市交通信息网,https://www.trafficinfo.cn,2024-09-13,,,,,,,,,,,,
AI视频监控系统,安防监控系统,AI算法处理,监控管理界面,异常行为检测,安防在线,https://www.securityonline.com,2024-09-13,,,,,,,,,,,,
4K画质直播软件,实时直播系统,GPU加速技术,流媒体控制台,社交媒体集成,直播网,https://www.live-web.com,2024-09-13,,,,,,,,,,,,
虚拟现实视频播放器,虚拟现实体验系统,Unity引擎,虚拟环境控制面板,用户体验分析工具,VR论坛,https://www.vrforum.com,2024-09-13,,,,,,,,,,,,
云视频编辑软件,视频处理系统,云计算技术,在线编辑界面,资源共享平台,科技新闻网,https://www.technews.com,2024-09-13,,,,,,,,,,,,
多平台视频分发系统,内容投递系统,负载均衡器,分发监控仪表板,用户分析工具,内容分发网,https://www.cdn.com,2024-09-13,,,,,,,,,,,,
超高清会议系统,视频会议系统,可编程视频处理器,会议控制台,日程管理工具,会展网,https://www.event-network.com,2024-09-13,,,,,,,,,,,,
视频内容搜索引擎,信息检索系统,机器学习算法,搜索结果展示界面,推荐系统模块,数据科学平台,https://www.datascienceplatform.com,2024-09-13,,,,,,,,,,,,
AR互动视频软件,增强现实系统,图像识别技术,互动界面设计工具,用户反馈收集工具,增强现实开发者社区,https://www.ardevelopmentcommunity.com,2024-09-13,,,,,,,,,,,,
智能短视频编辑系统,短视频制作系统,深度学习框架,编辑预览界面,社交平台分享整合,短视频产业联盟,https://www.shortvideoalliance.com,2024-09-13,,,,,,,,,,,,
高清网络广播软件,广播服务系统,流媒体编码器,广播管理界面,公共广播系统,广播电视协会,https://www.broadcasting.org,2024-09-13,,,,,,,,,,,,
高清视频编辑软件,媒体处理系统,GPU加速,拖放式编辑界面,色彩校正工具,视频学院,https://www.videocollege.cn/,2024-09-13,,,,,,,,,,,,
虚拟现实视频播放器,虚拟现实系统,独立图形处理单元,VR交互界面,内容流媒体服务,科技前沿,https://www.techfrontier.cn/,2024-09-13,,,,,,,,,,,,
基于云的视频会议系统,在线沟通系统,多核处理,会议管理界面,文件共享平台,网络技术论坛,https://www.networkforum.cn/,2024-09-13,,,,,,,,,,,,
超清直播系统,直播流媒体系统,硬件编码器,实时监控界面,观众互动工具,直播行业观察,https://www.livestreamwatch.com/,2024-09-13,,,,,,,,,,,,
AI视频分析软件,智能分析系统,深度学习,数据分析界面,模式识别工具,人工智能日报,https://www.aimedia.cn/,2024-09-13,,,,,,,,,,,,
移动媒体播放软件,移动端系统,ARM处理器,简洁播放界面,离线下载工具,应用市场,https://www.appmarket.cn/,2024-09-13,,,,,,,,,,,,
智能家庭影院系统,家庭娱乐系统,自适应音频处理,家庭控制中心,智能设备集成,智能家居网,https://www.smarthome.cn/,2024-09-13,,,,,,,,,,,,
4K视频云端存储系统,数据存储系统,网路冗余,文件管理界面,自动备份工具,云计算网,https://www.cloudcom.cn/,2024-09-13,,,,,,,,,,,,
增强现实在线视频系统,混合现实系统,实时数据处理,AR互动界面,社交媒体集成,增强现实技术,https://www.augmentedtech.cn/,2024-09-13,,,,,,,,,,,,
超高清投影软件,显示控制系统,模拟处理,投影设置界面,输出格式转换工具,投影技术交流,https://www.projectiontech.cn/,2024-09-13,,,,,,,,,,,,
超高清流媒体播放器,媒体播放系统,FPGA,增强现实界面,用户行为分析工具,极客时间,https://time.geekbang.org,2024-09-13,,,,,,,,,,,,
智能数据流系统,数据整合平台,NVIDIA Jetson,云端控制面板,数据预测模型,AIFront,https://www.aifront.com,2024-09-13,,,,,,,,,,,,
增强现实视频处理系统,视频增强系统,DSP,交互式视频编辑界面,内容推荐引擎,InfoQ,https://www.infoq.cn,2024-09-13,,,,,,,,,,,,
云端视频会议系统,网络通讯系统,ARM架构,多方互动界面,日程管理工具,腾讯云,https://cloud.tencent.com,2024-09-13,,,,,,,,,,,,
实时画面拼接软件,图像处理系统,FPGA,动态拼接界面,图像质量分析工具,搜狗科技,https://www.sogou.com,2024-09-13,,,,,,,,,,,,
全景视频监控软件,安全监控系统,可编程逻辑,实时监控控制台,警报管理应用,安居客,https://www.anjuke.com,2024-09-13,,,,,,,,,,,,
虚拟现实内容管理系统,内容管理平台,独立显卡,多用户管理界面,用户体验分析工具,VRTimes,https://www.vrtimes.com,2024-09-13,,,,,,,,,,,,
高效数据传输软件,数据传输系统,ASIC,简洁传输界面,操作日志记录工具,IT之家,https://www.ithome.com,2024-09-13,,,,,,,,,,,,
基于云的视频标识识别系统,数据分析系统,边缘计算设备,实时识别界面,标识数据分析工具,中关村在线,https://www.zol.com.cn,2024-09-13,,,,,,,,,,,,
自适应直播转换器,直播流媒体系统,GPU,自定义直播界面,跨平台适配工具,万维网,https://www.wanwei.com,2024-09-13,,,,,,,,,,,,
云视频监控系统,安全监控系统,ZYNQ SoC,视频管理界面,事件报警模块,安防行业网,https://www.securitichina.com,2024-09-13,,,,,,,,,,,,
4K直播平台,在线直播系统,Xeon CPU,互动直播界面,观众互动系统,直播世界,https://www.zhiboshijie.com,2024-09-13,,,,,,,,,,,,
虚拟现实电影播放器,VR媒体播放系统,Raspberry Pi,VR控制面板,用户体验分析,虚拟现实网,https://www.vrworld.cn,2024-09-13,,,,,,,,,,,,
多媒体交互系统,教育培训系统,NVIDIA Jetson,教学控制界面,学生评估工具,教育前沿,https://www.educationfrontier.com,2024-09-13,,,,,,,,,,,,
机器人视觉系统,工业自动化系统,FPGA/ASIC,视觉监控界面,图像处理工具,机器人在线,https://www.robotsonline.com,2024-09-13,,,,,,,,,,,,
GPU云计算平台,计算服务系统,Tensor Processing Unit,计算资源管理界面,任务调度管理,云计算资讯,https://www.cloudnews.cn,2024-09-13,,,,,,,,,,,,
增强现实导航应用,移动应用程序,ARM Cortex,导航控制中心,地理信息系统,科技日报,https://www.stdaily.com,2024-09-13,,,,,,,,,,,,
虚拟展览平台,电子商务系统,Cloud Services,展览管理界面,用户行为分析,电商观察,https://www.ecommerceobservation.com,2024-09-13,,,,,,,,,,,,
高清广播系统,广播电视系统,Field Programmable Gate Array,节目调度界面,信号监测工具,传媒行业网,https://www.mediaindustry.cn,2024-09-13,,,,,,,,,,,,
智能视频分析系统,数据分析系统,Deep Learning Accelerator,分析报告生成界面,数据清洗工具,数据科学社区,https://www.datasciencecommunity.cn,2024-09-13,,,,,,,,,,,,
高效图像处理平台,图像处理系统,GPU加速,实时处理界面,机器学习支持工具,TechCrunch,https://techcrunch.com,2024-09-13,,,,,,,,,,,,
增强现实展示软件,增强现实系统,移动端优化,3D模型互动界面,展示管理工具,GitHub,https://github.com,2024-09-13,,,,,,,,,,,,
视频编辑与合成软件,多媒体处理系统,CPU并行处理,拖拽式编辑界面,特效插件库,CNET,https://www.cnet.com,2024-09-13,,,,,,,,,,,,
直播推流软件,网络实时传输系统,云计算平台,直播监控界面,社交媒体集成,Engadget,https://www.engadget.com,2024-09-13,,,,,,,,,,,,
网络视频监控软件,监控管理系统,边缘计算,监控面板,用户管理系统,SecurityInfoWatch,https://www.securityinfowatch.com,2024-09-13,,,,,,,,,,,,
虚拟现实游戏平台,虚拟现实系统,AI驱动,游戏互动界面,玩家行为分析工具,VentureBeat,https://venturebeat.com,2024-09-13,,,,,,,,,,,,
高性能计算分析软件,数据运算系统,分布式计算架构,分析报告生成器,任务调度工具,ZDNet,https://www.zdnet.com,2024-09-13,,,,,,,,,,,,
内容管理与分发系统,内容管理系统,数据库驱动,内容发布界面,数据备份工具,CMSWire,https://www.cmswire.com,2024-09-13,,,,,,,,,,,,
移动视频聊天软件,通信系统,优化音视频编码,用户友好聊天界面,联系人管理,TechRadar,https://www.techradar.com,2024-09-13,,,,,,,,,,,,
媒体数据分析软件,数据分析系统,深度学习模型,数据仪表板,报告生成,Analytics Vidhya,https://www.analyticsvidhya.com,2024-09-13,,,,,,,,,,,,
增强现实视频系统,增强现实应用,FPGA,虚拟体验平台,互动设计工具,TechCrunch,https://www.techcrunch.com,2024-09-13,,,,,,,,,,,,
高效视频处理系统,视频编码系统,GPU加速,视频编辑界面,批处理工具,电子工程网,https://www.electronicengineering.com,2024-09-13,,,,,,,,,,,,
云端视频共享平台,云服务系统,数据中心集群,用户管理界面,分享工具,新华网,http://www.xinhuanet.com,2024-09-13,,,,,,,,,,,,
智能监控视频系统,监控管理系统,边缘计算,监视界面,报警系统,SecurityInfo,https://www.securityinfo.com,2024-09-13,,,,,,,,,,,,
4K视频流媒体软件,流媒体传输系统,芯片编程,媒体控制界面,用户行为分析,ZOL中关村在线,https://www.zol.com.cn,2024-09-13,,,,,,,,,,,,
视频监测分析系统,数据分析平台,虚拟机,分析仪表板,报表生成工具,数据观,https://www.dataviews.com,2024-09-13,,,,,,,,,,,,
智能家居视频系统,智能家居管理平台,MCU,家居控制界面,设备联动工具,家居设计网,https://www.homedesign.com,2024-09-13,,,,,,,,,,,,
多平台视频制作软件,内容创作系统,云编程,创作工具界面,素材库管理,软件开发论坛,https://softwaredevforum.com,2024-09-13,,,,,,,,,,,,
高性能视频编码器,视频编码系统,ASIC,编码配置界面,格式转换工具,科技日报,http://www.stdaily.com,2024-09-13,,,,,,,,,,,,
360度视频播放软件,360度视频系统,图像处理单元,交互界面,视频分享工具,VR之家,https://www.vrhome.com,2024-09-13,,,,,,,,,,,,
阶段性监控软件,监控系统,FPGA,状态查看界面,实时数据记录,电子工程世界,https://www.eeworld.com.cn/,2024-09-13,,,,,,,,,,,,
智能手机视频编辑软件,移动应用,ARM架构,简易编辑界面,社交媒体分享工具,51CTO,https://www.51cto.com/,2024-09-13,,,,,,,,,,,,
虚拟现实流媒体播放系统,VR媒体系统,GPU加速,虚拟环境控制面板,交互式体验工具,VR观察,https://www.vrobs.com/,2024-09-13,,,,,,,,,,,,
低延迟音视频会议软件,实时通信系统,DSP,会议管理界面,云端文件共享,科技日报,https://www.stdaily.com/,2024-09-13,,,,,,,,,,,,
多显示屏协作软件,协作工具,可编程逻辑,分屏展示界面,任务分配工具,微软技术,https://www.microsoft.com/,2024-09-13,,,,,,,,,,,,
4K直播推流软件,流媒体系统,视频编码芯片,直播监控面板,观众互动工具,流媒体发布,https://www.streammedia.com/,2024-09-13,,,,,,,,,,,,
教育培训在线平台,教育系统,TDMA技术,课程管理界面,在线考试系统,教育部,http://www.moe.gov.cn/,2024-09-13,,,,,,,,,,,,
企业资源计划系统,管理系统,云服务解决方案,业务流程界面,报告生成工具,SAP社区,https://community.sap.com/,2024-09-13,,,,,,,,,,,,
安全监控回放软件,安防系统,图像处理单元,视频检索界面,事件分析工具,华为云,https://cloud.huawei.com/,2024-09-13,,,,,,,,,,,,
智能家庭控制系统,物联网系统,微控制器,家居控制面板,能源管理工具,智能家居论坛,https://www.smarthome.com/,2024-09-13,,,,,,,,,,,,
视频编辑软件,媒体制作系统,GPU加速,多轨道编辑界面,音效合成工具,TechRadar,https://www.techradar.com,2024-09-13,,,,,,,,,,,,
虚拟现实播放系统,增强现实应用,专用芯片,沉浸式控制界面,空间音响管理,VRFocus,https://www.vrfocus.com,2024-09-13,,,,,,,,,,,,
大规模数据流处理软件,云数据分析系统,云计算平台,实时监控界面,机器学习API,DZone,https://dzone.com,2024-09-13,,,,,,,,,,,,
移动视频传输软件,流式传输系统,边缘计算,移动端用户界面,带宽管理工具,IEEE Spectrum,https://spectrum.ieee.org,2024-09-13,,,,,,,,,,,,
多媒体控制软件,现场管理系统,嵌入式系统,现场操作界面,设备联动控制,Electronics Weekly,https://www.electronicsweekly.com,2024-09-13,,,,,,,,,,,,
智能电视操作系统,家庭娱乐系统,SoC（系统级芯片）,智能推荐界面,第三方应用市场,Gizmodo,https://gizmodo.com,2024-09-13,,,,,,,,,,,,
在线直播软件,实时广播系统,多线程处理,互动直播界面,观众反馈系统,Streamlabs,https://streamlabs.com,2024-09-13,,,,,,,,,,,,
图像处理软件,计算机视觉系统,图形处理单元,自定义调整界面,图像增强工具,Wired,https://www.wired.com,2024-09-13,,,,,,,,,,,,
数据流监控软件,网络监控系统,实时数据处理,数据面板界面,告警管理系统,Network World,https://www.networkworld.com,2024-09-13,,,,,,,,,,,,
人工智能分析软件,智能决策系统,深度学习框架,数据输入界面,预测分析工具,Forbes AI,https://www.forbes.com/ai,2024-09-13,,,,,,,,,,,,
超高分辨率视频编解码系统,编码解码系统,Zynq SoC,实时监控界面,视频质量分析工具,IEEE Xplore,https://ieeexplore.ieee.org/,2024-09-13,,,,,,,,,,,,
云视频会议系统,视频通信系统,ARM Cortex-A,会议控制面板,文件共享工具,TechCrunch,https://techcrunch.com/,2024-09-13,,,,,,,,,,,,
虚拟现实流媒体系统,沉浸式媒体系统,NVIDIA Jetson,VR模拟界面,用户行为分析,VentureBeat,https://venturebeat.com/,2024-09-13,,,,,,,,,,,,
智能监控视频分析软件,视频监控系统,FPGA,智能提醒界面,行为识别模块,安防展览网,https://www.afzhan.com/,2024-09-13,,,,,,,,,,,,
