传感器名称（字符型）,传感器类型（字符型）,标识符合（字符型）,传感器地址（字符型）,鲁棒性（字符型）,功能码（字符型）,数据类型（字符型）,接口协议（字符型）,平台协议（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
 UV 传感器,物理传感器,US-015,/dev/uv,中,3,数字,UART,HTTP,海洋监测,https://www.marinetech.org/,2024-09-14,,,,,,,,
定位传感器,GPS传感器,GPS-019,/dev/gps,中,1,数字,UART,HTTP,导航系统,https://www.gps.gov,2024-09-14,,,,,,,,
智能电表传感器,电力传感器,EM-015,/dev/smart_meter,高,2,数字,UART,HTTP,能源管理,https://www.smartenergy.com,2024-09-14,,,,,,,,
电池监测传感器,电子传感器,BM-016,/dev/battery,高,2,数字,UART,HTTP,设备管理,https://www.batterymonitoring.com/,2024-09-14,,,,,,,,
智能门锁传感器,电子传感器,SD-013,/dev/smartlock,高,2,数字,BLE,Zigbee,安全监控,https://www.smarthome.com/,2024-09-14,,,,,,,,
GPS传感器,定位传感器,GPS-012,/dev/gps,高,3,数字,SPI,CoAP,运输与物流,https://www.transportlogistics.com,2024-09-14,,,,,,,,
GPS定位传感器,定位传感器,GPS-014,/dev/gps,高,3,数字,UART,HTTP,导航系统,https://www.navigation.com,2024-09-14,,,,,,,,
湿度与温度复合传感器,定位传感器,GPS-015,/dev/gps,高,15,数字,NMEA,TCP,无人机监控,https://www.dronetech.com/,2024-09-14,,,,,,,,
成像传感器,定位传感器,GPS-013,/dev/gps,高,6,数字,UART,HTTP,导航系统,https://www.gpsworld.com/,2024-09-14,,,,,,,,
二维码扫描传感器,定位传感器,GPS-013,/dev/gps,高,6,数字,I2C,MQTT,自动驾驶,https://www.auto-driving.com/,2024-09-14,,,,,,,,
光谱传感器,定位传感器,GPS-014,/dev/gps,高,1,数字,UART,HTTP,智能交通,http://www.iotnews.com/transport/,2024-09-14,,,,,,,,
图像传感器,定位传感器,GPS-013,/dev/gps,中,2,数字,I2C,MQTT,交通管理,https://www.gps.gov/,2024-09-14,,,,,,,,
辐射传感器,复合传感器,HT-019,/dev/humidity_temp,高,3,数字,I2C,MQTT,智能家居,https://www.tuya.com,2024-09-14,,,,,,,,
湿度光传感器,光电传感器,IS-016,/dev/imaging,高,1,数字,I2C,MQTT,智能监控,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,2024-09-14,,,,,,,,
土壤湿度传感器,光学传感器,QR-018,/dev/qrcode,中,,数字,UART,HTTP,智能零售,https://www.smartretail.com,2024-09-14,,,,,,,,
CO2传感器,光学传感器,SS-013,/dev/spectrum,中,1,数字,I2C,MQTT,实验室研究,https://www.science.org,2024-09-14,,,,,,,,
pH传感器,光学传感器,SS-011,/dev/spectrometer,中,16,数字,UART,HTTP,农业研究,https://www.sciencedirect.com,2024-09-14,,,,,,,,
PM2.5传感器,光学传感器,SP-012,/dev/spectrometer,高,,数字,I2C,Zigbee,科研实验室,https://www.sciencedirect.com,2024-09-14,,,,,,,,
VOC传感器,光学传感器,SS-014,/dev/spectrum,高,,数字,SPI,CoAP,农业监测,https://www.agr.gc.ca/,2024-09-14,,,,,,,,
便携式CO2传感器,光学传感器,IS-014,/dev/image,高,3,数字,USB,HTTP,安防监控,https://www.securitymagazine.com/,2024-09-14,,,,,,,,
便携式气体传感器,环境传感器,RSP-019,/dev/radiation,中,3,模拟,I2C,MQTT,核安全监测,https://www.radiationsafety.com/,2024-09-14,,,,,,,,
氮氧化物传感器,环境传感器,LH-016,/dev/light-humidity,中,5,数字,UART,MQTT,室内环境监测,https://www.environmentmonitor.com,2024-09-14,,,,,,,,
氡气传感器,环境传感器,SM-015,/dev/soil_moisture,中,15,数字,I2C,MQTT,农业监测,https://www.agro-sensors.com,2024-09-14,,,,,,,,
多气体传感器,环境传感器,SM-012,/dev/soil-moisture,高,6,数字,I2C,HTTP,农业监测,https://www.agriculturetech.com,2024-09-14,,,,,,,,
二氧化碳传感器,化学传感器,CO2-011,/dev/co2,中,2,数字,UART,HTTP,智能建筑,https://www.buildinggreen.com,2024-09-14,,,,,,,,
粉尘传感器,化学传感器,CS-011,/dev/co2,中,3,模拟,UART,HTTP,室内空气质量监测,https://www.indoorair.com,2024-09-14,,,,,,,,
化学传感器,化学传感器,CS-016,/dev/co2,高,3,数字,I2C,MQTT,室内空气质量监测,https://www.airqualitynow.org/,2024-09-14,,,,,,,,
挥发性有机物传感器,化学传感器,CS-015,/dev/co2,高,3,数字,I2C,HTTP,室内空气质量监测,https://www.airquality.com,2024-09-14,,,,,,,,
火焰传感器,化学传感器,CO-013,/dev/co2,中,15,数字,UART,HTTP,环境监测,https://www.environment.monitortech.com/,2024-09-14,,,,,,,,
甲烷传感器,化学传感器,CO2-016,/dev/co2,中,16,模拟,UART,HTTP,环境监测,https://www.epa.gov/air-research/,2024-09-14,,,,,,,,
酒精传感器,化学传感器,CO2-013,/dev/co2,中,16,数字,I2C,MQTT,室内环境监测,https://www.buildings.com/,2024-09-14,,,,,,,,
颗粒物传感器,化学传感器,CO2-014,/dev/co2,高,16,数字,UART,HTTP,环境监测,https://www.co2meter.com/,2024-09-14,,,,,,,,
空气质量传感器,化学传感器,CO-016,/dev/co2,高,5,数字,I2C,MQTT,环境监测,https://www.cleanair.com,2024-09-14,,,,,,,,
粒子传感器,化学传感器,CO2-019,/dev/co2,高,5,数字,I2C,MQTT,环境监测,https://www.envmonitor.com/,2024-09-14,,,,,,,,
气体传感器,化学传感器,PH-014,/dev/ph,中,3,模拟,SPI,CoAP,水质监测,https://www.waterqualitymonitoring.com,2024-09-14,,,,,,,,
气体泄漏传感器,化学传感器,PM-011,/dev/pm25,中,15,数字,UART,HTTP,城市环境监测,https://www.urbanmonitoring.com/,2024-09-14,,,,,,,,
气体泄露检测传感器,化学传感器,PM-011,/dev/pm25,中,4,数字,SPI,CoAP,城市环境监测,https://www.epa.gov/,2024-09-14,,,,,,,,
气体质量传感器,化学传感器,VOC-011,/dev/voc,中,3,数字,SPI,CoAP,室内空气质量监测,https://www.iot101.com,2024-09-14,,,,,,,,
生物气体传感器,化学传感器,CO2-014,/dev/co2,中,3,数字,UART,HTTP,空气质量监测,https://www.airquality.org/,2024-09-14,,,,,,,,
水质传感器,化学传感器,PGS-018,/dev/portable_gas,中,16,数字,UART,HTTP,个人安全,https://www.safety.com,2024-09-14,,,,,,,,
水质监测传感器,化学传感器,NOx-011,/dev/nox,高,16,模拟,UART,MQTT,大气监测,https://www.epa.gov/,2024-09-14,,,,,,,,
温室气体传感器,化学传感器,NOx-018,/dev/nox_sensor,中,6,模拟,UART,HTTP,环境监测,https://www.airqualitymonitor.com,2024-09-14,,,,,,,,
泄漏检测传感器,化学传感器,NO2-010,/dev/nox,高,5,数字,I2C,MQTT,城市环境监测,https://www.environmental-monitoring.org,2024-09-14,,,,,,,,
细颗粒物传感器,化学传感器,RS-014,/dev/radon,中,1,数字,I2C,CoAP,室内空气质量监测,https://www.indoorairquality.org/sensors,2024-09-14,,,,,,,,
氧气传感器,化学传感器,Rn-016,/dev/radon,中,16,数字,SPI,HTTP,建筑安全,https://www.radon.com/,2024-09-14,,,,,,,,
盐度传感器,化学传感器,Rn-018,/dev/radon,中,6,数字,SPI,MQTT,环境健康监测,https://www.ewg.org/,2024-09-14,,,,,,,,
烟雾传感器,化学传感器,MG-015,/dev/multi_gas,高,3,数字,SPI,CoAP,环境监测,https://www.environmentaltech.com,2024-09-14,,,,,,,,
气候传感器,化学传感器,MG-017,/dev/multi_gas,中,15,数字,UART,HTTP,工业安全,https://www.gas-sensors.com,2024-09-14,,,,,,,,
智能气象传感器,化学传感器,CO2-013,/dev/co2,中,3,数字,SPI,HTTP,室内环境监测,https://www.environmentalmonitors.com,2024-09-14,,,,,,,,
步态传感器,化学传感器,CO2-012,/dev/co2,高,15,数字,UART,HTTP,室内空气质量监测,https://www.indoorairquality.com,2024-09-14,,,,,,,,
动脉血氧传感器,化学传感器,CO2-012,/dev/co2,高,15,数字,UART,HTTP,室内空气质量监测,https://www.airquality.co.uk/,2024-09-14,,,,,,,,
肤温传感器,化学传感器,CO2-013,/dev/co2,中,15,数字,I2C,MQTT,室内空气质量监测,https://www.environmentalmonitoring.com/air-quality,2024-09-14,,,,,,,,
护肤传感器,化学传感器,CS-015,/dev/co2,中,6,数字,UART,MQTT,室内空气质量监测,https://www.airqualitymonitor.com,2024-09-14,,,,,,,,
计步传感器,化学传感器,CO2-012,/dev/co2,高,6,模拟,RS485,CoAP,室内空气质量监测,https://www.indoorairquality.com/,2024-09-14,,,,,,,,
脉搏传感器,化学传感器,CO2-013,/dev/co2,中,6,数字,I2C,MQTT,空气质量监测,https://www.aqmonitoring.com,2024-09-14,,,,,,,,
脑电传感器,化学传感器,CO2-010,/dev/co2,高,6,数字,I2C,MQTT,室内空气质量监测,https://www.airquality.gov/,2024-09-14,,,,,,,,
尿液分析传感器,化学传感器,DS-016,/dev/dust,中,1,数字,I2C,MQTT,空气质量监测,https://www.airqualitymonitoring.org,2024-09-14,,,,,,,,
农作物健康传感器,化学传感器,SS-010,/dev/spectral,高,3,数字,I2C,MQTT,环境监测,https://www.tuya.com,2024-09-14,,,,,,,,
疲劳检测传感器,化学传感器,SS-016,/dev/spectrum,高,15,数字,I2C,MQTT,环境监测,https://www.environmental-monitoring.com,2024-09-14,,,,,,,,
人脸识别传感器,化学传感器,SS-013,/dev/spectrum,高,16,模拟,I2C,MQTT,水质监测,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,2024-09-14,,,,,,,,
人体温度传感器,化学传感器,CS-013,/dev/chemical,高,1,模拟,UART,MQTT,环境分析,https://www.chemicalmonitoring.com/sensors,2024-09-14,,,,,,,,
溶解氧传感器,化学传感器,VOCs-014,/dev/vocs,高,15,模拟,SPI,CoAP,室内空气质量监测,https://www.indoorairquality.org/,2024-09-14,,,,,,,,
生理传感器,化学传感器,FS-013,/dev/flame,中,15,模拟,I2C,MQTT,安全监测,http://www.safetytech.org,2024-09-14,,,,,,,,
生理监测传感器,化学传感器,FS-012,/dev/flame,高,16,数字,UART,CoAP,安全监测,https://www.safety.com/,2024-09-14,,,,,,,,
生命体征传感器,化学传感器,CH-014,/dev/methane,中,15,模拟,UART,HTTP,环境监测,https://www.environmentalmonitoring.com/,2024-09-14,,,,,,,,
声纹传感器,化学传感器,AS-013,/dev/alcohol,中,1,模拟,I2C,MQTT,交通监控,http://www.nhtsa.gov/,2024-09-14,,,,,,,,
生物传感器,化学传感器,AS-013,/dev/alcohol,高,2,数字,I2C,MQTT,公共安全,https://www.alcoholsensors.com/products/alcohol-sensor,2024-09-14,,,,,,,,
生物识别传感器,化学传感器,AS-019,/dev/alcohol,中,15,模拟,UART,HTTP,汽车安全,https://www.traffic-safety.com,2024-09-14,,,,,,,,
糖尿病监测传感器,化学传感器,AS-011,/dev/alcohol,中,16,模拟,UART,HTTP,交通安全监控,https://www.traffic.gov,2024-09-14,,,,,,,,
土壤传感器,化学传感器,PM-012,/dev/particulate,高,1,数字,UART,CoAP,环境监测,https://www.airqualitymonitor.org,2024-09-14,,,,,,,,
血糖传感器,化学传感器,PM-010,/dev/pm,中,1,数字,I2C,MQTT,城市空气质量监测,https://www.aqicn.org/,2024-09-14,,,,,,,,
血糖监测传感器,化学传感器,AQ-016,/dev/air_quality,中,3,数字,I2C,HTTP,城市监测,https://www.aqmonitoring.com,2024-09-14,,,,,,,,
血氧传感器,化学传感器,AQ-013,/dev/airquality,高,16,模拟,I2C,MQTT,城市环境监测,https://www.airquality.com,2024-09-14,,,,,,,,
血压传感器,化学传感器,PS-018,/dev/particle,中,5,模拟,UART,CoAP,空气质量监测,https://www.airqualitymonitor.com/,2024-09-14,,,,,,,,
心率传感器,化学传感器,GS-006,/dev/gas,中,1,模拟,UART,HTTP,环境监测,http://www.news.cn/tech/20240129/b57beff6ce0d458c8047f6b4eb117357/c.html,2024-09-14,,,,,,,,
心率监测传感器,化学传感器,GL-017,/dev/leak,高,1,数字,I2C,CoAP,安全监控,https://www.safetyfirst.com/leak-sensors,2024-09-14,,,,,,,,
胸带传感器,化学传感器,GL-019,/dev/gasdetect,高,,数字,I2C,MQTT,安全监测,https://www.safetymonitoring.com,2024-09-14,,,,,,,,
医用血糖传感器,化学传感器,QM-012,/dev/gas_quality,高,6,模拟,UART,CoAP,城市空气监测,https://www.airqualitynews.com,2024-09-14,,,,,,,,
智能手表传感器,化学传感器,GQ-018,/dev/gas_quality,中,5,模拟,UART,HTTP,智能城市,https://www.smartcitytech.com,2024-09-14,,,,,,,,
智能体温传感器,化学传感器,QS-012,/dev/airquality,中,,模拟,UART,HTTP,城市监测,https://www.citymonitor.com,2024-09-14,,,,,,,,
指纹传感器,化学传感器,BG-017,/dev/biogas,高,16,模拟,SPI,CoAP,可再生能源监测,https://www.renewables.com,2024-09-14,,,,,,,,
面部识别传感器,化学传感器,BG-017,/dev/biogas,中,5,数字,SPI,HTTP,环保监测,https://www.envmon.com/,2024-09-14,,,,,,,,
位置传感器,化学传感器,WQ-015,/dev/water_quality,高,1,数字,I2C,MQTT,水资源监测,https://www.waterquality.org,2024-09-14,,,,,,,,
LED光传感器,化学传感器,QS-011,/dev/water,中,1,模拟,SPI,HTTP,水处理设施,http://www.news.cn/tech/20240129/b57beff6ce0d458c8047f6b4eb117357/c.html,2024-09-14,,,,,,,,
LED照明传感器,化学传感器,WS-013,/dev/waterquality,高,1,数字,I2C,MQTT,水资源管理,https://www.watermonitoring.com,2024-09-14,,,,,,,,
RFID传感器,化学传感器,WS-012,/dev/waterquality,高,2,模拟,UART,HTTP,水资源管理,https://www.watermonitoring.org/,2024-09-14,,,,,,,,
UV光传感器,化学传感器,WS-016,/dev/water_quality,中,2,模拟,I2C,MQTT,水质监控,https://www.waterqualitymonitoring.com,2024-09-14,,,,,,,,
便携式温度传感器,化学传感器,QS-016,/dev/water,高,2,数字,I2C,MQTT,水资源管理,https://www.waterquality.com/products/water-quality-sensors,2024-09-14,,,,,,,,
超声波传感器,化学传感器,WQ-013,/dev/water_quality,中,3,模拟,UART,MQTT,水资源管理,http://www.waterquality.com,2024-09-14,,,,,,,,
超声波距离传感器,化学传感器,WS-015,/dev/water_quality,中,3,模拟,UART,HTTP,环境监测,https://www.environmentalprotectionagency.gov/,2024-09-14,,,,,,,,
触觉传感器,化学传感器,WS-011,/dev/water,中,3,模拟,SPI,CoAP,水处理,https://www.waterquality.com/,2024-09-14,,,,,,,,
触摸传感器,化学传感器,WQ-017,/dev/water_quality,高,3,模拟,SPI,MQTT,水资源监测,https://www.waterquality.org,2024-09-14,,,,,,,,
磁场传感器,化学传感器,WS-013,/dev/water_quality,中,3,模拟,I2C,MQTT,环境监测,https://www.envirotech.com,2024-09-14,,,,,,,,
磁场传感器（改良版）,化学传感器,WQ-017,/dev/water_quality,高,3,模拟,UART,CoAP,环境监测,https://www.waterquality.com,2024-09-14,,,,,,,,
磁力传感器,化学传感器,QS-012,/dev/water_quality,高,3,模拟,UART,CoAP,环保监测,https://www.environment.gov/,2024-09-14,,,,,,,,
导航传感器,化学传感器,WS-016,/dev/waterquality,高,3,模拟,I2C,MQTT,水资源监测,https://www.waterquality.com,2024-09-14,,,,,,,,
电池电压传感器,化学传感器,WS-013,/dev/water_quality,高,3,数字,SPI,CoAP,水资源管理,https://www.waterquality.org,2024-09-14,,,,,,,,
电磁波传感器,化学传感器,QS-016,/dev/waterQuality,中,15,模拟,UART,HTTP,水资源监测,https://www.hydrology.com/,2024-09-14,,,,,,,,
电磁场传感器,化学传感器,QS-012,/dev/waterquality,高,15,模拟,UART,HTTP,环境监测,https://www.eco.gov,2024-09-14,,,,,,,,
电磁传感器,化学传感器,WS-013,/dev/waterquality,中,15,数字,I2C,MQTT,水处理,https://www.waterworld.com/,2024-09-14,,,,,,,,
电动机振动传感器,化学传感器,QS-014,/dev/water_quality,中,16,模拟,SPI,CoAP,污水处理,https://www.epa.gov/,2024-09-14,,,,,,,,
电流传感器,化学传感器,QS-012,/dev/water_quality,高,16,数字,UART,CoAP,环境监测,https://www.environment.gov,2024-09-14,,,,,,,,
